高大上,Date,DecryptedData
0,2013-01-01,
1,2013-01-02,
2,2013-01-03,
3,2013-01-04,58
4,2013-01-05,
5,2013-01-06,57
6,2013-01-07,
7,2013-01-08,
8,2013-01-09,
9,2013-01-10,
10,2013-01-11,
11,2013-01-12,
12,2013-01-13,
13,2013-01-14,57
14,2013-01-15,
15,2013-01-16,
16,2013-01-17,
17,2013-01-18,
18,2013-01-19,
19,2013-01-20,61
20,2013-01-21,
21,2013-01-22,
22,2013-01-23,
23,2013-01-24,
24,2013-01-25,
25,2013-01-26,
26,2013-01-27,57
27,2013-01-28,
28,2013-01-29,
29,2013-01-30,
30,2013-01-31,57
31,2013-02-01,
32,2013-02-02,118
33,2013-02-03,
34,2013-02-04,63
35,2013-02-05,57
36,2013-02-06,57
37,2013-02-07,
38,2013-02-08,
39,2013-02-09,57
40,2013-02-10,58
41,2013-02-11,
42,2013-02-12,
43,2013-02-13,
44,2013-02-14,61
45,2013-02-15,
46,2013-02-16,
47,2013-02-17,
48,2013-02-18,
49,2013-02-19,
50,2013-02-20,
51,2013-02-21,61
52,2013-02-22,
53,2013-02-23,
54,2013-02-24,
55,2013-02-25,
56,2013-02-26,
57,2013-02-27,
58,2013-02-28,
59,2013-03-01,
60,2013-03-02,
61,2013-03-03,57
62,2013-03-04,
63,2013-03-05,
64,2013-03-06,
65,2013-03-07,
66,2013-03-08,63
67,2013-03-09,61
68,2013-03-10,61
69,2013-03-11,61
70,2013-03-12,
71,2013-03-13,57
72,2013-03-14,120
73,2013-03-15,
74,2013-03-16,
75,2013-03-17,
76,2013-03-18,
77,2013-03-19,
78,2013-03-20,57
79,2013-03-21,
80,2013-03-22,
81,2013-03-23,
82,2013-03-24,57
83,2013-03-25,
84,2013-03-26,
85,2013-03-27,58
86,2013-03-28,
87,2013-03-29,
88,2013-03-30,
89,2013-03-31,61
90,2013-04-01,
91,2013-04-02,63
92,2013-04-03,57
93,2013-04-04,127
94,2013-04-05,57
95,2013-04-06,
96,2013-04-07,57
97,2013-04-08,60
98,2013-04-09,120
99,2013-04-10,124
100,2013-04-11,121
101,2013-04-12,125
102,2013-04-13,57
103,2013-04-14,61
104,2013-04-15,
105,2013-04-16,63
106,2013-04-17,57
107,2013-04-18,66
108,2013-04-19,63
109,2013-04-20,118
110,2013-04-21,58
111,2013-04-22,58
112,2013-04-23,128
113,2013-04-24,63
114,2013-04-25,118
115,2013-04-26,121
116,2013-04-27,118
117,2013-04-28,58
118,2013-04-29,63
119,2013-04-30,63
120,2013-05-01,118
121,2013-05-02,82
122,2013-05-03,122
123,2013-05-04,118
124,2013-05-05,124
125,2013-05-06,127
126,2013-05-07,129
127,2013-05-08,125
128,2013-05-09,134
129,2013-05-10,125
130,2013-05-11,131
131,2013-05-12,60
132,2013-05-13,61
133,2013-05-14,142
134,2013-05-15,139
135,2013-05-16,118
136,2013-05-17,63
137,2013-05-18,129
138,2013-05-19,141
139,2013-05-20,133
140,2013-05-21,125
141,2013-05-22,132
142,2013-05-23,135
143,2013-05-24,124
144,2013-05-25,124
145,2013-05-26,133
146,2013-05-27,133
147,2013-05-28,160
148,2013-05-29,140
149,2013-05-30,130
150,2013-05-31,139
151,2013-06-01,133
152,2013-06-02,133
153,2013-06-03,149
154,2013-06-04,132
155,2013-06-05,139
156,2013-06-06,140
157,2013-06-07,135
158,2013-06-08,154
159,2013-06-09,152
160,2013-06-10,121
161,2013-06-11,72
162,2013-06-12,135
163,2013-06-13,132
164,2013-06-14,150
165,2013-06-15,137
166,2013-06-16,130
167,2013-06-17,185
168,2013-06-18,141
169,2013-06-19,148
170,2013-06-20,138
171,2013-06-21,147
172,2013-06-22,145
173,2013-06-23,144
174,2013-06-24,125
175,2013-06-25,70
176,2013-06-26,154
177,2013-06-27,133
178,2013-06-28,145
179,2013-06-29,147
180,2013-06-30,149
181,2013-07-01,156
182,2013-07-02,142
183,2013-07-03,139
184,2013-07-04,151
185,2013-07-05,139
186,2013-07-06,138
187,2013-07-07,154
188,2013-07-08,171
189,2013-07-09,160
190,2013-07-10,159
191,2013-07-11,156
192,2013-07-12,146
193,2013-07-13,145
194,2013-07-14,173
195,2013-07-15,174
196,2013-07-16,172
197,2013-07-17,173
198,2013-07-18,190
199,2013-07-19,151
200,2013-07-20,141
201,2013-07-21,159
202,2013-07-22,173
