上天台,Date,DecryptedData
0,2014-01-01,353
1,2014-01-02,301
2,2014-01-03,320
3,2014-01-04,398
4,2014-01-05,394
5,2014-01-06,374
6,2014-01-07,403
7,2014-01-08,366
8,2014-01-09,565
9,2014-01-10,809
10,2014-01-11,818
11,2014-01-12,623
12,2014-01-13,440
13,2014-01-14,487
14,2014-01-15,450
15,2014-01-16,427
16,2014-01-17,415
17,2014-01-18,464
18,2014-01-19,444
19,2014-01-20,408
20,2014-01-21,414
21,2014-01-22,405
22,2014-01-23,410
23,2014-01-24,356
24,2014-01-25,326
25,2014-01-26,403
26,2014-01-27,355
27,2014-01-28,409
28,2014-01-29,337
29,2014-01-30,350
30,2014-01-31,428
31,2014-02-01,450
32,2014-02-02,438
33,2014-02-03,448
34,2014-02-04,397
35,2014-02-05,434
36,2014-02-06,432
37,2014-02-07,486
38,2014-02-08,436
39,2014-02-09,477
40,2014-02-10,381
41,2014-02-11,351
42,2014-02-12,389
43,2014-02-13,396
44,2014-02-14,355
45,2014-02-15,429
46,2014-02-16,379
47,2014-02-17,353
48,2014-02-18,356
49,2014-02-19,350
50,2014-02-20,372
51,2014-02-21,367
52,2014-02-22,408
53,2014-02-23,336
54,2014-02-24,371
55,2014-02-25,351
56,2014-02-26,365
57,2014-02-27,327
58,2014-02-28,373
59,2014-03-01,361
60,2014-03-02,364
61,2014-03-03,353
62,2014-03-04,348
63,2014-03-05,309
64,2014-03-06,292
65,2014-03-07,346
66,2014-03-08,325
67,2014-03-09,359
68,2014-03-10,337
69,2014-03-11,405
70,2014-03-12,413
71,2014-03-13,407
72,2014-03-14,386
73,2014-03-15,348
74,2014-03-16,316
75,2014-03-17,336
76,2014-03-18,310
77,2014-03-19,327
78,2014-03-20,302
79,2014-03-21,324
80,2014-03-22,356
81,2014-03-23,363
82,2014-03-24,344
83,2014-03-25,313
84,2014-03-26,397
85,2014-03-27,355
86,2014-03-28,348
87,2014-03-29,348
88,2014-03-30,348
89,2014-03-31,326
90,2014-04-01,328
91,2014-04-02,348
92,2014-04-03,348
93,2014-04-04,347
94,2014-04-05,351
95,2014-04-06,313
96,2014-04-07,335
97,2014-04-08,329
98,2014-04-09,320
99,2014-04-10,309
100,2014-04-11,334
101,2014-04-12,363
102,2014-04-13,434
103,2014-04-14,359
104,2014-04-15,388
105,2014-04-16,429
106,2014-04-17,494
107,2014-04-18,411
108,2014-04-19,470
109,2014-04-20,457
110,2014-04-21,424
111,2014-04-22,401
112,2014-04-23,399
113,2014-04-24,416
114,2014-04-25,401
115,2014-04-26,383
116,2014-04-27,387
117,2014-04-28,340
118,2014-04-29,366
119,2014-04-30,432
120,2014-05-01,382
