么么哒,Date,DecryptedData
0,2014-01-01,4452
1,2014-01-02,3894
2,2014-01-03,4152
3,2014-01-04,5084
4,2014-01-05,5720
5,2014-01-06,5247
6,2014-01-07,4786
7,2014-01-08,5344
8,2014-01-09,5233
9,2014-01-10,4612
10,2014-01-11,4258
11,2014-01-12,4496
12,2014-01-13,4426
13,2014-01-14,4229
14,2014-01-15,4542
15,2014-01-16,4910
16,2014-01-17,4729
17,2014-01-18,4204
18,2014-01-19,4056
19,2014-01-20,4441
20,2014-01-21,4207
21,2014-01-22,4245
22,2014-01-23,4230
23,2014-01-24,3946
24,2014-01-25,3874
25,2014-01-26,3993
26,2014-01-27,4347
27,2014-01-28,3997
28,2014-01-29,4063
29,2014-01-30,6477
30,2014-01-31,6812
31,2014-02-01,4710
32,2014-02-02,4529
33,2014-02-03,5083
34,2014-02-04,5166
35,2014-02-05,5587
36,2014-02-06,5643
37,2014-02-07,5146
38,2014-02-08,5052
39,2014-02-09,4714
40,2014-02-10,4811
41,2014-02-11,4793
42,2014-02-12,4632
43,2014-02-13,5470
44,2014-02-14,8825
45,2014-02-15,5132
46,2014-02-16,4717
47,2014-02-17,4237
48,2014-02-18,4273
49,2014-02-19,4060
50,2014-02-20,4073
51,2014-02-21,3968
52,2014-02-22,4282
53,2014-02-23,4416
54,2014-02-24,4608
55,2014-02-25,4407
56,2014-02-26,5326
57,2014-02-27,4742
58,2014-02-28,4644
59,2014-03-01,4219
60,2014-03-02,4081
61,2014-03-03,4137
62,2014-03-04,4125
63,2014-03-05,4002
64,2014-03-06,4169
65,2014-03-07,4141
66,2014-03-08,3927
67,2014-03-09,4516
68,2014-03-10,4084
69,2014-03-11,3717
70,2014-03-12,4626
71,2014-03-13,3807
72,2014-03-14,3702
73,2014-03-15,3439
74,2014-03-16,3676
75,2014-03-17,3845
76,2014-03-18,3777
77,2014-03-19,3580
78,2014-03-20,3525
79,2014-03-21,3399
80,2014-03-22,3230
81,2014-03-23,3375
82,2014-03-24,3594
83,2014-03-25,3362
84,2014-03-26,3375
85,2014-03-27,22134
86,2014-03-28,17469
87,2014-03-29,13535
88,2014-03-30,11120
89,2014-03-31,10586
90,2014-04-01,12620
91,2014-04-02,7979
92,2014-04-03,7457
93,2014-04-04,7584
94,2014-04-05,7668
95,2014-04-06,7621
96,2014-04-07,7998
97,2014-04-08,10092
98,2014-04-09,12645
99,2014-04-10,10296
100,2014-04-11,8409
101,2014-04-12,8206
102,2014-04-13,7732
103,2014-04-14,7825
104,2014-04-15,9327
105,2014-04-16,7547
106,2014-04-17,6646
107,2014-04-18,6430
108,2014-04-19,6767
109,2014-04-20,6693
110,2014-04-21,6564
111,2014-04-22,7877
112,2014-04-23,6275
113,2014-04-24,6332
114,2014-04-25,6204
115,2014-04-26,5932
116,2014-04-27,5866
117,2014-04-28,5856
118,2014-04-29,7428
119,2014-04-30,6544
120,2014-05-01,6089
121,2014-05-02,6204
122,2014-05-03,6501
123,2014-05-04,6178
124,2014-05-05,6672
125,2014-05-06,7525
126,2014-05-07,7700
127,2014-05-08,7635
128,2014-05-09,7055
129,2014-05-10,6291
130,2014-05-11,6496
131,2014-05-12,6152
132,2014-05-13,6579
133,2014-05-14,6509
134,2014-05-15,6826
135,2014-05-16,6919
136,2014-05-17,7175
137,2014-05-18,6779
138,2014-05-19,6833
139,2014-05-20,8948
140,2014-05-21,6647
141,2014-05-22,5797
142,2014-05-23,5129
143,2014-05-24,5331
144,2014-05-25,5527
145,2014-05-26,5091
146,2014-05-27,4800
147,2014-05-28,4760
148,2014-05-29,4974
149,2014-05-30,4635
150,2014-05-31,3783
151,2014-06-01,4463
152,2014-06-02,5194
153,2014-06-03,5021
154,2014-06-04,5213
155,2014-06-05,5315
156,2014-06-06,5079
157,2014-06-07,4943
158,2014-06-08,5020
159,2014-06-09,5027
160,2014-06-10,5110
161,2014-06-11,5471
162,2014-06-12,5791
163,2014-06-13,5490
164,2014-06-14,5603
165,2014-06-15,6219
166,2014-06-16,5777
167,2014-06-17,5835
168,2014-06-18,6353
169,2014-06-19,6153
170,2014-06-20,6084
171,2014-06-21,5834
172,2014-06-22,5877
173,2014-06-23,6038
174,2014-06-24,5881
175,2014-06-25,5897
176,2014-06-26,5898
177,2014-06-27,5581
178,2014-06-28,5254
179,2014-06-29,5353
180,2014-06-30,5433
181,2014-07-01,6876
182,2014-07-02,7128
183,2014-07-03,6872
184,2014-07-04,7072
185,2014-07-05,6552
186,2014-07-06,6905
187,2014-07-07,6994
188,2014-07-08,6922
189,2014-07-09,6530
190,2014-07-10,6706
191,2014-07-11,6472
192,2014-07-12,5928
193,2014-07-13,6041
194,2014-07-14,6428
195,2014-07-15,6637
196,2014-07-16,6563
197,2014-07-17,104222
198,2014-07-18,629723
199,2014-07-19,381321
200,2014-07-20,201734
201,2014-07-21,600530
202,2014-07-22,223774
203,2014-07-23,12178
204,2014-07-24,18243
205,2014-07-25,19363
206,2014-07-26,14170
207,2014-07-27,8715
208,2014-07-28,13979
209,2014-07-29,21729
210,2014-07-30,8715
211,2014-07-31,22505
212,2014-08-01,9718
213,2014-08-02,9049
214,2014-08-03,8073
215,2014-08-04,8929
216,2014-08-05,8831
217,2014-08-06,8857
218,2014-08-07,9935
219,2014-08-08,9703
220,2014-08-09,8338
221,2014-08-10,9676
222,2014-08-11,10275
223,2014-08-12,10602
224,2014-08-13,10246
225,2014-08-14,10486
226,2014-08-15,9715
227,2014-08-16,9185
228,2014-08-17,10024
229,2014-08-18,10335
230,2014-08-19,9500
231,2014-08-20,9317
232,2014-08-21,9146
233,2014-08-22,8967
234,2014-08-23,8772
235,2014-08-24,8667
236,2014-08-25,9036
237,2014-08-26,8866
238,2014-08-27,8912
239,2014-08-28,8626
240,2014-08-29,8152
241,2014-08-30,7393
242,2014-08-31,7527
243,2014-09-01,6295
244,2014-09-02,6669
245,2014-09-03,7173
246,2014-09-04,7275
247,2014-09-05,7819
248,2014-09-06,8795
249,2014-09-07,9753
250,2014-09-08,12232
251,2014-09-09,8652
252,2014-09-10,8154
253,2014-09-11,7594
254,2014-09-12,7681
255,2014-09-13,8178
256,2014-09-14,8359
257,2014-09-15,5808
258,2014-09-16,5758
259,2014-09-17,5586
260,2014-09-18,5901
261,2014-09-19,5698
262,2014-09-20,5830
263,2014-09-21,5867
264,2014-09-22,5903
265,2014-09-23,5951
266,2014-09-24,5928
267,2014-09-25,5835
268,2014-09-26,5590
269,2014-09-27,5726
270,2014-09-28,5734
271,2014-09-29,5449
272,2014-09-30,5596
273,2014-10-01,6062
274,2014-10-02,5819
275,2014-10-03,5977
276,2014-10-04,6172
277,2014-10-05,6137
278,2014-10-06,6040
279,2014-10-07,5864
280,2014-10-08,5647
281,2014-10-09,5547
282,2014-10-10,5836
283,2014-10-11,5810
284,2014-10-12,6301
285,2014-10-13,6311
286,2014-10-14,5938
287,2014-10-15,5637
288,2014-10-16,5473
289,2014-10-17,5526
290,2014-10-18,5846
291,2014-10-19,6101
292,2014-10-20,5816
293,2014-10-21,5867
294,2014-10-22,5860
295,2014-10-23,5729
296,2014-10-24,5590
297,2014-10-25,5858
298,2014-10-26,5769
299,2014-10-27,5349
300,2014-10-28,5697
301,2014-10-29,9882
302,2014-10-30,11075
303,2014-10-31,7211
304,2014-11-01,6507
305,2014-11-02,5856
306,2014-11-03,6366
307,2014-11-04,6129
308,2014-11-05,6257
309,2014-11-06,6132
310,2014-11-07,6156
311,2014-11-08,5937
312,2014-11-09,5559
313,2014-11-10,5376
314,2014-11-11,5018
315,2014-11-12,7261
316,2014-11-13,5936
317,2014-11-14,5179
318,2014-11-15,5968
319,2014-11-16,6147
320,2014-11-17,5694
321,2014-11-18,5526
322,2014-11-19,5407
323,2014-11-20,4961
324,2014-11-21,4889
325,2014-11-22,5135
326,2014-11-23,5097
327,2014-11-24,4847
328,2014-11-25,4689
329,2014-11-26,4719
330,2014-11-27,5264
331,2014-11-28,4718
332,2014-11-29,4752
333,2014-11-30,4671
334,2014-12-01,4462
335,2014-12-02,4347
336,2014-12-03,4380
337,2014-12-04,4279
338,2014-12-05,4099
339,2014-12-06,4142
340,2014-12-07,4422
341,2014-12-08,4167
342,2014-12-09,4213
343,2014-12-10,4426
344,2014-12-11,4507
345,2014-12-12,4115
346,2014-12-13,4230
347,2014-12-14,4335
348,2014-12-15,4193
349,2014-12-16,4181
350,2014-12-17,4105
351,2014-12-18,4122
352,2014-12-19,4513
353,2014-12-20,4250
354,2014-12-21,4489
355,2014-12-22,4544
356,2014-12-23,4134
357,2014-12-24,5013
358,2014-12-25,6500
359,2014-12-26,5232
360,2014-12-27,4929
361,2014-12-28,4684
362,2014-12-29,4794
363,2014-12-30,6401
364,2014-12-31,8324
