买买买,Date,DecryptedData
0,2014-01-01,150
1,2014-01-02,156
2,2014-01-03,162
3,2014-01-04,166
4,2014-01-05,158
5,2014-01-06,150
6,2014-01-07,149
7,2014-01-08,160
8,2014-01-09,150
9,2014-01-10,160
10,2014-01-11,151
11,2014-01-12,144
12,2014-01-13,152
13,2014-01-14,145
14,2014-01-15,147
15,2014-01-16,122
16,2014-01-17,149
17,2014-01-18,147
18,2014-01-19,79
19,2014-01-20,149
20,2014-01-21,157
21,2014-01-22,96
22,2014-01-23,144
23,2014-01-24,79
24,2014-01-25,146
25,2014-01-26,160
26,2014-01-27,151
27,2014-01-28,73
28,2014-01-29,142
29,2014-01-30,146
30,2014-01-31,127
31,2014-02-01,137
32,2014-02-02,131
33,2014-02-03,140
34,2014-02-04,131
35,2014-02-05,136
36,2014-02-06,80
37,2014-02-07,161
38,2014-02-08,135
39,2014-02-09,166
40,2014-02-10,144
41,2014-02-11,147
42,2014-02-12,137
43,2014-02-13,169
44,2014-02-14,156
45,2014-02-15,162
46,2014-02-16,152
47,2014-02-17,148
48,2014-02-18,140
49,2014-02-19,142
50,2014-02-20,138
51,2014-02-21,153
52,2014-02-22,175
53,2014-02-23,154
54,2014-02-24,144
55,2014-02-25,154
56,2014-02-26,160
57,2014-02-27,134
58,2014-02-28,139
59,2014-03-01,167
60,2014-03-02,135
61,2014-03-03,162
62,2014-03-04,149
63,2014-03-05,145
64,2014-03-06,136
65,2014-03-07,158
66,2014-03-08,146
67,2014-03-09,182
68,2014-03-10,180
69,2014-03-11,190
70,2014-03-12,181
71,2014-03-13,213
72,2014-03-14,182
73,2014-03-15,195
74,2014-03-16,182
75,2014-03-17,177
76,2014-03-18,195
77,2014-03-19,192
78,2014-03-20,184
79,2014-03-21,207
80,2014-03-22,184
81,2014-03-23,189
82,2014-03-24,223
83,2014-03-25,217
84,2014-03-26,201
85,2014-03-27,195
86,2014-03-28,218
87,2014-03-29,244
88,2014-03-30,229
89,2014-03-31,239
90,2014-04-01,216
91,2014-04-02,221
92,2014-04-03,280
93,2014-04-04,265
94,2014-04-05,288
95,2014-04-06,270
96,2014-04-07,263
97,2014-04-08,252
98,2014-04-09,305
99,2014-04-10,314
100,2014-04-11,309
101,2014-04-12,241
102,2014-04-13,329
103,2014-04-14,261
104,2014-04-15,215
105,2014-04-16,378
106,2014-04-17,463
107,2014-04-18,367
108,2014-04-19,326
109,2014-04-20,439
110,2014-04-21,351
111,2014-04-22,342
112,2014-04-23,431
113,2014-04-24,370
114,2014-04-25,531
115,2014-04-26,439
116,2014-04-27,405
117,2014-04-28,337
118,2014-04-29,354
119,2014-04-30,406
120,2014-05-01,358
121,2014-05-02,414
122,2014-05-03,393
123,2014-05-04,399
124,2014-05-05,352
125,2014-05-06,376
126,2014-05-07,357
127,2014-05-08,427
128,2014-05-09,468
129,2014-05-10,493
130,2014-05-11,442
131,2014-05-12,379
132,2014-05-13,480
133,2014-05-14,595
134,2014-05-15,493
135,2014-05-16,484
136,2014-05-17,595
137,2014-05-18,608
138,2014-05-19,616
139,2014-05-20,552
140,2014-05-21,682
141,2014-05-22,668
142,2014-05-23,541
143,2014-05-24,576
144,2014-05-25,541
145,2014-05-26,543
146,2014-05-27,501
147,2014-05-28,620
148,2014-05-29,617
149,2014-05-30,584
150,2014-05-31,436
151,2014-06-01,484
152,2014-06-02,592
153,2014-06-03,559
154,2014-06-04,605
155,2014-06-05,537
156,2014-06-06,572
157,2014-06-07,517
158,2014-06-08,793
159,2014-06-09,734
160,2014-06-10,805
161,2014-06-11,873
162,2014-06-12,748
163,2014-06-13,627
164,2014-06-14,594
165,2014-06-15,613
166,2014-06-16,599
167,2014-06-17,620
168,2014-06-18,630
169,2014-06-19,567
170,2014-06-20,618
171,2014-06-21,502
172,2014-06-22,512
173,2014-06-23,511
174,2014-06-24,503
175,2014-06-25,559
176,2014-06-26,532
177,2014-06-27,668
178,2014-06-28,602
179,2014-06-29,616
180,2014-06-30,735
181,2014-07-01,706
182,2014-07-02,724
183,2014-07-03,756
184,2014-07-04,767
185,2014-07-05,621
186,2014-07-06,652
187,2014-07-07,648
188,2014-07-08,755
189,2014-07-09,641
190,2014-07-10,638
191,2014-07-11,657
192,2014-07-12,603
193,2014-07-13,586
194,2014-07-14,780
195,2014-07-15,745
196,2014-07-16,725
197,2014-07-17,834
198,2014-07-18,774
199,2014-07-19,673
200,2014-07-20,625
201,2014-07-21,911
202,2014-07-22,833
203,2014-07-23,852
204,2014-07-24,854
205,2014-07-25,926
206,2014-07-26,773
207,2014-07-27,844
208,2014-07-28,821
209,2014-07-29,893
210,2014-07-30,905
211,2014-07-31,1103
212,2014-08-01,1065
213,2014-08-02,899
214,2014-08-03,820
215,2014-08-04,903
216,2014-08-05,916
217,2014-08-06,963
218,2014-08-07,980
219,2014-08-08,865
220,2014-08-09,740
221,2014-08-10,732
222,2014-08-11,972
223,2014-08-12,1004
224,2014-08-13,1026
225,2014-08-14,1047
226,2014-08-15,1142
227,2014-08-16,824
228,2014-08-17,888
229,2014-08-18,1183
230,2014-08-19,1626
231,2014-08-20,1435
232,2014-08-21,1307
233,2014-08-22,1227
234,2014-08-23,960
235,2014-08-24,975
236,2014-08-25,1112
237,2014-08-26,1082
238,2014-08-27,1129
239,2014-08-28,1240
240,2014-08-29,1117
241,2014-08-30,1061
242,2014-08-31,820
243,2014-09-01,1048
244,2014-09-02,1255
245,2014-09-03,1252
246,2014-09-04,1293
247,2014-09-05,1333
248,2014-09-06,1277
249,2014-09-07,1291
250,2014-09-08,1192
251,2014-09-09,1455
252,2014-09-10,1889
253,2014-09-11,1625
254,2014-09-12,1506
255,2014-09-13,1383
256,2014-09-14,1228
257,2014-09-15,1360
258,2014-09-16,1410
259,2014-09-17,1345
260,2014-09-18,1413
261,2014-09-19,1379
262,2014-09-20,1341
263,2014-09-21,1454
264,2014-09-22,1426
265,2014-09-23,1498
266,2014-09-24,1448
267,2014-09-25,1487
268,2014-09-26,1394
269,2014-09-27,1489
270,2014-09-28,1508
271,2014-09-29,1407
272,2014-09-30,1461
273,2014-10-01,1454
274,2014-10-02,1250
275,2014-10-03,1382
276,2014-10-04,1303
277,2014-10-05,1286
278,2014-10-06,1366
279,2014-10-07,1354
280,2014-10-08,1398
281,2014-10-09,1455
282,2014-10-10,1352
283,2014-10-11,1354
284,2014-10-12,1031
285,2014-10-13,1239
286,2014-10-14,1240
287,2014-10-15,1284
288,2014-10-16,1341
289,2014-10-17,1390
290,2014-10-18,1112
291,2014-10-19,1067
292,2014-10-20,1300
293,2014-10-21,1279
294,2014-10-22,1316
295,2014-10-23,1316
296,2014-10-24,1248
297,2014-10-25,991
298,2014-10-26,925
299,2014-10-27,1317
300,2014-10-28,1365
301,2014-10-29,1467
302,2014-10-30,1404
303,2014-10-31,1404
304,2014-11-01,1207
305,2014-11-02,1232
306,2014-11-03,1459
307,2014-11-04,1397
308,2014-11-05,1513
309,2014-11-06,1482
310,2014-11-07,1449
311,2014-11-08,1571
312,2014-11-09,1595
313,2014-11-10,2946
314,2014-11-11,27415
315,2014-11-12,2217
316,2014-11-13,1799
317,2014-11-14,1725
318,2014-11-15,1537
319,2014-11-16,1464
320,2014-11-17,1447
321,2014-11-18,1296
322,2014-11-19,1366
323,2014-11-20,1538
324,2014-11-21,1393
325,2014-11-22,1149
326,2014-11-23,1057
327,2014-11-24,1126
328,2014-11-25,1126
329,2014-11-26,1119
330,2014-11-27,1313
331,2014-11-28,1290
332,2014-11-29,1010
333,2014-11-30,1007
334,2014-12-01,1131
335,2014-12-02,1110
336,2014-12-03,1115
337,2014-12-04,1119
338,2014-12-05,1178
339,2014-12-06,990
340,2014-12-07,1570
341,2014-12-08,1722
342,2014-12-09,1540
343,2014-12-10,1463
344,2014-12-11,1642
345,2014-12-12,1762
346,2014-12-13,1168
347,2014-12-14,1294
348,2014-12-15,1340
349,2014-12-16,1292
350,2014-12-17,1724
351,2014-12-18,1715
352,2014-12-19,1416
353,2014-12-20,1005
354,2014-12-21,1112
355,2014-12-22,1092
356,2014-12-23,1098
357,2014-12-24,1076
358,2014-12-25,1059
359,2014-12-26,1073
360,2014-12-27,1046
361,2014-12-28,1100
362,2014-12-29,1288
363,2014-12-30,1294
364,2014-12-31,1208
