你懂的,Date,DecryptedData
0,2014-01-01,2395
1,2014-01-02,2089
2,2014-01-03,2104
3,2014-01-04,2384
4,2014-01-05,2328
5,2014-01-06,1952
6,2014-01-07,2038
7,2014-01-08,2139
8,2014-01-09,1997
9,2014-01-10,2214
10,2014-01-11,2319
11,2014-01-12,2274
12,2014-01-13,2001
13,2014-01-14,2016
14,2014-01-15,2104
15,2014-01-16,2021
16,2014-01-17,2034
17,2014-01-18,2379
18,2014-01-19,2257
19,2014-01-20,1995
20,2014-01-21,2201
21,2014-01-22,2079
22,2014-01-23,2088
23,2014-01-24,2052
24,2014-01-25,2184
25,2014-01-26,2409
26,2014-01-27,2205
27,2014-01-28,2117
28,2014-01-29,2196
29,2014-01-30,1904
30,2014-01-31,2573
31,2014-02-01,2631
32,2014-02-02,2556
33,2014-02-03,2635
34,2014-02-04,2706
35,2014-02-05,2543
36,2014-02-06,2717
37,2014-02-07,2555
38,2014-02-08,2414
39,2014-02-09,2717
40,2014-02-10,2402
41,2014-02-11,2281
42,2014-02-12,2220
43,2014-02-13,2230
44,2014-02-14,1958
45,2014-02-15,2099
46,2014-02-16,2177
47,2014-02-17,2009
48,2014-02-18,1968
49,2014-02-19,1932
50,2014-02-20,1890
51,2014-02-21,2121
52,2014-02-22,2309
53,2014-02-23,2204
54,2014-02-24,2154
55,2014-02-25,2028
56,2014-02-26,2050
57,2014-02-27,2561
58,2014-02-28,2901
59,2014-03-01,3575
60,2014-03-02,29098
61,2014-03-03,55517
62,2014-03-04,26196
63,2014-03-05,35181
64,2014-03-06,16279
65,2014-03-07,9616
66,2014-03-08,6692
67,2014-03-09,5558
68,2014-03-10,4388
69,2014-03-11,3923
70,2014-03-12,3961
71,2014-03-13,4274
72,2014-03-14,3626
73,2014-03-15,5068
74,2014-03-16,4973
75,2014-03-17,4748
76,2014-03-18,4526
77,2014-03-19,3590
78,2014-03-20,3714
79,2014-03-21,3058
80,2014-03-22,3347
81,2014-03-23,3178
82,2014-03-24,2628
83,2014-03-25,2577
84,2014-03-26,2354
85,2014-03-27,2651
86,2014-03-28,2768
87,2014-03-29,3047
88,2014-03-30,2870
89,2014-03-31,2582
90,2014-04-01,2747
91,2014-04-02,2523
92,2014-04-03,2439
93,2014-04-04,2891
94,2014-04-05,3321
95,2014-04-06,3021
96,2014-04-07,2894
97,2014-04-08,3197
98,2014-04-09,2687
99,2014-04-10,2718
100,2014-04-11,2780
101,2014-04-12,3107
102,2014-04-13,3216
103,2014-04-14,2563
104,2014-04-15,2793
105,2014-04-16,2855
106,2014-04-17,2911
107,2014-04-18,3345
108,2014-04-19,3631
109,2014-04-20,3630
110,2014-04-21,2998
111,2014-04-22,2971
112,2014-04-23,3162
113,2014-04-24,3632
114,2014-04-25,3567
115,2014-04-26,4060
116,2014-04-27,3950
117,2014-04-28,4121
118,2014-04-29,4735
119,2014-04-30,4427
120,2014-05-01,4735
121,2014-05-02,4283
122,2014-05-03,3911
123,2014-05-04,3637
124,2014-05-05,3278
125,2014-05-06,3445
126,2014-05-07,3611
127,2014-05-08,3799
128,2014-05-09,3843
