你行你上,Date,DecryptedData
0,2014-01-01,127
1,2014-01-02,139
2,2014-01-03,124
3,2014-01-04,129
4,2014-01-05,128
5,2014-01-06,145
6,2014-01-07,131
7,2014-01-08,143
8,2014-01-09,145
9,2014-01-10,135
10,2014-01-11,135
11,2014-01-12,141
12,2014-01-13,150
13,2014-01-14,139
14,2014-01-15,132
15,2014-01-16,120
16,2014-01-17,145
17,2014-01-18,137
18,2014-01-19,132
19,2014-01-20,137
20,2014-01-21,140
21,2014-01-22,135
22,2014-01-23,125
23,2014-01-24,136
24,2014-01-25,128
25,2014-01-26,142
26,2014-01-27,130
27,2014-01-28,126
28,2014-01-29,158
29,2014-01-30,142
30,2014-01-31,170
31,2014-02-01,230
32,2014-02-02,190
33,2014-02-03,171
34,2014-02-04,166
35,2014-02-05,167
36,2014-02-06,184
37,2014-02-07,213
38,2014-02-08,178
39,2014-02-09,165
40,2014-02-10,138
41,2014-02-11,134
42,2014-02-12,159
43,2014-02-13,158
44,2014-02-14,143
45,2014-02-15,161
46,2014-02-16,154
47,2014-02-17,156
48,2014-02-18,165
49,2014-02-19,134
50,2014-02-20,138
51,2014-02-21,133
52,2014-02-22,143
53,2014-02-23,137
54,2014-02-24,135
55,2014-02-25,139
56,2014-02-26,139
57,2014-02-27,168
58,2014-02-28,149
59,2014-03-01,132
60,2014-03-02,147
61,2014-03-03,139
62,2014-03-04,150
63,2014-03-05,156
64,2014-03-06,154
65,2014-03-07,148
66,2014-03-08,142
67,2014-03-09,148
68,2014-03-10,160
69,2014-03-11,130
70,2014-03-12,147
71,2014-03-13,137
72,2014-03-14,150
73,2014-03-15,148
74,2014-03-16,131
75,2014-03-17,139
76,2014-03-18,152
77,2014-03-19,156
78,2014-03-20,167
79,2014-03-21,185
80,2014-03-22,600
81,2014-03-23,1006
82,2014-03-24,261
83,2014-03-25,262
84,2014-03-26,196
85,2014-03-27,204
86,2014-03-28,248
87,2014-03-29,247
88,2014-03-30,207
89,2014-03-31,199
90,2014-04-01,184
91,2014-04-02,164
92,2014-04-03,171
93,2014-04-04,187
94,2014-04-05,841
95,2014-04-06,1435
96,2014-04-07,779
97,2014-04-08,368
98,2014-04-09,332
99,2014-04-10,312
100,2014-04-11,277
101,2014-04-12,326
102,2014-04-13,270
103,2014-04-14,248
104,2014-04-15,241
105,2014-04-16,254
106,2014-04-17,295
107,2014-04-18,487
108,2014-04-19,1090
109,2014-04-20,1273
110,2014-04-21,639
111,2014-04-22,525
112,2014-04-23,482
113,2014-04-24,512
114,2014-04-25,503
115,2014-04-26,532
116,2014-04-27,461
117,2014-04-28,418
118,2014-04-29,321
119,2014-04-30,409
120,2014-05-01,438
121,2014-05-02,396
122,2014-05-03,405
123,2014-05-04,386
124,2014-05-05,354
125,2014-05-06,361
126,2014-05-07,442
127,2014-05-08,367
128,2014-05-09,367
129,2014-05-10,365
130,2014-05-11,368
131,2014-05-12,438
132,2014-05-13,815
133,2014-05-14,1038
134,2014-05-15,531
135,2014-05-16,416
136,2014-05-17,399
137,2014-05-18,392
138,2014-05-19,371
139,2014-05-20,397
140,2014-05-21,326
141,2014-05-22,387
142,2014-05-23,994
143,2014-05-24,1350
144,2014-05-25,781
145,2014-05-26,526
146,2014-05-27,429
147,2014-05-28,427
148,2014-05-29,416
149,2014-05-30,485
150,2014-05-31,376
151,2014-06-01,346
152,2014-06-02,416
153,2014-06-03,404
154,2014-06-04,381
155,2014-06-05,354
156,2014-06-06,1021
157,2014-06-07,1211
158,2014-06-08,628
159,2014-06-09,470
160,2014-06-10,484
161,2014-06-11,431
162,2014-06-12,403
163,2014-06-13,423
164,2014-06-14,421
165,2014-06-15,388
166,2014-06-16,356
167,2014-06-17,380
168,2014-06-18,326
169,2014-06-19,345
170,2014-06-20,354
171,2014-06-21,1282
172,2014-06-22,2192
173,2014-06-23,989
174,2014-06-24,703
175,2014-06-25,595
176,2014-06-26,555
177,2014-06-27,530
178,2014-06-28,567
179,2014-06-29,526
180,2014-06-30,462
181,2014-07-01,500
182,2014-07-02,415
183,2014-07-03,463
184,2014-07-04,381
185,2014-07-05,1233
186,2014-07-06,1982
187,2014-07-07,1000
188,2014-07-08,693
189,2014-07-09,706
190,2014-07-10,707
191,2014-07-11,658
192,2014-07-12,592
193,2014-07-13,585
194,2014-07-14,651
195,2014-07-15,568
196,2014-07-16,495
197,2014-07-17,530
198,2014-07-18,823
199,2014-07-19,1063
200,2014-07-20,640
201,2014-07-21,576
202,2014-07-22,487
203,2014-07-23,508
204,2014-07-24,540
205,2014-07-25,422
206,2014-07-26,457
207,2014-07-27,479
208,2014-07-28,449
209,2014-07-29,454
210,2014-07-30,407
211,2014-07-31,470
212,2014-08-01,1086
213,2014-08-02,1339
214,2014-08-03,894
215,2014-08-04,830
216,2014-08-05,609
217,2014-08-06,618
218,2014-08-07,541
219,2014-08-08,548
220,2014-08-09,656
221,2014-08-10,685
222,2014-08-11,624
223,2014-08-12,545
224,2014-08-13,553
225,2014-08-14,477
226,2014-08-15,1144
227,2014-08-16,1604
228,2014-08-17,1196
229,2014-08-18,900
230,2014-08-19,739
231,2014-08-20,667
232,2014-08-21,706
233,2014-08-22,639
234,2014-08-23,825
235,2014-08-24,955
236,2014-08-25,668
237,2014-08-26,634
238,2014-08-27,585
239,2014-08-28,512
240,2014-08-29,1130
241,2014-08-30,1355
242,2014-08-31,923
243,2014-09-01,686
244,2014-09-02,591
245,2014-09-03,572
246,2014-09-04,525
247,2014-09-05,1134
248,2014-09-06,1284
249,2014-09-07,1035
250,2014-09-08,794
251,2014-09-09,629
252,2014-09-10,1034
253,2014-09-11,638
254,2014-09-12,1266
255,2014-09-13,2213
256,2014-09-14,1328
257,2014-09-15,946
258,2014-09-16,814
259,2014-09-17,675
260,2014-09-18,662
261,2014-09-19,644
262,2014-09-20,906
263,2014-09-21,711
264,2014-09-22,623
265,2014-09-23,595
266,2014-09-24,631
267,2014-09-25,528
268,2014-09-26,558
269,2014-09-27,736
270,2014-09-28,568
271,2014-09-29,555
272,2014-09-30,816
273,2014-10-01,920
274,2014-10-02,864
275,2014-10-03,1142
276,2014-10-04,1217
277,2014-10-05,1037
278,2014-10-06,817
