剁手族,Date,DecryptedData
0,2014-01-01,127
1,2014-01-02,146
2,2014-01-03,132
3,2014-01-04,140
4,2014-01-05,143
5,2014-01-06,129
6,2014-01-07,133
7,2014-01-08,141
8,2014-01-09,126
9,2014-01-10,135
10,2014-01-11,133
11,2014-01-12,129
12,2014-01-13,139
13,2014-01-14,196
14,2014-01-15,163
15,2014-01-16,170
16,2014-01-17,140
17,2014-01-18,129
18,2014-01-19,130
19,2014-01-20,133
20,2014-01-21,142
21,2014-01-22,124
22,2014-01-23,123
23,2014-01-24,
24,2014-01-25,134
25,2014-01-26,133
26,2014-01-27,63
27,2014-01-28,
28,2014-01-29,126
29,2014-01-30,123
30,2014-01-31,61
31,2014-02-01,63
32,2014-02-02,
33,2014-02-03,
34,2014-02-04,58
35,2014-02-05,58
36,2014-02-06,58
37,2014-02-07,137
38,2014-02-08,134
39,2014-02-09,133
40,2014-02-10,61
41,2014-02-11,135
42,2014-02-12,61
43,2014-02-13,70
44,2014-02-14,130
45,2014-02-15,125
46,2014-02-16,66
47,2014-02-17,72
48,2014-02-18,141
49,2014-02-19,130
50,2014-02-20,127
51,2014-02-21,63
52,2014-02-22,58
53,2014-02-23,124
54,2014-02-24,61
55,2014-02-25,128
56,2014-02-26,125
57,2014-02-27,133
58,2014-02-28,134
59,2014-03-01,126
60,2014-03-02,64
61,2014-03-03,68
62,2014-03-04,63
63,2014-03-05,138
64,2014-03-06,126
65,2014-03-07,125
66,2014-03-08,66
67,2014-03-09,
68,2014-03-10,130
69,2014-03-11,263
70,2014-03-12,279
71,2014-03-13,167
72,2014-03-14,149
73,2014-03-15,133
74,2014-03-16,158
75,2014-03-17,141
76,2014-03-18,138
77,2014-03-19,233
78,2014-03-20,150
79,2014-03-21,134
80,2014-03-22,125
81,2014-03-23,130
82,2014-03-24,123
83,2014-03-25,137
84,2014-03-26,127
85,2014-03-27,139
86,2014-03-28,67
87,2014-03-29,129
88,2014-03-30,118
89,2014-03-31,129
90,2014-04-01,
91,2014-04-02,118
92,2014-04-03,66
93,2014-04-04,63
94,2014-04-05,133
95,2014-04-06,66
96,2014-04-07,129
97,2014-04-08,192
98,2014-04-09,154
99,2014-04-10,144
100,2014-04-11,138
101,2014-04-12,135
102,2014-04-13,130
103,2014-04-14,126
104,2014-04-15,145
105,2014-04-16,133
106,2014-04-17,127
107,2014-04-18,143
108,2014-04-19,124
109,2014-04-20,126
110,2014-04-21,126
111,2014-04-22,72
112,2014-04-23,122
113,2014-04-24,57
114,2014-04-25,61
115,2014-04-26,74
116,2014-04-27,68
117,2014-04-28,124
118,2014-04-29,123
119,2014-04-30,70
120,2014-05-01,64
121,2014-05-02,125
122,2014-05-03,121
123,2014-05-04,132
124,2014-05-05,126
125,2014-05-06,122
126,2014-05-07,137
127,2014-05-08,160
128,2014-05-09,146
129,2014-05-10,137
130,2014-05-11,130
131,2014-05-12,168
132,2014-05-13,148
133,2014-05-14,139
134,2014-05-15,72
135,2014-05-16,144
136,2014-05-17,126
137,2014-05-18,129
138,2014-05-19,136
139,2014-05-20,123
140,2014-05-21,132
141,2014-05-22,150
142,2014-05-23,127
143,2014-05-24,70
144,2014-05-25,78
145,2014-05-26,121
146,2014-05-27,123
147,2014-05-28,72
148,2014-05-29,126
149,2014-05-30,120
150,2014-05-31,58
151,2014-06-01,121
152,2014-06-02,
153,2014-06-03,63
154,2014-06-04,
155,2014-06-05,177
156,2014-06-06,145
157,2014-06-07,64
158,2014-06-08,64
159,2014-06-09,130
160,2014-06-10,61
161,2014-06-11,131
162,2014-06-12,66
163,2014-06-13,61
164,2014-06-14,125
165,2014-06-15,66
166,2014-06-16,127
167,2014-06-17,121
168,2014-06-18,131
169,2014-06-19,128
170,2014-06-20,61
171,2014-06-21,127
172,2014-06-22,58
173,2014-06-23,121
174,2014-06-24,141
175,2014-06-25,70
176,2014-06-26,141
177,2014-06-27,61
178,2014-06-28,128
179,2014-06-29,124
180,2014-06-30,
181,2014-07-01,131
182,2014-07-02,119
183,2014-07-03,152
184,2014-07-04,131
185,2014-07-05,124
186,2014-07-06,71
187,2014-07-07,136
188,2014-07-08,134
189,2014-07-09,126
190,2014-07-10,125
191,2014-07-11,132
192,2014-07-12,138
193,2014-07-13,124
194,2014-07-14,58
195,2014-07-15,124
196,2014-07-16,123
197,2014-07-17,120
198,2014-07-18,121
199,2014-07-19,63
200,2014-07-20,61
201,2014-07-21,123
202,2014-07-22,126
203,2014-07-23,124
204,2014-07-24,127
205,2014-07-25,126
206,2014-07-26,63
207,2014-07-27,125
208,2014-07-28,128
209,2014-07-29,123
210,2014-07-30,142
211,2014-07-31,133
212,2014-08-01,122
213,2014-08-02,130
214,2014-08-03,119
215,2014-08-04,131
216,2014-08-05,125
217,2014-08-06,141
218,2014-08-07,134
219,2014-08-08,130
220,2014-08-09,125
221,2014-08-10,131
222,2014-08-11,121
223,2014-08-12,68
224,2014-08-13,155
225,2014-08-14,130
226,2014-08-15,140
227,2014-08-16,
228,2014-08-17,121
229,2014-08-18,140
230,2014-08-19,127
231,2014-08-20,130
232,2014-08-21,131
233,2014-08-22,165
234,2014-08-23,142
235,2014-08-24,137
236,2014-08-25,129
237,2014-08-26,133
238,2014-08-27,152
239,2014-08-28,110
240,2014-08-29,170
241,2014-08-30,132
242,2014-08-31,141
243,2014-09-01,128
244,2014-09-02,135
245,2014-09-03,146
246,2014-09-04,139
247,2014-09-05,61
248,2014-09-06,128
249,2014-09-07,124
250,2014-09-08,131
251,2014-09-09,131
252,2014-09-10,134
253,2014-09-11,129
254,2014-09-12,125
255,2014-09-13,129
256,2014-09-14,61
257,2014-09-15,129
258,2014-09-16,68
259,2014-09-17,66
260,2014-09-18,134
261,2014-09-19,64
262,2014-09-20,135
263,2014-09-21,138
264,2014-09-22,150
265,2014-09-23,146
266,2014-09-24,137
267,2014-09-25,133
268,2014-09-26,129
269,2014-09-27,131
270,2014-09-28,76
271,2014-09-29,129
272,2014-09-30,121
273,2014-10-01,
274,2014-10-02,134
275,2014-10-03,
276,2014-10-04,130
277,2014-10-05,65
278,2014-10-06,133
279,2014-10-07,124
280,2014-10-08,133
281,2014-10-09,60
282,2014-10-10,131
283,2014-10-11,200
284,2014-10-12,294
285,2014-10-13,277
286,2014-10-14,204
287,2014-10-15,138
288,2014-10-16,152
289,2014-10-17,145
290,2014-10-18,137
291,2014-10-19,147
292,2014-10-20,143
293,2014-10-21,149
294,2014-10-22,136
295,2014-10-23,146
296,2014-10-24,167
297,2014-10-25,150
298,2014-10-26,527
299,2014-10-27,350
300,2014-10-28,217
301,2014-10-29,226
302,2014-10-30,181
303,2014-10-31,167
304,2014-11-01,153
305,2014-11-02,162
306,2014-11-03,207
307,2014-11-04,246
308,2014-11-05,266
309,2014-11-06,302
310,2014-11-07,293
311,2014-11-08,288
312,2014-11-09,374
313,2014-11-10,781
314,2014-11-11,1777
315,2014-11-12,1633
316,2014-11-13,895
317,2014-11-14,487
318,2014-11-15,348
319,2014-11-16,348
320,2014-11-17,299
321,2014-11-18,293
322,2014-11-19,257
323,2014-11-20,222
324,2014-11-21,207
325,2014-11-22,192
326,2014-11-23,169
327,2014-11-24,180
328,2014-11-25,185
329,2014-11-26,195
330,2014-11-27,197
331,2014-11-28,190
332,2014-11-29,191
333,2014-11-30,172
334,2014-12-01,189
335,2014-12-02,199
336,2014-12-03,201
337,2014-12-04,214
338,2014-12-05,205
339,2014-12-06,155
340,2014-12-07,152
341,2014-12-08,258
342,2014-12-09,594
343,2014-12-10,362
344,2014-12-11,339
345,2014-12-12,389
346,2014-12-13,273
347,2014-12-14,230
348,2014-12-15,203
349,2014-12-16,197
350,2014-12-17,173
351,2014-12-18,197
352,2014-12-19,182
353,2014-12-20,152
354,2014-12-21,151
355,2014-12-22,184
356,2014-12-23,173
357,2014-12-24,158
358,2014-12-25,173
359,2014-12-26,176
360,2014-12-27,156
361,2014-12-28,167
362,2014-12-29,167
363,2014-12-30,160
364,2014-12-31,149
