天了噜,Date,DecryptedData
0,2014-01-01,381
1,2014-01-02,359
2,2014-01-03,303
3,2014-01-04,327
4,2014-01-05,333
5,2014-01-06,305
6,2014-01-07,314
7,2014-01-08,287
8,2014-01-09,285
9,2014-01-10,280
10,2014-01-11,291
11,2014-01-12,322
12,2014-01-13,279
13,2014-01-14,257
14,2014-01-15,323
15,2014-01-16,319
16,2014-01-17,298
17,2014-01-18,250
18,2014-01-19,320
19,2014-01-20,307
20,2014-01-21,265
21,2014-01-22,321
22,2014-01-23,321
23,2014-01-24,266
24,2014-01-25,271
25,2014-01-26,328
26,2014-01-27,307
27,2014-01-28,320
28,2014-01-29,325
29,2014-01-30,293
30,2014-01-31,293
31,2014-02-01,256
32,2014-02-02,305
33,2014-02-03,350
34,2014-02-04,375
35,2014-02-05,339
36,2014-02-06,314
37,2014-02-07,364
38,2014-02-08,303
39,2014-02-09,361
40,2014-02-10,330
41,2014-02-11,306
42,2014-02-12,358
43,2014-02-13,377
44,2014-02-14,335
45,2014-02-15,314
46,2014-02-16,305
47,2014-02-17,276
48,2014-02-18,319
49,2014-02-19,346
50,2014-02-20,287
51,2014-02-21,257
52,2014-02-22,272
53,2014-02-23,306
54,2014-02-24,277
55,2014-02-25,267
56,2014-02-26,260
57,2014-02-27,292
58,2014-02-28,270
59,2014-03-01,274
60,2014-03-02,241
61,2014-03-03,265
62,2014-03-04,251
63,2014-03-05,246
64,2014-03-06,288
65,2014-03-07,279
66,2014-03-08,255
67,2014-03-09,295
68,2014-03-10,274
69,2014-03-11,250
70,2014-03-12,265
71,2014-03-13,280
72,2014-03-14,273
73,2014-03-15,303
74,2014-03-16,283
75,2014-03-17,269
76,2014-03-18,287
77,2014-03-19,323
78,2014-03-20,290
79,2014-03-21,282
80,2014-03-22,278
81,2014-03-23,345
82,2014-03-24,306
83,2014-03-25,311
84,2014-03-26,267
85,2014-03-27,266
86,2014-03-28,299
87,2014-03-29,252
88,2014-03-30,326
89,2014-03-31,316
90,2014-04-01,285
91,2014-04-02,269
92,2014-04-03,426
93,2014-04-04,422
94,2014-04-05,354
95,2014-04-06,331
96,2014-04-07,309
97,2014-04-08,329
98,2014-04-09,330
99,2014-04-10,330
100,2014-04-11,402
101,2014-04-12,340
102,2014-04-13,365
103,2014-04-14,311
104,2014-04-15,285
105,2014-04-16,285
106,2014-04-17,314
107,2014-04-18,327
108,2014-04-19,301
109,2014-04-20,378
110,2014-04-21,347
111,2014-04-22,371
112,2014-04-23,346
113,2014-04-24,343
114,2014-04-25,374
115,2014-04-26,406
116,2014-04-27,324
117,2014-04-28,337
118,2014-04-29,327
119,2014-04-30,317
120,2014-05-01,333
121,2014-05-02,357
122,2014-05-03,344
123,2014-05-04,357
124,2014-05-05,334
125,2014-05-06,484
126,2014-05-07,420
127,2014-05-08,418
128,2014-05-09,406
129,2014-05-10,385
130,2014-05-11,392
131,2014-05-12,401
132,2014-05-13,414
133,2014-05-14,378
134,2014-05-15,493
135,2014-05-16,475
136,2014-05-17,444
137,2014-05-18,421
138,2014-05-19,372
139,2014-05-20,363
140,2014-05-21,430
141,2014-05-22,470
142,2014-05-23,440
143,2014-05-24,425
144,2014-05-25,462
145,2014-05-26,476
146,2014-05-27,437
147,2014-05-28,429
148,2014-05-29,448
149,2014-05-30,449
150,2014-05-31,342
151,2014-06-01,372
152,2014-06-02,428
153,2014-06-03,433
154,2014-06-04,451
155,2014-06-05,497
156,2014-06-06,454
157,2014-06-07,464
158,2014-06-08,400
159,2014-06-09,494
160,2014-06-10,480
161,2014-06-11,448
162,2014-06-12,427
163,2014-06-13,477
164,2014-06-14,469
165,2014-06-15,1115
166,2014-06-16,1027
167,2014-06-17,726
168,2014-06-18,646
169,2014-06-19,677
170,2014-06-20,527
171,2014-06-21,450
172,2014-06-22,611
173,2014-06-23,609
174,2014-06-24,675
175,2014-06-25,662
176,2014-06-26,672
177,2014-06-27,619
178,2014-06-28,763
179,2014-06-29,670
180,2014-06-30,670
181,2014-07-01,700
182,2014-07-02,924
183,2014-07-03,895
184,2014-07-04,758
185,2014-07-05,657
186,2014-07-06,713
187,2014-07-07,750
188,2014-07-08,813
189,2014-07-09,790
190,2014-07-10,816
191,2014-07-11,775
192,2014-07-12,697
193,2014-07-13,749
194,2014-07-14,873
195,2014-07-15,1022
196,2014-07-16,1025
197,2014-07-17,1033
198,2014-07-18,1040
199,2014-07-19,737
200,2014-07-20,711
201,2014-07-21,898
202,2014-07-22,862
203,2014-07-23,856
204,2014-07-24,991
205,2014-07-25,901
206,2014-07-26,914
207,2014-07-27,800
208,2014-07-28,839
209,2014-07-29,868
210,2014-07-30,850
211,2014-07-31,847
