撕逼,Date,DecryptedData
0,2014-01-01,171
1,2014-01-02,184
2,2014-01-03,165
3,2014-01-04,175
4,2014-01-05,149
5,2014-01-06,176
6,2014-01-07,165
7,2014-01-08,184
8,2014-01-09,187
9,2014-01-10,181
10,2014-01-11,161
11,2014-01-12,175
12,2014-01-13,165
13,2014-01-14,176
14,2014-01-15,166
15,2014-01-16,267
16,2014-01-17,193
17,2014-01-18,163
18,2014-01-19,187
19,2014-01-20,172
20,2014-01-21,191
21,2014-01-22,176
22,2014-01-23,215
23,2014-01-24,186
24,2014-01-25,207
25,2014-01-26,182
26,2014-01-27,195
27,2014-01-28,180
28,2014-01-29,149
29,2014-01-30,179
30,2014-01-31,183
31,2014-02-01,180
32,2014-02-02,193
33,2014-02-03,191
34,2014-02-04,184
35,2014-02-05,172
36,2014-02-06,193
37,2014-02-07,201
38,2014-02-08,199
39,2014-02-09,193
40,2014-02-10,181
41,2014-02-11,214
42,2014-02-12,170
43,2014-02-13,187
44,2014-02-14,189
45,2014-02-15,188
46,2014-02-16,173
47,2014-02-17,204
48,2014-02-18,180
49,2014-02-19,190
50,2014-02-20,189
51,2014-02-21,279
52,2014-02-22,308
53,2014-02-23,245
54,2014-02-24,423
55,2014-02-25,313
56,2014-02-26,323
57,2014-02-27,299
58,2014-02-28,272
59,2014-03-01,284
60,2014-03-02,223
61,2014-03-03,281
62,2014-03-04,226
63,2014-03-05,266
64,2014-03-06,241
65,2014-03-07,276
66,2014-03-08,220
67,2014-03-09,244
68,2014-03-10,226
69,2014-03-11,224
70,2014-03-12,220
71,2014-03-13,226
72,2014-03-14,220
73,2014-03-15,213
74,2014-03-16,202
75,2014-03-17,248
76,2014-03-18,212
77,2014-03-19,220
78,2014-03-20,189
79,2014-03-21,231
80,2014-03-22,225
81,2014-03-23,298
82,2014-03-24,229
83,2014-03-25,209
84,2014-03-26,195
85,2014-03-27,215
86,2014-03-28,203
87,2014-03-29,221
88,2014-03-30,218
89,2014-03-31,208
90,2014-04-01,219
91,2014-04-02,255
92,2014-04-03,265
93,2014-04-04,287
94,2014-04-05,251
95,2014-04-06,238
96,2014-04-07,227
97,2014-04-08,225
98,2014-04-09,313
99,2014-04-10,245
100,2014-04-11,210
101,2014-04-12,227
102,2014-04-13,257
103,2014-04-14,345
104,2014-04-15,517
105,2014-04-16,380
106,2014-04-17,487
107,2014-04-18,390
108,2014-04-19,324
109,2014-04-20,1101
110,2014-04-21,1300
111,2014-04-22,899
112,2014-04-23,600
113,2014-04-24,562
114,2014-04-25,478
115,2014-04-26,430
116,2014-04-27,811
117,2014-04-28,697
118,2014-04-29,726
119,2014-04-30,773
120,2014-05-01,1340
121,2014-05-02,828
122,2014-05-03,631
123,2014-05-04,629
124,2014-05-05,561
125,2014-05-06,631
126,2014-05-07,684
127,2014-05-08,570
128,2014-05-09,543
129,2014-05-10,517
130,2014-05-11,548
131,2014-05-12,620
132,2014-05-13,581
133,2014-05-14,598
134,2014-05-15,660
135,2014-05-16,614
136,2014-05-17,703
137,2014-05-18,717
138,2014-05-19,588
139,2014-05-20,704
140,2014-05-21,946
141,2014-05-22,1119
142,2014-05-23,674
143,2014-05-24,743
144,2014-05-25,636
145,2014-05-26,630
146,2014-05-27,515
147,2014-05-28,576
148,2014-05-29,628
149,2014-05-30,501
150,2014-05-31,398
151,2014-06-01,443
152,2014-06-02,573
153,2014-06-03,550
154,2014-06-04,639
155,2014-06-05,591
156,2014-06-06,1467
157,2014-06-07,1226
158,2014-06-08,1119
159,2014-06-09,858
160,2014-06-10,824
161,2014-06-11,896
162,2014-06-12,786
163,2014-06-13,593
164,2014-06-14,822
165,2014-06-15,1075
166,2014-06-16,1334
167,2014-06-17,1129
168,2014-06-18,2716
169,2014-06-19,1885
170,2014-06-20,1719
171,2014-06-21,1431
172,2014-06-22,1207
173,2014-06-23,1422
174,2014-06-24,1187
175,2014-06-25,979
176,2014-06-26,850
177,2014-06-27,846
178,2014-06-28,872
179,2014-06-29,911
180,2014-06-30,891
181,2014-07-01,1077
182,2014-07-02,977
183,2014-07-03,1106
184,2014-07-04,1214
185,2014-07-05,1011
186,2014-07-06,910
187,2014-07-07,1912
188,2014-07-08,2071
189,2014-07-09,1689
190,2014-07-10,1759
191,2014-07-11,1830
192,2014-07-12,1771
193,2014-07-13,1795
194,2014-07-14,1757
195,2014-07-15,1775
196,2014-07-16,1788
197,2014-07-17,4929
198,2014-07-18,5559
199,2014-07-19,6300
200,2014-07-20,9885
201,2014-07-21,7437
