断舍离,Date,DecryptedData
0,2014-01-01,377
1,2014-01-02,541
2,2014-01-03,517
3,2014-01-04,446
4,2014-01-05,544
5,2014-01-06,497
6,2014-01-07,557
7,2014-01-08,506
8,2014-01-09,640
9,2014-01-10,570
10,2014-01-11,443
11,2014-01-12,536
12,2014-01-13,566
13,2014-01-14,505
14,2014-01-15,475
15,2014-01-16,516
16,2014-01-17,498
17,2014-01-18,414
18,2014-01-19,533
19,2014-01-20,509
20,2014-01-21,630
21,2014-01-22,728
22,2014-01-23,528
23,2014-01-24,380
24,2014-01-25,405
25,2014-01-26,508
26,2014-01-27,435
27,2014-01-28,479
28,2014-01-29,431
29,2014-01-30,340
30,2014-01-31,353
31,2014-02-01,459
32,2014-02-02,559
33,2014-02-03,482
34,2014-02-04,523
35,2014-02-05,607
36,2014-02-06,725
37,2014-02-07,775
38,2014-02-08,768
39,2014-02-09,602
40,2014-02-10,625
41,2014-02-11,582
42,2014-02-12,634
43,2014-02-13,750
44,2014-02-14,592
45,2014-02-15,578
46,2014-02-16,832
47,2014-02-17,1302
48,2014-02-18,1178
49,2014-02-19,935
50,2014-02-20,831
51,2014-02-21,796
52,2014-02-22,703
53,2014-02-23,751
54,2014-02-24,1012
55,2014-02-25,840
56,2014-02-26,800
57,2014-02-27,924
58,2014-02-28,745
59,2014-03-01,686
60,2014-03-02,752
61,2014-03-03,846
62,2014-03-04,905
63,2014-03-05,909
64,2014-03-06,887
65,2014-03-07,850
66,2014-03-08,622
67,2014-03-09,734
68,2014-03-10,922
69,2014-03-11,1001
70,2014-03-12,1063
71,2014-03-13,1488
72,2014-03-14,1134
73,2014-03-15,734
74,2014-03-16,790
75,2014-03-17,941
76,2014-03-18,921
77,2014-03-19,800
78,2014-03-20,1059
79,2014-03-21,967
80,2014-03-22,771
81,2014-03-23,835
82,2014-03-24,835
83,2014-03-25,799
84,2014-03-26,782
85,2014-03-27,829
86,2014-03-28,732
87,2014-03-29,732
88,2014-03-30,814
89,2014-03-31,759
90,2014-04-01,688
91,2014-04-02,851
92,2014-04-03,748
93,2014-04-04,672
94,2014-04-05,592
95,2014-04-06,822
96,2014-04-07,952
97,2014-04-08,1056
98,2014-04-09,989
99,2014-04-10,1085
100,2014-04-11,926
101,2014-04-12,1100
102,2014-04-13,931
103,2014-04-14,1076
104,2014-04-15,862
105,2014-04-16,826
106,2014-04-17,933
107,2014-04-18,855
108,2014-04-19,758
109,2014-04-20,848
110,2014-04-21,891
111,2014-04-22,831
112,2014-04-23,1068
113,2014-04-24,1143
114,2014-04-25,1079
115,2014-04-26,868
116,2014-04-27,924
117,2014-04-28,1094
118,2014-04-29,913
119,2014-04-30,729
120,2014-05-01,722
121,2014-05-02,716
122,2014-05-03,897
123,2014-05-04,1221
124,2014-05-05,1242
125,2014-05-06,1152
126,2014-05-07,1000
127,2014-05-08,975
128,2014-05-09,949
129,2014-05-10,751
130,2014-05-11,873
131,2014-05-12,848
132,2014-05-13,927
133,2014-05-14,956
134,2014-05-15,1505
135,2014-05-16,1129
136,2014-05-17,928
137,2014-05-18,1068
138,2014-05-19,1208
139,2014-05-20,1058
140,2014-05-21,1207
141,2014-05-22,1098
142,2014-05-23,1025
143,2014-05-24,907
144,2014-05-25,1013
145,2014-05-26,1132
146,2014-05-27,1020
147,2014-05-28,998
148,2014-05-29,960
149,2014-05-30,894
150,2014-05-31,589
151,2014-06-01,663
152,2014-06-02,918
153,2014-06-03,1090
