果取关,Date,DecryptedData
0,2014-01-01,149
1,2014-01-02,166
2,2014-01-03,183
3,2014-01-04,197
4,2014-01-05,171
5,2014-01-06,165
6,2014-01-07,194
7,2014-01-08,190
8,2014-01-09,187
9,2014-01-10,145
10,2014-01-11,161
11,2014-01-12,149
12,2014-01-13,164
13,2014-01-14,174
14,2014-01-15,74
15,2014-01-16,153
16,2014-01-17,177
17,2014-01-18,176
18,2014-01-19,167
19,2014-01-20,156
20,2014-01-21,149
21,2014-01-22,162
22,2014-01-23,191
23,2014-01-24,147
24,2014-01-25,140
25,2014-01-26,146
26,2014-01-27,154
27,2014-01-28,140
28,2014-01-29,159
29,2014-01-30,142
30,2014-01-31,145
31,2014-02-01,137
32,2014-02-02,140
33,2014-02-03,140
34,2014-02-04,78
35,2014-02-05,141
36,2014-02-06,161
37,2014-02-07,144
38,2014-02-08,157
39,2014-02-09,135
40,2014-02-10,166
41,2014-02-11,163
42,2014-02-12,201
43,2014-02-13,150
44,2014-02-14,175
45,2014-02-15,157
46,2014-02-16,153
47,2014-02-17,156
48,2014-02-18,152
49,2014-02-19,138
50,2014-02-20,145
51,2014-02-21,63
52,2014-02-22,136
53,2014-02-23,139
54,2014-02-24,127
55,2014-02-25,133
56,2014-02-26,152
57,2014-02-27,135
58,2014-02-28,152
59,2014-03-01,139
60,2014-03-02,156
61,2014-03-03,137
62,2014-03-04,148
63,2014-03-05,141
64,2014-03-06,154
65,2014-03-07,141
66,2014-03-08,151
67,2014-03-09,150
68,2014-03-10,140
69,2014-03-11,149
70,2014-03-12,141
71,2014-03-13,228
72,2014-03-14,144
73,2014-03-15,150
74,2014-03-16,144
75,2014-03-17,138
76,2014-03-18,150
77,2014-03-19,150
78,2014-03-20,139
79,2014-03-21,160
80,2014-03-22,146
81,2014-03-23,150
82,2014-03-24,155
83,2014-03-25,160
84,2014-03-26,133
85,2014-03-27,151
86,2014-03-28,155
87,2014-03-29,191
88,2014-03-30,155
89,2014-03-31,174
90,2014-04-01,214
91,2014-04-02,217
92,2014-04-03,165
93,2014-04-04,135
94,2014-04-05,143
95,2014-04-06,149
96,2014-04-07,142
97,2014-04-08,138
98,2014-04-09,191
99,2014-04-10,164
100,2014-04-11,186
101,2014-04-12,147
102,2014-04-13,209
103,2014-04-14,184
104,2014-04-15,183
105,2014-04-16,176
106,2014-04-17,165
107,2014-04-18,167
108,2014-04-19,157
109,2014-04-20,155
110,2014-04-21,151
111,2014-04-22,152
112,2014-04-23,154
113,2014-04-24,159
114,2014-04-25,152
115,2014-04-26,155
116,2014-04-27,156
117,2014-04-28,157
118,2014-04-29,358
119,2014-04-30,275
120,2014-05-01,228
121,2014-05-02,149
122,2014-05-03,169
123,2014-05-04,161
124,2014-05-05,187
125,2014-05-06,155
126,2014-05-07,163
127,2014-05-08,157
128,2014-05-09,206
