火钳刘明,Date,DecryptedData
0,2014-01-01,1065
1,2014-01-02,1149
2,2014-01-03,964
3,2014-01-04,871
4,2014-01-05,854
5,2014-01-06,847
6,2014-01-07,836
7,2014-01-08,785
8,2014-01-09,771
9,2014-01-10,723
10,2014-01-11,675
11,2014-01-12,736
12,2014-01-13,764
13,2014-01-14,689
14,2014-01-15,727
15,2014-01-16,711
16,2014-01-17,687
17,2014-01-18,564
18,2014-01-19,586
19,2014-01-20,612
20,2014-01-21,673
21,2014-01-22,631
22,2014-01-23,638
23,2014-01-24,497
24,2014-01-25,587
25,2014-01-26,637
26,2014-01-27,638
27,2014-01-28,716
28,2014-01-29,634
29,2014-01-30,520
30,2014-01-31,517
31,2014-02-01,510
32,2014-02-02,554
33,2014-02-03,566
34,2014-02-04,632
35,2014-02-05,603
36,2014-02-06,611
37,2014-02-07,649
38,2014-02-08,698
39,2014-02-09,637
40,2014-02-10,707
41,2014-02-11,844
42,2014-02-12,729
43,2014-02-13,667
44,2014-02-14,668
45,2014-02-15,605
46,2014-02-16,587
47,2014-02-17,629
48,2014-02-18,579
49,2014-02-19,642
50,2014-02-20,575
51,2014-02-21,515
52,2014-02-22,500
53,2014-02-23,592
54,2014-02-24,531
55,2014-02-25,511
56,2014-02-26,509
57,2014-02-27,508
58,2014-02-28,507
59,2014-03-01,466
60,2014-03-02,578
61,2014-03-03,466
62,2014-03-04,466
63,2014-03-05,415
64,2014-03-06,483
65,2014-03-07,487
66,2014-03-08,434
67,2014-03-09,530
68,2014-03-10,448
69,2014-03-11,564
70,2014-03-12,545
71,2014-03-13,491
72,2014-03-14,500
73,2014-03-15,582
74,2014-03-16,485
75,2014-03-17,449
76,2014-03-18,447
77,2014-03-19,463
78,2014-03-20,534
79,2014-03-21,495
80,2014-03-22,453
81,2014-03-23,443
82,2014-03-24,477
83,2014-03-25,490
84,2014-03-26,489
85,2014-03-27,472
86,2014-03-28,467
87,2014-03-29,493
88,2014-03-30,489
89,2014-03-31,456
90,2014-04-01,463
91,2014-04-02,420
92,2014-04-03,405
93,2014-04-04,426
94,2014-04-05,449
95,2014-04-06,452
96,2014-04-07,440
97,2014-04-08,503
98,2014-04-09,450
99,2014-04-10,477
100,2014-04-11,472
101,2014-04-12,464
102,2014-04-13,485
103,2014-04-14,426
104,2014-04-15,448
105,2014-04-16,465
106,2014-04-17,429
107,2014-04-18,500
108,2014-04-19,469
109,2014-04-20,505
110,2014-04-21,485
111,2014-04-22,486
112,2014-04-23,495
113,2014-04-24,442
114,2014-04-25,609
115,2014-04-26,545
116,2014-04-27,581
117,2014-04-28,521
118,2014-04-29,465
119,2014-04-30,506
120,2014-05-01,512
121,2014-05-02,512
122,2014-05-03,566
123,2014-05-04,561
124,2014-05-05,543
125,2014-05-06,525
126,2014-05-07,666
127,2014-05-08,626
128,2014-05-09,496
129,2014-05-10,528
130,2014-05-11,518
131,2014-05-12,561
132,2014-05-13,575
133,2014-05-14,572
134,2014-05-15,556
135,2014-05-16,533
136,2014-05-17,510
137,2014-05-18,481
138,2014-05-19,458
139,2014-05-20,574
140,2014-05-21,629
141,2014-05-22,537
142,2014-05-23,484
143,2014-05-24,530
144,2014-05-25,590
145,2014-05-26,487
146,2014-05-27,543
147,2014-05-28,689
148,2014-05-29,574
149,2014-05-30,560
150,2014-05-31,412
151,2014-06-01,452
152,2014-06-02,644
153,2014-06-03,530
154,2014-06-04,604
155,2014-06-05,566
156,2014-06-06,564
157,2014-06-07,557
158,2014-06-08,582
159,2014-06-09,553
160,2014-06-10,607
161,2014-06-11,634
162,2014-06-12,591
163,2014-06-13,540
164,2014-06-14,492
165,2014-06-15,754
166,2014-06-16,644
167,2014-06-17,618
168,2014-06-18,596
169,2014-06-19,555
170,2014-06-20,509
171,2014-06-21,491
172,2014-06-22,502
173,2014-06-23,525
174,2014-06-24,603
175,2014-06-25,621
176,2014-06-26,603
177,2014-06-27,574
178,2014-06-28,548
179,2014-06-29,530
180,2014-06-30,551
181,2014-07-01,616
182,2014-07-02,587
183,2014-07-03,610
184,2014-07-04,570
185,2014-07-05,522
186,2014-07-06,492
187,2014-07-07,596
188,2014-07-08,619
189,2014-07-09,599
190,2014-07-10,623
191,2014-07-11,603
192,2014-07-12,478
193,2014-07-13,521
194,2014-07-14,539
195,2014-07-15,569
196,2014-07-16,612
197,2014-07-17,629
198,2014-07-18,631
199,2014-07-19,557
200,2014-07-20,642
201,2014-07-21,580
202,2014-07-22,728
203,2014-07-23,661
204,2014-07-24,634
205,2014-07-25,624
206,2014-07-26,1130
207,2014-07-27,1029
208,2014-07-28,805
209,2014-07-29,783
210,2014-07-30,741
211,2014-07-31,770
212,2014-08-01,664
213,2014-08-02,557
214,2014-08-03,574
215,2014-08-04,600
216,2014-08-05,638
217,2014-08-06,718
218,2014-08-07,825
219,2014-08-08,620
220,2014-08-09,644
221,2014-08-10,574
222,2014-08-11,695
223,2014-08-12,753
224,2014-08-13,715
225,2014-08-14,705
226,2014-08-15,666
227,2014-08-16,600
228,2014-08-17,625
229,2014-08-18,784
230,2014-08-19,753
231,2014-08-20,748
232,2014-08-21,603
233,2014-08-22,622
234,2014-08-23,587
235,2014-08-24,692
236,2014-08-25,1349
237,2014-08-26,1217
238,2014-08-27,803
239,2014-08-28,781
240,2014-08-29,790
241,2014-08-30,632
242,2014-08-31,573
243,2014-09-01,560
244,2014-09-02,531
245,2014-09-03,551
246,2014-09-04,569
247,2014-09-05,567
248,2014-09-06,664
249,2014-09-07,662
250,2014-09-08,698
251,2014-09-09,660
252,2014-09-10,705
253,2014-09-11,633
254,2014-09-12,595
255,2014-09-13,597
256,2014-09-14,723
257,2014-09-15,585
258,2014-09-16,522
259,2014-09-17,529
260,2014-09-18,560
261,2014-09-19,516
262,2014-09-20,535
263,2014-09-21,500
264,2014-09-22,547
265,2014-09-23,514
266,2014-09-24,495
267,2014-09-25,498
268,2014-09-26,468
269,2014-09-27,555
270,2014-09-28,438
271,2014-09-29,526
272,2014-09-30,519
273,2014-10-01,535
274,2014-10-02,659
275,2014-10-03,669
276,2014-10-04,579
277,2014-10-05,559
278,2014-10-06,761
279,2014-10-07,725
280,2014-10-08,669
281,2014-10-09,656
282,2014-10-10,754
283,2014-10-11,651
284,2014-10-12,640
285,2014-10-13,488
286,2014-10-14,549
287,2014-10-15,555
288,2014-10-16,563
289,2014-10-17,521
290,2014-10-18,592
291,2014-10-19,526
292,2014-10-20,477
293,2014-10-21,517
294,2014-10-22,490
295,2014-10-23,511
296,2014-10-24,533
297,2014-10-25,543
298,2014-10-26,467
299,2014-10-27,512
300,2014-10-28,541
301,2014-10-29,515
302,2014-10-30,495
303,2014-10-31,492
304,2014-11-01,492
305,2014-11-02,505
306,2014-11-03,461
307,2014-11-04,502
308,2014-11-05,521
309,2014-11-06,488
310,2014-11-07,520
311,2014-11-08,481
312,2014-11-09,489
313,2014-11-10,443
314,2014-11-11,457
315,2014-11-12,489
316,2014-11-13,430
317,2014-11-14,444
318,2014-11-15,492
319,2014-11-16,509
320,2014-11-17,443
321,2014-11-18,459
322,2014-11-19,485
323,2014-11-20,428
324,2014-11-21,444
325,2014-11-22,536
326,2014-11-23,496
327,2014-11-24,436
328,2014-11-25,487
329,2014-11-26,449
330,2014-11-27,530
331,2014-11-28,553
332,2014-11-29,505
333,2014-11-30,579
334,2014-12-01,601
335,2014-12-02,630
336,2014-12-03,614
337,2014-12-04,650
338,2014-12-05,658
339,2014-12-06,696
340,2014-12-07,839
341,2014-12-08,632
342,2014-12-09,643
343,2014-12-10,597
344,2014-12-11,650
345,2014-12-12,716
346,2014-12-13,568
347,2014-12-14,562
348,2014-12-15,560
349,2014-12-16,510
350,2014-12-17,488
351,2014-12-18,479
352,2014-12-19,487
353,2014-12-20,518
354,2014-12-21,520
355,2014-12-22,481
356,2014-12-23,501
357,2014-12-24,502
358,2014-12-25,488
359,2014-12-26,536
360,2014-12-27,523
361,2014-12-28,556
362,2014-12-29,522
363,2014-12-30,529
364,2014-12-31,531
