碉堡了,Date,DecryptedData
0,2014-01-01,291
1,2014-01-02,373
2,2014-01-03,334
3,2014-01-04,329
4,2014-01-05,377
5,2014-01-06,357
6,2014-01-07,348
7,2014-01-08,350
8,2014-01-09,389
9,2014-01-10,335
10,2014-01-11,334
11,2014-01-12,338
12,2014-01-13,338
13,2014-01-14,457
14,2014-01-15,349
15,2014-01-16,348
16,2014-01-17,367
17,2014-01-18,340
18,2014-01-19,341
19,2014-01-20,403
20,2014-01-21,404
21,2014-01-22,330
22,2014-01-23,302
23,2014-01-24,267
24,2014-01-25,295
25,2014-01-26,290
26,2014-01-27,305
27,2014-01-28,286
28,2014-01-29,278
29,2014-01-30,235
30,2014-01-31,272
31,2014-02-01,298
32,2014-02-02,294
33,2014-02-03,305
34,2014-02-04,319
35,2014-02-05,285
36,2014-02-06,305
37,2014-02-07,340
38,2014-02-08,313
39,2014-02-09,258
40,2014-02-10,290
41,2014-02-11,305
42,2014-02-12,318
43,2014-02-13,325
44,2014-02-14,319
45,2014-02-15,295
46,2014-02-16,285
47,2014-02-17,299
48,2014-02-18,265
49,2014-02-19,267
50,2014-02-20,276
51,2014-02-21,274
52,2014-02-22,242
53,2014-02-23,274
54,2014-02-24,302
55,2014-02-25,239
56,2014-02-26,269
57,2014-02-27,286
58,2014-02-28,287
59,2014-03-01,265
60,2014-03-02,247
61,2014-03-03,298
62,2014-03-04,253
63,2014-03-05,267
64,2014-03-06,233
65,2014-03-07,287
66,2014-03-08,278
67,2014-03-09,264
68,2014-03-10,258
69,2014-03-11,247
70,2014-03-12,264
71,2014-03-13,284
72,2014-03-14,276
73,2014-03-15,263
74,2014-03-16,275
75,2014-03-17,260
76,2014-03-18,297
77,2014-03-19,267
78,2014-03-20,287
79,2014-03-21,269
80,2014-03-22,257
81,2014-03-23,281
82,2014-03-24,255
83,2014-03-25,293
84,2014-03-26,261
85,2014-03-27,257
86,2014-03-28,271
87,2014-03-29,303
88,2014-03-30,290
89,2014-03-31,286
90,2014-04-01,290
91,2014-04-02,291
92,2014-04-03,270
93,2014-04-04,316
94,2014-04-05,296
95,2014-04-06,320
96,2014-04-07,300
97,2014-04-08,318
98,2014-04-09,338
99,2014-04-10,282
100,2014-04-11,310
101,2014-04-12,317
102,2014-04-13,290
103,2014-04-14,284
104,2014-04-15,270
105,2014-04-16,282
106,2014-04-17,292
107,2014-04-18,261
108,2014-04-19,292
109,2014-04-20,247
110,2014-04-21,307
111,2014-04-22,288
112,2014-04-23,261
113,2014-04-24,302
114,2014-04-25,258
115,2014-04-26,301
116,2014-04-27,282
117,2014-04-28,273
118,2014-04-29,249
119,2014-04-30,246
120,2014-05-01,276
121,2014-05-02,297
122,2014-05-03,347
123,2014-05-04,270
124,2014-05-05,284
125,2014-05-06,305
126,2014-05-07,279
127,2014-05-08,298
128,2014-05-09,274
129,2014-05-10,319
130,2014-05-11,309
131,2014-05-12,256
132,2014-05-13,295
133,2014-05-14,284
134,2014-05-15,295
135,2014-05-16,286
136,2014-05-17,283
137,2014-05-18,291
138,2014-05-19,282
139,2014-05-20,288
140,2014-05-21,340
141,2014-05-22,320
142,2014-05-23,292
143,2014-05-24,323
144,2014-05-25,307
145,2014-05-26,311
146,2014-05-27,318
147,2014-05-28,310
148,2014-05-29,288
149,2014-05-30,324
150,2014-05-31,246
151,2014-06-01,271
152,2014-06-02,292
153,2014-06-03,284
154,2014-06-04,335
155,2014-06-05,308
156,2014-06-06,304
157,2014-06-07,316
158,2014-06-08,319
159,2014-06-09,329
160,2014-06-10,312
161,2014-06-11,276
162,2014-06-12,304
163,2014-06-13,294
164,2014-06-14,308
165,2014-06-15,311
166,2014-06-16,286
167,2014-06-17,345
168,2014-06-18,335
169,2014-06-19,284
170,2014-06-20,278
171,2014-06-21,269
172,2014-06-22,279
173,2014-06-23,295
174,2014-06-24,279
175,2014-06-25,277
176,2014-06-26,276
177,2014-06-27,263
178,2014-06-28,222
179,2014-06-29,242
180,2014-06-30,236
181,2014-07-01,289
182,2014-07-02,287
