萌萌哒,Date,DecryptedData
0,2014-01-01,124
1,2014-01-02,119
2,2014-01-03,126
3,2014-01-04,122
4,2014-01-05,128
5,2014-01-06,
6,2014-01-07,123
7,2014-01-08,
8,2014-01-09,63
9,2014-01-10,69
10,2014-01-11,126
11,2014-01-12,131
12,2014-01-13,129
13,2014-01-14,126
14,2014-01-15,129
15,2014-01-16,126
16,2014-01-17,136
17,2014-01-18,126
18,2014-01-19,83
19,2014-01-20,72
20,2014-01-21,131
21,2014-01-22,74
22,2014-01-23,72
23,2014-01-24,130
24,2014-01-25,76
25,2014-01-26,135
26,2014-01-27,136
27,2014-01-28,120
28,2014-01-29,128
29,2014-01-30,63
30,2014-01-31,129
31,2014-02-01,119
32,2014-02-02,57
33,2014-02-03,66
34,2014-02-04,127
35,2014-02-05,63
36,2014-02-06,141
37,2014-02-07,133
38,2014-02-08,135
39,2014-02-09,125
40,2014-02-10,131
41,2014-02-11,125
42,2014-02-12,120
43,2014-02-13,121
44,2014-02-14,133
45,2014-02-15,61
46,2014-02-16,124
47,2014-02-17,122
48,2014-02-18,124
49,2014-02-19,122
50,2014-02-20,61
51,2014-02-21,67
52,2014-02-22,61
53,2014-02-23,125
54,2014-02-24,123
55,2014-02-25,58
56,2014-02-26,132
57,2014-02-27,125
58,2014-02-28,121
59,2014-03-01,126
60,2014-03-02,60
61,2014-03-03,122
62,2014-03-04,129
63,2014-03-05,
64,2014-03-06,58
65,2014-03-07,135
66,2014-03-08,60
67,2014-03-09,124
68,2014-03-10,121
69,2014-03-11,129
70,2014-03-12,157
71,2014-03-13,139
72,2014-03-14,129
73,2014-03-15,140
74,2014-03-16,127
75,2014-03-17,70
76,2014-03-18,124
77,2014-03-19,60
78,2014-03-20,66
79,2014-03-21,124
80,2014-03-22,130
81,2014-03-23,61
82,2014-03-24,123
83,2014-03-25,121
84,2014-03-26,132
85,2014-03-27,70
86,2014-03-28,124
87,2014-03-29,136
88,2014-03-30,129
89,2014-03-31,121
90,2014-04-01,70
91,2014-04-02,126
92,2014-04-03,61
93,2014-04-04,61
94,2014-04-05,63
95,2014-04-06,61
