duang,Date,DecryptedData
0,2015-01-01,61
1,2015-01-02,66
2,2015-01-03,61
3,2015-01-04,66
4,2015-01-05,122
5,2015-01-06,127
6,2015-01-07,122
7,2015-01-08,70
8,2015-01-09,61
9,2015-01-10,61
10,2015-01-11,61
11,2015-01-12,132
12,2015-01-13,63
13,2015-01-14,66
14,2015-01-15,61
15,2015-01-16,66
16,2015-01-17,
17,2015-01-18,132
18,2015-01-19,
19,2015-01-20,142
20,2015-01-21,144
21,2015-01-22,133
22,2015-01-23,136
23,2015-01-24,132
24,2015-01-25,131
25,2015-01-26,121
26,2015-01-27,121
27,2015-01-28,66
28,2015-01-29,124
29,2015-01-30,132
30,2015-01-31,61
31,2015-02-01,
32,2015-02-02,131
33,2015-02-03,134
34,2015-02-04,135
35,2015-02-05,60
36,2015-02-06,125
37,2015-02-07,
38,2015-02-08,65
39,2015-02-09,61
40,2015-02-10,60
41,2015-02-11,124
42,2015-02-12,68
43,2015-02-13,130
44,2015-02-14,121
45,2015-02-15,126
46,2015-02-16,130
47,2015-02-17,133
48,2015-02-18,66
49,2015-02-19,61
50,2015-02-20,127
51,2015-02-21,233
52,2015-02-22,945
53,2015-02-23,1206
54,2015-02-24,4781
55,2015-02-25,85952
56,2015-02-26,540798
57,2015-02-27,1363284
58,2015-02-28,1412246
59,2015-03-01,887486
60,2015-03-02,605180
61,2015-03-03,545936
62,2015-03-04,498141
63,2015-03-05,331686
64,2015-03-06,263655
65,2015-03-07,220735
66,2015-03-08,161215
67,2015-03-09,120350
68,2015-03-10,101589
69,2015-03-11,82564
70,2015-03-12,102137
71,2015-03-13,84447
72,2015-03-14,74803
73,2015-03-15,63785
74,2015-03-16,52724
75,2015-03-17,46024
76,2015-03-18,41780
77,2015-03-19,38482
78,2015-03-20,38480
79,2015-03-21,40492
80,2015-03-22,35515
81,2015-03-23,26907
82,2015-03-24,24531
83,2015-03-25,22964
84,2015-03-26,21886
85,2015-03-27,21453
86,2015-03-28,23958
87,2015-03-29,21075
88,2015-03-30,16774
89,2015-03-31,16307
90,2015-04-01,15620
91,2015-04-02,14166
92,2015-04-03,16866
93,2015-04-04,17884
94,2015-04-05,18171
95,2015-04-06,15020
96,2015-04-07,13288
97,2015-04-08,12743
98,2015-04-09,11165
99,2015-04-10,11982
100,2015-04-11,13032
101,2015-04-12,11767
102,2015-04-13,9409
103,2015-04-14,8322
104,2015-04-15,10372
105,2015-04-16,8536
106,2015-04-17,10853
107,2015-04-18,14515
108,2015-04-19,11951
109,2015-04-20,8763
110,2015-04-21,8314
111,2015-04-22,7604
112,2015-04-23,8960
113,2015-04-24,11400
114,2015-04-25,10286
115,2015-04-26,9839
116,2015-04-27,9010
117,2015-04-28,10301
118,2015-04-29,9256
119,2015-04-30,8997
120,2015-05-01,9800
121,2015-05-02,10071
122,2015-05-03,10010
123,2015-05-04,8364
124,2015-05-05,10564
125,2015-05-06,8563
126,2015-05-07,8097
127,2015-05-08,8868
