小鲜肉,Date,DecryptedData
0,2015-01-01,4806
1,2015-01-02,4279
2,2015-01-03,3581
3,2015-01-04,3384
4,2015-01-05,3928
5,2015-01-06,3417
6,2015-01-07,3148
7,2015-01-08,3946
8,2015-01-09,3369
9,2015-01-10,3223
10,2015-01-11,3182
11,2015-01-12,3421
12,2015-01-13,3040
13,2015-01-14,2922
14,2015-01-15,2964
15,2015-01-16,3096
16,2015-01-17,3068
17,2015-01-18,2881
18,2015-01-19,2626
19,2015-01-20,3005
20,2015-01-21,3413
21,2015-01-22,3237
22,2015-01-23,2798
23,2015-01-24,2886
24,2015-01-25,3206
25,2015-01-26,3929
26,2015-01-27,3281
27,2015-01-28,2763
28,2015-01-29,2677
29,2015-01-30,3251
30,2015-01-31,3469
31,2015-02-01,3405
32,2015-02-02,3698
33,2015-02-03,3473
34,2015-02-04,4242
35,2015-02-05,5965
36,2015-02-06,5943
37,2015-02-07,5810
38,2015-02-08,4798
39,2015-02-09,4563
40,2015-02-10,5313
41,2015-02-11,4558
42,2015-02-12,4445
43,2015-02-13,6002
44,2015-02-14,7276
45,2015-02-15,7184
46,2015-02-16,5561
47,2015-02-17,8552
48,2015-02-18,11064
49,2015-02-19,9894
50,2015-02-20,6711
51,2015-02-21,5702
52,2015-02-22,6082
53,2015-02-23,6014
54,2015-02-24,4810
55,2015-02-25,3903
56,2015-02-26,3684
57,2015-02-27,4394
58,2015-02-28,4262
59,2015-03-01,3704
60,2015-03-02,3612
61,2015-03-03,3101
62,2015-03-04,3825
63,2015-03-05,5201
64,2015-03-06,6026
65,2015-03-07,4740
66,2015-03-08,3317
67,2015-03-09,2795
68,2015-03-10,2600
69,2015-03-11,2619
70,2015-03-12,2577
71,2015-03-13,5343
72,2015-03-14,3489
73,2015-03-15,3083
74,2015-03-16,2572
75,2015-03-17,2461
76,2015-03-18,2469
77,2015-03-19,2543
78,2015-03-20,2448
79,2015-03-21,2680
80,2015-03-22,3010
81,2015-03-23,2440
82,2015-03-24,2310
83,2015-03-25,2416
84,2015-03-26,2437
85,2015-03-27,2393
86,2015-03-28,3205
87,2015-03-29,2757
88,2015-03-30,2556
89,2015-03-31,2386
90,2015-04-01,2488
91,2015-04-02,2691
92,2015-04-03,2564
93,2015-04-04,3097
94,2015-04-05,3192
95,2015-04-06,3033
96,2015-04-07,2550
97,2015-04-08,2449
98,2015-04-09,2924
99,2015-04-10,2904
100,2015-04-11,2859
101,2015-04-12,2795
102,2015-04-13,2438
103,2015-04-14,2414
104,2015-04-15,2291
105,2015-04-16,2572
106,2015-04-17,2572
107,2015-04-18,2820
108,2015-04-19,2973
109,2015-04-20,2492
110,2015-04-21,2391
111,2015-04-22,2755
112,2015-04-23,2641
113,2015-04-24,2515
114,2015-04-25,2628
115,2015-04-26,2607
116,2015-04-27,2430
117,2015-04-28,2508
118,2015-04-29,2470
119,2015-04-30,2421
120,2015-05-01,2735
121,2015-05-02,2767
122,2015-05-03,2774
123,2015-05-04,2414
124,2015-05-05,2354
125,2015-05-06,2424
126,2015-05-07,2439
127,2015-05-08,2826
128,2015-05-09,3630
129,2015-05-10,3067
130,2015-05-11,3020
131,2015-05-12,2800
132,2015-05-13,2702
133,2015-05-14,2545
134,2015-05-15,2650
135,2015-05-16,3038
136,2015-05-17,3167
137,2015-05-18,2898
138,2015-05-19,2603
139,2015-05-20,2394
140,2015-05-21,2407
141,2015-05-22,2570
142,2015-05-23,2814
143,2015-05-24,2685
144,2015-05-25,2375
145,2015-05-26,2466
146,2015-05-27,2404
147,2015-05-28,2305
148,2015-05-29,2398
149,2015-05-30,2592
150,2015-05-31,2736
151,2015-06-01,2293
152,2015-06-02,2209
153,2015-06-03,2120
154,2015-06-04,2421
155,2015-06-05,2313
156,2015-06-06,2497
157,2015-06-07,2513
158,2015-06-08,2406
159,2015-06-09,2272
160,2015-06-10,2168
161,2015-06-11,2220
162,2015-06-12,2300
163,2015-06-13,2450
164,2015-06-14,2694
165,2015-06-15,2319
166,2015-06-16,3113
167,2015-06-17,3634
168,2015-06-18,3321
169,2015-06-19,2244
170,2015-06-20,2388
171,2015-06-21,2577
172,2015-06-22,2304
173,2015-06-23,2340
174,2015-06-24,2321
175,2015-06-25,2300
176,2015-06-26,2354
177,2015-06-27,2618
178,2015-06-28,2561
179,2015-06-29,2429
180,2015-06-30,2375
181,2015-07-01,2358
182,2015-07-02,2334
183,2015-07-03,2449
184,2015-07-04,2548
185,2015-07-05,2519
186,2015-07-06,2514
187,2015-07-07,2380
188,2015-07-08,2432
189,2015-07-09,2688
190,2015-07-10,3125
191,2015-07-11,3198
192,2015-07-12,3459
193,2015-07-13,3075
194,2015-07-14,2932
195,2015-07-15,2924
196,2015-07-16,2865
197,2015-07-17,2751
198,2015-07-18,2818
199,2015-07-19,2883
200,2015-07-20,2641
201,2015-07-21,2693
202,2015-07-22,2944
203,2015-07-23,3044
204,2015-07-24,2736
205,2015-07-25,2653
206,2015-07-26,2565
207,2015-07-27,2481
208,2015-07-28,2584
209,2015-07-29,2524
210,2015-07-30,2595
211,2015-07-31,2508
212,2015-08-01,2431
213,2015-08-02,2376
214,2015-08-03,2452
215,2015-08-04,2629
216,2015-08-05,5979
217,2015-08-06,5080
218,2015-08-07,6745
219,2015-08-08,3858
220,2015-08-09,3276
221,2015-08-10,3233
222,2015-08-11,3164
223,2015-08-12,3074
224,2015-08-13,2985
225,2015-08-14,2804
226,2015-08-15,2763
227,2015-08-16,2674
228,2015-08-17,2526
229,2015-08-18,2496
230,2015-08-19,3084
231,2015-08-20,3241
232,2015-08-21,2848
233,2015-08-22,2665
234,2015-08-23,2857
235,2015-08-24,2558
236,2015-08-25,2299
237,2015-08-26,2427
238,2015-08-27,2449
239,2015-08-28,2630
240,2015-08-29,2462
241,2015-08-30,2563
242,2015-08-31,2276
243,2015-09-01,2161
244,2015-09-02,2043
245,2015-09-03,2076
246,2015-09-04,2965
247,2015-09-05,3136
248,2015-09-06,2991
249,2015-09-07,4409
250,2015-09-08,3280
251,2015-09-09,2252
252,2015-09-10,2251
253,2015-09-11,2621
254,2015-09-12,2621
255,2015-09-13,2542
256,2015-09-14,2108
257,2015-09-15,2094
258,2015-09-16,1977
259,2015-09-17,1949
260,2015-09-18,1958
261,2015-09-19,2064
262,2015-09-20,2178
263,2015-09-21,1917
264,2015-09-22,1870
265,2015-09-23,1800
266,2015-09-24,1999
267,2015-09-25,1867
268,2015-09-26,1887
269,2015-09-27,1902
270,2015-09-28,1786
271,2015-09-29,1762
272,2015-09-30,1834
273,2015-10-01,1921
274,2015-10-02,1965
275,2015-10-03,1824
276,2015-10-04,1893
277,2015-10-05,1932
278,2015-10-06,1841
279,2015-10-07,1906
280,2015-10-08,1722
281,2015-10-09,2083
282,2015-10-10,1878
283,2015-10-11,1730
284,2015-10-12,1604
285,2015-10-13,1655
286,2015-10-14,1654
287,2015-10-15,1923
288,2015-10-16,1865
289,2015-10-17,1811
290,2015-10-18,1812
291,2015-10-19,1695
292,2015-10-20,1690
293,2015-10-21,1907
294,2015-10-22,1888
295,2015-10-23,1740
296,2015-10-24,1764
297,2015-10-25,1675
298,2015-10-26,1633
299,2015-10-27,1646
300,2015-10-28,1732
301,2015-10-29,1692
302,2015-10-30,1669
303,2015-10-31,1804
304,2015-11-01,1756
305,2015-11-02,1607
306,2015-11-03,1755
307,2015-11-04,4550
308,2015-11-05,6642
309,2015-11-06,4426
310,2015-11-07,4909
311,2015-11-08,2613
312,2015-11-09,2027
313,2015-11-10,1726
314,2015-11-11,1675
315,2015-11-12,2011
316,2015-11-13,1879
317,2015-11-14,1969
318,2015-11-15,2102
319,2015-11-16,1829
320,2015-11-17,1711
321,2015-11-18,1678
322,2015-11-19,1829
323,2015-11-20,1690
324,2015-11-21,2611
325,2015-11-22,2172
326,2015-11-23,1867
327,2015-11-24,1890
328,2015-11-25,1886
329,2015-11-26,1699
330,2015-11-27,1680
331,2015-11-28,1798
332,2015-11-29,1708
333,2015-11-30,1660
334,2015-12-01,2280
335,2015-12-02,2036
336,2015-12-03,1813
337,2015-12-04,1672
338,2015-12-05,1914
339,2015-12-06,1749
340,2015-12-07,1623
341,2015-12-08,1645
342,2015-12-09,1701
343,2015-12-10,1637
344,2015-12-11,1641
345,2015-12-12,1550
346,2015-12-13,1780
347,2015-12-14,1552
348,2015-12-15,1602
349,2015-12-16,1567
350,2015-12-17,1481
351,2015-12-18,1583
352,2015-12-19,1612
353,2015-12-20,1632
354,2015-12-21,1729
355,2015-12-22,1587
356,2015-12-23,1676
357,2015-12-24,1636
358,2015-12-25,1649
359,2015-12-26,1686
360,2015-12-27,1905
361,2015-12-28,1711
362,2015-12-29,1741
363,2015-12-30,1747
364,2015-12-31,2080
