狗带,Date,DecryptedData
0,2015-01-01,61
1,2015-01-02,
2,2015-01-03,
3,2015-01-04,141
4,2015-01-05,66
5,2015-01-06,
6,2015-01-07,63
7,2015-01-08,
8,2015-01-09,
9,2015-01-10,
10,2015-01-11,60
11,2015-01-12,
12,2015-01-13,61
13,2015-01-14,66
14,2015-01-15,61
15,2015-01-16,61
16,2015-01-17,60
17,2015-01-18,61
18,2015-01-19,70
19,2015-01-20,
20,2015-01-21,
21,2015-01-22,
22,2015-01-23,61
23,2015-01-24,122
24,2015-01-25,66
25,2015-01-26,131
26,2015-01-27,130
27,2015-01-28,137
28,2015-01-29,135
29,2015-01-30,61
30,2015-01-31,132
31,2015-02-01,61
32,2015-02-02,129
33,2015-02-03,136
34,2015-02-04,128
35,2015-02-05,74
36,2015-02-06,144
37,2015-02-07,130
38,2015-02-08,134
39,2015-02-09,138
40,2015-02-10,65
41,2015-02-11,132
42,2015-02-12,69
43,2015-02-13,167
44,2015-02-14,142
45,2015-02-15,133
46,2015-02-16,142
47,2015-02-17,127
48,2015-02-18,61
49,2015-02-19,61
50,2015-02-20,61
51,2015-02-21,129
52,2015-02-22,66
53,2015-02-23,132
54,2015-02-24,70
55,2015-02-25,82
56,2015-02-26,129
57,2015-02-27,147
58,2015-02-28,152
59,2015-03-01,128
60,2015-03-02,125
61,2015-03-03,124
62,2015-03-04,69
63,2015-03-05,127
64,2015-03-06,125
65,2015-03-07,61
66,2015-03-08,124
67,2015-03-09,131
68,2015-03-10,70
69,2015-03-11,66
70,2015-03-12,131
71,2015-03-13,61
72,2015-03-14,146
73,2015-03-15,135
74,2015-03-16,136
75,2015-03-17,138
76,2015-03-18,149
77,2015-03-19,134
78,2015-03-20,142
79,2015-03-21,137
80,2015-03-22,63
81,2015-03-23,129
82,2015-03-24,63
83,2015-03-25,124
84,2015-03-26,126
85,2015-03-27,122
86,2015-03-28,142
87,2015-03-29,124
88,2015-03-30,139
89,2015-03-31,127
90,2015-04-01,129
91,2015-04-02,140
92,2015-04-03,61
93,2015-04-04,129
94,2015-04-05,131
95,2015-04-06,130
96,2015-04-07,128
97,2015-04-08,133
98,2015-04-09,
99,2015-04-10,66
100,2015-04-11,65
101,2015-04-12,130
102,2015-04-13,130
103,2015-04-14,135
104,2015-04-15,123
105,2015-04-16,236
106,2015-04-17,206
107,2015-04-18,132
108,2015-04-19,147
109,2015-04-20,136
110,2015-04-21,137
111,2015-04-22,133
112,2015-04-23,143
113,2015-04-24,83
114,2015-04-25,140
115,2015-04-26,142
116,2015-04-27,145
117,2015-04-28,133
118,2015-04-29,66
119,2015-04-30,139
120,2015-05-01,140
121,2015-05-02,130
122,2015-05-03,137
123,2015-05-04,140
124,2015-05-05,142
125,2015-05-06,133
126,2015-05-07,145
127,2015-05-08,139
128,2015-05-09,73
129,2015-05-10,140
130,2015-05-11,140
131,2015-05-12,129
132,2015-05-13,146
133,2015-05-14,142
134,2015-05-15,131
135,2015-05-16,143
136,2015-05-17,127
137,2015-05-18,136
138,2015-05-19,132
139,2015-05-20,139
140,2015-05-21,127
141,2015-05-22,135
142,2015-05-23,130
143,2015-05-24,132
144,2015-05-25,130
145,2015-05-26,142
146,2015-05-27,144
147,2015-05-28,128
148,2015-05-29,159
149,2015-05-30,134
150,2015-05-31,130
151,2015-06-01,153
152,2015-06-02,147
153,2015-06-03,139
154,2015-06-04,136
155,2015-06-05,143
156,2015-06-06,147
157,2015-06-07,139
158,2015-06-08,137
159,2015-06-09,143
160,2015-06-10,136
161,2015-06-11,130
162,2015-06-12,138
163,2015-06-13,142
164,2015-06-14,148
165,2015-06-15,157
166,2015-06-16,133
167,2015-06-17,139
168,2015-06-18,152
169,2015-06-19,185
170,2015-06-20,234
171,2015-06-21,163
172,2015-06-22,178
173,2015-06-23,174
174,2015-06-24,170
175,2015-06-25,169
176,2015-06-26,161
177,2015-06-27,193
178,2015-06-28,172
179,2015-06-29,234
180,2015-06-30,231
181,2015-07-01,174
182,2015-07-02,159
183,2015-07-03,174
184,2015-07-04,185
185,2015-07-05,169
186,2015-07-06,178
187,2015-07-07,160
188,2015-07-08,168
189,2015-07-09,165
190,2015-07-10,185
191,2015-07-11,188
192,2015-07-12,241
193,2015-07-13,210
194,2015-07-14,203
195,2015-07-15,177
196,2015-07-16,161
197,2015-07-17,161
198,2015-07-18,160
199,2015-07-19,161
200,2015-07-20,193
201,2015-07-21,199
202,2015-07-22,223
203,2015-07-23,269
204,2015-07-24,235
205,2015-07-25,227
206,2015-07-26,226
207,2015-07-27,257
208,2015-07-28,221
209,2015-07-29,223
210,2015-07-30,231
211,2015-07-31,209
212,2015-08-01,187
213,2015-08-02,203
214,2015-08-03,206
215,2015-08-04,219
216,2015-08-05,256
217,2015-08-06,310
218,2015-08-07,361
219,2015-08-08,228
220,2015-08-09,207
221,2015-08-10,421
222,2015-08-11,464
223,2015-08-12,402
224,2015-08-13,395
225,2015-08-14,429
226,2015-08-15,510
227,2015-08-16,504
228,2015-08-17,448
229,2015-08-18,439
230,2015-08-19,609
231,2015-08-20,760
232,2015-08-21,714
233,2015-08-22,1222
234,2015-08-23,1186
235,2015-08-24,1553
236,2015-08-25,1821
237,2015-08-26,1988
238,2015-08-27,1837
239,2015-08-28,3009
240,2015-08-29,2246
241,2015-08-30,2296
242,2015-08-31,2073
243,2015-09-01,1698
244,2015-09-02,1851
245,2015-09-03,2152
246,2015-09-04,5182
247,2015-09-05,8392
248,2015-09-06,4842
249,2015-09-07,5303
250,2015-09-08,5621
251,2015-09-09,4836
252,2015-09-10,4883
253,2015-09-11,5414
254,2015-09-12,5713
255,2015-09-13,8687
256,2015-09-14,7642
257,2015-09-15,9738
258,2015-09-16,7415
259,2015-09-17,7428
260,2015-09-18,7631
261,2015-09-19,7963
262,2015-09-20,11842
263,2015-09-21,16460
264,2015-09-22,15833
265,2015-09-23,12272
266,2015-09-24,10900
267,2015-09-25,11445
268,2015-09-26,13103
269,2015-09-27,12649
270,2015-09-28,12317
271,2015-09-29,15847
272,2015-09-30,13967
273,2015-10-01,13124
274,2015-10-02,16083
275,2015-10-03,14514
276,2015-10-04,15295
277,2015-10-05,17905
278,2015-10-06,18231
279,2015-10-07,17250
280,2015-10-08,17353
281,2015-10-09,15481
282,2015-10-10,14735
283,2015-10-11,13224
284,2015-10-12,13377
285,2015-10-13,14802
286,2015-10-14,15322
287,2015-10-15,14756
288,2015-10-16,14624
289,2015-10-17,14084
290,2015-10-18,12784
291,2015-10-19,11976
292,2015-10-20,11316
293,2015-10-21,11807
294,2015-10-22,18196
295,2015-10-23,11754
296,2015-10-24,11499
297,2015-10-25,11699
298,2015-10-26,11325
299,2015-10-27,10715
300,2015-10-28,12684
301,2015-10-29,11530
302,2015-10-30,11979
303,2015-10-31,11718
304,2015-11-01,11078
305,2015-11-02,9989
306,2015-11-03,10035
307,2015-11-04,12139
308,2015-11-05,12298
309,2015-11-06,12696
310,2015-11-07,11310
311,2015-11-08,12050
312,2015-11-09,11948
313,2015-11-10,13757
314,2015-11-11,12095
315,2015-11-12,11578
316,2015-11-13,11777
317,2015-11-14,9545
318,2015-11-15,9659
319,2015-11-16,9805
320,2015-11-17,11852
321,2015-11-18,12635
322,2015-11-19,10920
323,2015-11-20,9343
324,2015-11-21,8557
325,2015-11-22,8400
326,2015-11-23,8903
327,2015-11-24,8957
328,2015-11-25,8006
329,2015-11-26,7707
330,2015-11-27,7250
331,2015-11-28,6925
332,2015-11-29,10283
333,2015-11-30,7738
334,2015-12-01,7588
335,2015-12-02,7890
336,2015-12-03,8205
337,2015-12-04,8484
338,2015-12-05,8128
339,2015-12-06,8871
340,2015-12-07,11244
341,2015-12-08,10755
342,2015-12-09,9198
343,2015-12-10,9398
344,2015-12-11,8570
345,2015-12-12,7857
346,2015-12-13,8052
347,2015-12-14,7416
348,2015-12-15,7181
349,2015-12-16,7782
350,2015-12-17,7674
351,2015-12-18,8034
352,2015-12-19,7260
353,2015-12-20,7875
354,2015-12-21,8019
355,2015-12-22,7980
356,2015-12-23,8832
357,2015-12-24,8238
358,2015-12-25,7675
359,2015-12-26,7061
360,2015-12-27,7891
361,2015-12-28,8362
362,2015-12-29,8361
363,2015-12-30,8618
364,2015-12-31,8826
