你咋不上天呢,Date,DecryptedData
0,2016-01-01,1355
1,2016-01-02,1433
2,2016-01-03,1530
3,2016-01-04,1530
4,2016-01-05,1646
5,2016-01-06,1713
6,2016-01-07,1601
7,2016-01-08,1734
8,2016-01-09,1770
9,2016-01-10,1877
10,2016-01-11,1807
11,2016-01-12,1796
12,2016-01-13,1724
13,2016-01-14,1809
14,2016-01-15,1779
15,2016-01-16,1678
16,2016-01-17,1751
17,2016-01-18,3019
18,2016-01-19,1942
19,2016-01-20,2004
20,2016-01-21,1939
21,2016-01-22,1945
22,2016-01-23,1874
23,2016-01-24,1897
24,2016-01-25,1901
25,2016-01-26,2090
26,2016-01-27,2225
27,2016-01-28,2659
28,2016-01-29,3998
29,2016-01-30,2719
30,2016-01-31,2188
31,2016-02-01,2072
32,2016-02-02,2089
33,2016-02-03,2003
34,2016-02-04,1909
35,2016-02-05,1967
36,2016-02-06,2052
37,2016-02-07,1957
38,2016-02-08,2330
39,2016-02-09,2294
40,2016-02-10,2340
41,2016-02-11,2445
42,2016-02-12,2347
43,2016-02-13,2181
44,2016-02-14,2053
45,2016-02-15,1951
46,2016-02-16,1858
47,2016-02-17,1863
48,2016-02-18,1878
49,2016-02-19,1845
50,2016-02-20,1741
51,2016-02-21,1737
52,2016-02-22,1825
53,2016-02-23,1786
54,2016-02-24,1748
55,2016-02-25,1647
56,2016-02-26,1591
57,2016-02-27,1634
58,2016-02-28,1632
59,2016-02-29,1616
60,2016-03-01,1528
61,2016-03-02,1718
62,2016-03-03,1732
63,2016-03-04,1718
64,2016-03-05,1618
65,2016-03-06,1653
66,2016-03-07,1731
67,2016-03-08,1685
68,2016-03-09,1651
69,2016-03-10,1464
70,2016-03-11,1534
71,2016-03-12,1500
72,2016-03-13,1432
73,2016-03-14,1472
74,2016-03-15,1395
75,2016-03-16,1402
76,2016-03-17,1401
77,2016-03-18,1465
78,2016-03-19,1532
79,2016-03-20,1508
80,2016-03-21,1540
81,2016-03-22,1589
82,2016-03-23,1450
83,2016-03-24,1477
84,2016-03-25,1391
85,2016-03-26,1357
86,2016-03-27,1312
87,2016-03-28,1351
88,2016-03-29,1354
89,2016-03-30,1316
90,2016-03-31,1259
91,2016-04-01,1387
92,2016-04-02,1263
93,2016-04-03,1331
94,2016-04-04,1372
95,2016-04-05,1396
96,2016-04-06,1403
97,2016-04-07,1357
98,2016-04-08,1444
99,2016-04-09,1349
100,2016-04-10,1365
101,2016-04-11,1404
102,2016-04-12,1343
103,2016-04-13,1400
104,2016-04-14,1123
105,2016-04-15,1190
106,2016-04-16,1128
107,2016-04-17,961
108,2016-04-18,1199
109,2016-04-19,938
110,2016-04-20,1129
111,2016-04-21,1233
112,2016-04-22,1161
113,2016-04-23,1215
114,2016-04-24,1165
115,2016-04-25,1134
116,2016-04-26,1109
117,2016-04-27,1199
118,2016-04-28,1099
119,2016-04-29,1162
120,2016-04-30,1086
121,2016-05-01,1077
122,2016-05-02,1142
123,2016-05-03,1098
124,2016-05-04,1182
125,2016-05-05,1094
126,2016-05-06,1138
127,2016-05-07,1216
128,2016-05-08,1202
129,2016-05-09,1313
130,2016-05-10,1274
131,2016-05-11,1279
132,2016-05-12,1293
133,2016-05-13,1285
134,2016-05-14,1182
135,2016-05-15,1164
136,2016-05-16,1134
137,2016-05-17,1126
138,2016-05-18,1158
139,2016-05-19,1076
140,2016-05-20,1112
141,2016-05-21,1001
142,2016-05-22,1062
143,2016-05-23,1121
144,2016-05-24,1012
145,2016-05-25,1035
146,2016-05-26,1093
147,2016-05-27,1047
148,2016-05-28,1041
149,2016-05-29,1067
150,2016-05-30,1009
151,2016-05-31,904
152,2016-06-01,1122
153,2016-06-02,992
154,2016-06-03,1192
155,2016-06-04,1077
156,2016-06-05,1023
157,2016-06-06,1051
158,2016-06-07,1040
159,2016-06-08,978
160,2016-06-09,852
161,2016-06-10,892
162,2016-06-11,940
163,2016-06-12,987
164,2016-06-13,1023
165,2016-06-14,995
166,2016-06-15,873
167,2016-06-16,968
