妈卖批,Date,DecryptedData
0,2016-01-01,626
1,2016-01-02,454
2,2016-01-03,439
3,2016-01-04,452
4,2016-01-05,385
5,2016-01-06,417
6,2016-01-07,377
7,2016-01-08,361
8,2016-01-09,360
9,2016-01-10,998
10,2016-01-11,644
11,2016-01-12,740
12,2016-01-13,571
13,2016-01-14,470
14,2016-01-15,425
15,2016-01-16,396
16,2016-01-17,443
17,2016-01-18,489
18,2016-01-19,377
19,2016-01-20,343
20,2016-01-21,348
21,2016-01-22,420
22,2016-01-23,382
23,2016-01-24,373
24,2016-01-25,373
25,2016-01-26,368
26,2016-01-27,382
27,2016-01-28,376
28,2016-01-29,345
29,2016-01-30,326
30,2016-01-31,367
31,2016-02-01,364
32,2016-02-02,362
33,2016-02-03,340
34,2016-02-04,361
35,2016-02-05,354
36,2016-02-06,373
37,2016-02-07,573
38,2016-02-08,941
39,2016-02-09,558
40,2016-02-10,530
41,2016-02-11,477
42,2016-02-12,483
43,2016-02-13,594
44,2016-02-14,575
45,2016-02-15,482
46,2016-02-16,475
47,2016-02-17,453
48,2016-02-18,458
49,2016-02-19,457
50,2016-02-20,457
51,2016-02-21,432
52,2016-02-22,379
53,2016-02-23,409
54,2016-02-24,354
55,2016-02-25,396
56,2016-02-26,372
57,2016-02-27,867
58,2016-02-28,467
59,2016-02-29,392
60,2016-03-01,366
61,2016-03-02,384
62,2016-03-03,367
63,2016-03-04,421
64,2016-03-05,448
65,2016-03-06,394
66,2016-03-07,408
67,2016-03-08,357
68,2016-03-09,364
69,2016-03-10,347
70,2016-03-11,358
71,2016-03-12,342
72,2016-03-13,362
73,2016-03-14,329
74,2016-03-15,324
75,2016-03-16,362
76,2016-03-17,354
77,2016-03-18,353
78,2016-03-19,347
79,2016-03-20,371
80,2016-03-21,341
81,2016-03-22,349
82,2016-03-23,348
83,2016-03-24,346
84,2016-03-25,282
85,2016-03-26,328
86,2016-03-27,435
87,2016-03-28,363
88,2016-03-29,349
89,2016-03-30,326
90,2016-03-31,324
91,2016-04-01,333
92,2016-04-02,327
93,2016-04-03,366
94,2016-04-04,409
95,2016-04-05,374
96,2016-04-06,323
97,2016-04-07,352
98,2016-04-08,327
99,2016-04-09,421
100,2016-04-10,379
101,2016-04-11,378
102,2016-04-12,361
103,2016-04-13,355
104,2016-04-14,350
105,2016-04-15,376
106,2016-04-16,335
107,2016-04-17,293
108,2016-04-18,351
109,2016-04-19,296
110,2016-04-20,320
111,2016-04-21,300
112,2016-04-22,272
113,2016-04-23,314
114,2016-04-24,397
115,2016-04-25,352
116,2016-04-26,339
117,2016-04-27,351
118,2016-04-28,379
119,2016-04-29,353
120,2016-04-30,321
121,2016-05-01,369
122,2016-05-02,371
123,2016-05-03,304
124,2016-05-04,343
125,2016-05-05,385
126,2016-05-06,386
127,2016-05-07,359
128,2016-05-08,374
129,2016-05-09,366
130,2016-05-10,362
131,2016-05-11,384
132,2016-05-12,370
133,2016-05-13,342
134,2016-05-14,347
135,2016-05-15,362
136,2016-05-16,397
137,2016-05-17,359
138,2016-05-18,372
139,2016-05-19,356
140,2016-05-20,380
141,2016-05-21,368
142,2016-05-22,359
143,2016-05-23,369
144,2016-05-24,390
145,2016-05-25,382
146,2016-05-26,352
147,2016-05-27,336
148,2016-05-28,327
149,2016-05-29,362
150,2016-05-30,570
151,2016-05-31,686
152,2016-06-01,488
153,2016-06-02,428
154,2016-06-03,418
155,2016-06-04,414
156,2016-06-05,422
157,2016-06-06,426
158,2016-06-07,425
159,2016-06-08,439
160,2016-06-09,425
161,2016-06-10,453
162,2016-06-11,404
163,2016-06-12,412
164,2016-06-13,408
165,2016-06-14,378
166,2016-06-15,398
167,2016-06-16,404
168,2016-06-17,370
169,2016-06-18,368
170,2016-06-19,421
171,2016-06-20,475
172,2016-06-21,504
173,2016-06-22,531
174,2016-06-23,458
175,2016-06-24,439
176,2016-06-25,470
177,2016-06-26,449
178,2016-06-27,474
179,2016-06-28,516
180,2016-06-29,479
181,2016-06-30,468
182,2016-07-01,582
183,2016-07-02,539
184,2016-07-03,524
185,2016-07-04,529
186,2016-07-05,503
187,2016-07-06,513
188,2016-07-07,539
189,2016-07-08,539
190,2016-07-09,479
191,2016-07-10,496
192,2016-07-11,528
193,2016-07-12,546
194,2016-07-13,521
195,2016-07-14,476
196,2016-07-15,509
197,2016-07-16,503
198,2016-07-17,471
199,2016-07-18,515
200,2016-07-19,534
201,2016-07-20,725
202,2016-07-21,717
203,2016-07-22,570
204,2016-07-23,492
205,2016-07-24,527
206,2016-07-25,517
207,2016-07-26,571
208,2016-07-27,556
209,2016-07-28,481
210,2016-07-29,524
211,2016-07-30,520
212,2016-07-31,523
213,2016-08-01,537
214,2016-08-02,569
215,2016-08-03,595
216,2016-08-04,563
217,2016-08-05,584
218,2016-08-06,518
219,2016-08-07,520
220,2016-08-08,522
221,2016-08-09,503
222,2016-08-10,551
223,2016-08-11,562
224,2016-08-12,536
225,2016-08-13,520
226,2016-08-14,543
227,2016-08-15,617
228,2016-08-16,584
229,2016-08-17,602
230,2016-08-18,607
231,2016-08-19,609
232,2016-08-20,591
233,2016-08-21,524
234,2016-08-22,586
235,2016-08-23,641
236,2016-08-24,637
237,2016-08-25,595
238,2016-08-26,621
239,2016-08-27,595
240,2016-08-28,558
241,2016-08-29,556
242,2016-08-30,591
243,2016-08-31,530
244,2016-09-01,453
245,2016-09-02,458
246,2016-09-03,518
247,2016-09-04,510
248,2016-09-05,500
249,2016-09-06,487
250,2016-09-07,463
251,2016-09-08,502
252,2016-09-09,580
253,2016-09-10,663
254,2016-09-11,660
255,2016-09-12,599
256,2016-09-13,573
257,2016-09-14,631
258,2016-09-15,637
259,2016-09-16,619
260,2016-09-17,662
261,2016-09-18,669
262,2016-09-19,505
263,2016-09-20,545
264,2016-09-21,507
265,2016-09-22,490
266,2016-09-23,509
267,2016-09-24,545
268,2016-09-25,546
269,2016-09-26,540
270,2016-09-27,474
271,2016-09-28,520
272,2016-09-29,571
273,2016-09-30,578
274,2016-10-01,574
275,2016-10-02,641
276,2016-10-03,595
277,2016-10-04,651
278,2016-10-05,635
279,2016-10-06,651
280,2016-10-07,628
281,2016-10-08,510
282,2016-10-09,488
283,2016-10-10,489
284,2016-10-11,511
285,2016-10-12,462
286,2016-10-13,531
287,2016-10-14,613
288,2016-10-15,655
289,2016-10-16,617
290,2016-10-17,577
291,2016-10-18,623
292,2016-10-19,637
293,2016-10-20,558
294,2016-10-21,570
295,2016-10-22,550
296,2016-10-23,617
297,2016-10-24,582
298,2016-10-25,701
299,2016-10-26,581
300,2016-10-27,587
301,2016-10-28,626
302,2016-10-29,602
303,2016-10-30,587
304,2016-10-31,574
305,2016-11-01,660
306,2016-11-02,618
307,2016-11-03,619
308,2016-11-04,733
309,2016-11-05,750
310,2016-11-06,760
311,2016-11-07,763
312,2016-11-08,737
313,2016-11-09,976
314,2016-11-10,747
315,2016-11-11,899
316,2016-11-12,1232
317,2016-11-13,2454
318,2016-11-14,2053
319,2016-11-15,2361
320,2016-11-16,2646
321,2016-11-17,2640
