怪我咯,Date,DecryptedData
0,2016-01-01,664
1,2016-01-02,694
2,2016-01-03,662
3,2016-01-04,732
4,2016-01-05,745
5,2016-01-06,741
6,2016-01-07,784
7,2016-01-08,793
8,2016-01-09,863
9,2016-01-10,730
10,2016-01-11,839
11,2016-01-12,780
12,2016-01-13,736
13,2016-01-14,726
14,2016-01-15,698
15,2016-01-16,628
16,2016-01-17,647
17,2016-01-18,656
18,2016-01-19,680
19,2016-01-20,777
20,2016-01-21,757
21,2016-01-22,749
22,2016-01-23,634
23,2016-01-24,620
24,2016-01-25,694
25,2016-01-26,707
26,2016-01-27,774
27,2016-01-28,707
28,2016-01-29,777
29,2016-01-30,587
30,2016-01-31,620
31,2016-02-01,685
32,2016-02-02,704
33,2016-02-03,603
34,2016-02-04,559
35,2016-02-05,531
36,2016-02-06,554
37,2016-02-07,594
38,2016-02-08,639
39,2016-02-09,554
40,2016-02-10,527
41,2016-02-11,627
42,2016-02-12,602
43,2016-02-13,592
44,2016-02-14,659
45,2016-02-15,661
46,2016-02-16,640
47,2016-02-17,629
48,2016-02-18,632
49,2016-02-19,656
50,2016-02-20,573
51,2016-02-21,560
52,2016-02-22,654
53,2016-02-23,603
54,2016-02-24,548
55,2016-02-25,651
56,2016-02-26,625
57,2016-02-27,573
58,2016-02-28,521
59,2016-02-29,580
60,2016-03-01,547
61,2016-03-02,554
62,2016-03-03,558
63,2016-03-04,615
64,2016-03-05,652
65,2016-03-06,578
66,2016-03-07,597
67,2016-03-08,610
68,2016-03-09,587
69,2016-03-10,579
70,2016-03-11,525
71,2016-03-12,500
72,2016-03-13,491
73,2016-03-14,521
74,2016-03-15,486
75,2016-03-16,492
76,2016-03-17,535
77,2016-03-18,475
78,2016-03-19,514
79,2016-03-20,489
80,2016-03-21,516
81,2016-03-22,531
82,2016-03-23,498
83,2016-03-24,541
84,2016-03-25,496
85,2016-03-26,482
86,2016-03-27,454
87,2016-03-28,521
88,2016-03-29,508
89,2016-03-30,493
90,2016-03-31,528
91,2016-04-01,485
92,2016-04-02,450
93,2016-04-03,473
94,2016-04-04,441
95,2016-04-05,488
96,2016-04-06,510
97,2016-04-07,519
98,2016-04-08,494
99,2016-04-09,506
100,2016-04-10,485
101,2016-04-11,495
102,2016-04-12,599
103,2016-04-13,527
104,2016-04-14,481
105,2016-04-15,447
106,2016-04-16,408
107,2016-04-17,369
108,2016-04-18,474
109,2016-04-19,439
110,2016-04-20,439
111,2016-04-21,419
112,2016-04-22,456
113,2016-04-23,510
114,2016-04-24,471
115,2016-04-25,535
116,2016-04-26,553
117,2016-04-27,502
118,2016-04-28,470
119,2016-04-29,509
120,2016-04-30,457
121,2016-05-01,461
122,2016-05-02,533
123,2016-05-03,547
124,2016-05-04,568
125,2016-05-05,581
126,2016-05-06,542
127,2016-05-07,479
128,2016-05-08,426
129,2016-05-09,511
130,2016-05-10,488
131,2016-05-11,503
132,2016-05-12,501
133,2016-05-13,515
134,2016-05-14,502
135,2016-05-15,477
136,2016-05-16,446
137,2016-05-17,432
138,2016-05-18,453
139,2016-05-19,450
140,2016-05-20,473
141,2016-05-21,460
142,2016-05-22,465
143,2016-05-23,511
144,2016-05-24,530
145,2016-05-25,461
146,2016-05-26,478
147,2016-05-27,551
148,2016-05-28,562
149,2016-05-29,450
150,2016-05-30,432
151,2016-05-31,514
152,2016-06-01,548
153,2016-06-02,475
154,2016-06-03,432
155,2016-06-04,425
156,2016-06-05,451
157,2016-06-06,482
158,2016-06-07,499
159,2016-06-08,489
160,2016-06-09,452
161,2016-06-10,479
162,2016-06-11,450
163,2016-06-12,518
164,2016-06-13,519
165,2016-06-14,499
166,2016-06-15,622
167,2016-06-16,1163
168,2016-06-17,1148
169,2016-06-18,427
170,2016-06-19,399
171,2016-06-20,515
172,2016-06-21,535
173,2016-06-22,509
174,2016-06-23,507
175,2016-06-24,527
176,2016-06-25,429
177,2016-06-26,405
178,2016-06-27,500
179,2016-06-28,488
180,2016-06-29,521
181,2016-06-30,501
182,2016-07-01,528
183,2016-07-02,453
184,2016-07-03,471
185,2016-07-04,520
186,2016-07-05,567
187,2016-07-06,549
188,2016-07-07,532
189,2016-07-08,542
190,2016-07-09,453
191,2016-07-10,432
192,2016-07-11,500
193,2016-07-12,471
194,2016-07-13,493
195,2016-07-14,535
196,2016-07-15,496
197,2016-07-16,423
198,2016-07-17,431
199,2016-07-18,493
200,2016-07-19,510
201,2016-07-20,535
202,2016-07-21,506
203,2016-07-22,475
204,2016-07-23,438
205,2016-07-24,436
206,2016-07-25,500
207,2016-07-26,496
208,2016-07-27,514
209,2016-07-28,508
210,2016-07-29,467
211,2016-07-30,395
212,2016-07-31,373
213,2016-08-01,464
214,2016-08-02,495
215,2016-08-03,495
216,2016-08-04,504
217,2016-08-05,545
218,2016-08-06,426
219,2016-08-07,441
220,2016-08-08,465
221,2016-08-09,504
222,2016-08-10,475
223,2016-08-11,708
224,2016-08-12,749
225,2016-08-13,835
226,2016-08-14,713
227,2016-08-15,903
228,2016-08-16,837
229,2016-08-17,777
230,2016-08-18,796
231,2016-08-19,783
232,2016-08-20,712
233,2016-08-21,665
234,2016-08-22,717
235,2016-08-23,716
236,2016-08-24,683
237,2016-08-25,731
238,2016-08-26,720
239,2016-08-27,616
240,2016-08-28,640
241,2016-08-29,646
242,2016-08-30,695
243,2016-08-31,703
244,2016-09-01,568
245,2016-09-02,610
246,2016-09-03,576
247,2016-09-04,595
248,2016-09-05,626
249,2016-09-06,586
250,2016-09-07,588
251,2016-09-08,541
252,2016-09-09,557
253,2016-09-10,621
254,2016-09-11,581
255,2016-09-12,525
256,2016-09-13,621
257,2016-09-14,679
258,2016-09-15,724
259,2016-09-16,728
260,2016-09-17,651
261,2016-09-18,607
262,2016-09-19,686
263,2016-09-20,624
264,2016-09-21,691
265,2016-09-22,739
266,2016-09-23,749
267,2016-09-24,781
268,2016-09-25,691
269,2016-09-26,684
270,2016-09-27,708
271,2016-09-28,742
272,2016-09-29,743
273,2016-09-30,692
274,2016-10-01,687
275,2016-10-02,768
276,2016-10-03,872
277,2016-10-04,857
278,2016-10-05,952
279,2016-10-06,882
280,2016-10-07,818
281,2016-10-08,827
282,2016-10-09,797
283,2016-10-10,788
284,2016-10-11,917
285,2016-10-12,910
286,2016-10-13,875
287,2016-10-14,901
288,2016-10-15,923
