老司机,Date,DecryptedData
0,2016-01-01,3355
1,2016-01-02,3797
2,2016-01-03,3798
3,2016-01-04,3358
4,2016-01-05,3411
5,2016-01-06,3392
6,2016-01-07,3653
7,2016-01-08,9726
8,2016-01-09,12202
9,2016-01-10,7464
10,2016-01-11,5898
11,2016-01-12,5512
12,2016-01-13,6135
13,2016-01-14,5930
14,2016-01-15,5325
15,2016-01-16,5174
16,2016-01-17,10151
17,2016-01-18,5998
18,2016-01-19,6845
19,2016-01-20,6350
20,2016-01-21,6085
21,2016-01-22,7227
22,2016-01-23,6018
23,2016-01-24,5601
24,2016-01-25,6755
25,2016-01-26,6689
26,2016-01-27,6471
27,2016-01-28,6380
28,2016-01-29,6740
29,2016-01-30,6992
30,2016-01-31,8284
31,2016-02-01,8116
32,2016-02-02,7939
33,2016-02-03,7773
34,2016-02-04,7212
35,2016-02-05,6703
36,2016-02-06,6903
37,2016-02-07,5303
38,2016-02-08,6571
39,2016-02-09,6864
40,2016-02-10,7022
41,2016-02-11,7435
42,2016-02-12,7527
43,2016-02-13,8322
44,2016-02-14,7780
45,2016-02-15,7729
46,2016-02-16,7533
47,2016-02-17,7808
48,2016-02-18,7621
49,2016-02-19,7810
50,2016-02-20,7377
51,2016-02-21,7426
52,2016-02-22,7674
53,2016-02-23,7560
54,2016-02-24,6982
55,2016-02-25,8024
56,2016-02-26,8929
57,2016-02-27,8858
58,2016-02-28,8111
59,2016-02-29,8099
60,2016-03-01,7128
61,2016-03-02,7475
62,2016-03-03,7660
63,2016-03-04,8254
64,2016-03-05,9321
65,2016-03-06,8971
66,2016-03-07,7684
67,2016-03-08,7379
68,2016-03-09,7300
69,2016-03-10,7180
70,2016-03-11,7884
71,2016-03-12,8794
72,2016-03-13,9470
73,2016-03-14,8552
74,2016-03-15,8741
75,2016-03-16,8258
76,2016-03-17,8137
77,2016-03-18,9568
78,2016-03-19,9900
79,2016-03-20,9459
80,2016-03-21,9005
81,2016-03-22,8566
82,2016-03-23,8895
83,2016-03-24,8592
84,2016-03-25,9842
85,2016-03-26,8653
86,2016-03-27,8746
87,2016-03-28,7853
88,2016-03-29,8589
89,2016-03-30,9211
90,2016-03-31,10073
91,2016-04-01,12881
92,2016-04-02,11952
93,2016-04-03,11676
94,2016-04-04,11052
95,2016-04-05,8655
96,2016-04-06,7849
97,2016-04-07,7990
98,2016-04-08,9707
99,2016-04-09,11245
100,2016-04-10,10955
101,2016-04-11,10121
102,2016-04-12,10612
103,2016-04-13,10252
104,2016-04-14,8570
105,2016-04-15,9934
106,2016-04-16,9972
107,2016-04-17,8238
108,2016-04-18,8642
109,2016-04-19,7837
110,2016-04-20,8369
111,2016-04-21,7821
112,2016-04-22,10510
113,2016-04-23,21416
114,2016-04-24,16917
115,2016-04-25,12740
116,2016-04-26,12114
117,2016-04-27,12090
118,2016-04-28,12966
119,2016-04-29,15607
120,2016-04-30,25863
121,2016-05-01,24306
122,2016-05-02,21371
123,2016-05-03,17174
124,2016-05-04,17131
125,2016-05-05,16738
126,2016-05-06,17008
127,2016-05-07,17495
128,2016-05-08,15695
129,2016-05-09,13950
130,2016-05-10,13850
131,2016-05-11,14111
132,2016-05-12,14508
133,2016-05-13,15595
134,2016-05-14,16452
135,2016-05-15,15411
136,2016-05-16,13260
137,2016-05-17,13573
138,2016-05-18,17730
139,2016-05-19,17100
140,2016-05-20,16399
141,2016-05-21,17398
142,2016-05-22,16882
143,2016-05-23,14818
144,2016-05-24,14578
145,2016-05-25,16655
146,2016-05-26,18985
147,2016-05-27,19388
148,2016-05-28,18427
149,2016-05-29,18015
150,2016-05-30,15562
151,2016-05-31,16622
152,2016-06-01,18724
153,2016-06-02,17811
154,2016-06-03,15308
155,2016-06-04,16195
156,2016-06-05,16712
157,2016-06-06,16600
158,2016-06-07,17047
159,2016-06-08,17148
160,2016-06-09,15965
161,2016-06-10,15775
162,2016-06-11,17168
163,2016-06-12,17467
164,2016-06-13,17291
165,2016-06-14,17262
166,2016-06-15,17515
167,2016-06-16,17360
168,2016-06-17,17891
169,2016-06-18,17842
170,2016-06-19,16834
171,2016-06-20,17178
