diss,Date,DecryptedData
0,2017-01-01,1189
1,2017-01-02,1259
2,2017-01-03,1265
3,2017-01-04,1191
4,2017-01-05,1302
5,2017-01-06,1352
6,2017-01-07,1245
7,2017-01-08,1271
8,2017-01-09,1287
9,2017-01-10,1191
10,2017-01-11,1252
11,2017-01-12,1327
12,2017-01-13,1477
13,2017-01-14,1574
14,2017-01-15,1265
15,2017-01-16,1603
16,2017-01-17,1325
17,2017-01-18,1327
18,2017-01-19,1452
19,2017-01-20,1345
20,2017-01-21,1234
21,2017-01-22,1316
22,2017-01-23,1269
23,2017-01-24,1270
24,2017-01-25,1220
25,2017-01-26,1197
26,2017-01-27,1085
27,2017-01-28,1080
28,2017-01-29,1120
29,2017-01-30,1156
30,2017-01-31,1365
31,2017-02-01,1252
32,2017-02-02,1155
33,2017-02-03,1265
34,2017-02-04,1236
35,2017-02-05,1210
36,2017-02-06,1323
37,2017-02-07,1302
38,2017-02-08,1285
39,2017-02-09,1277
40,2017-02-10,1315
41,2017-02-11,1207
42,2017-02-12,1160
43,2017-02-13,1245
44,2017-02-14,1153
45,2017-02-15,1414
46,2017-02-16,1301
47,2017-02-17,1325
48,2017-02-18,1231
49,2017-02-19,1183
50,2017-02-20,1204
51,2017-02-21,1203
52,2017-02-22,1223
53,2017-02-23,1284
54,2017-02-24,1280
55,2017-02-25,1306
56,2017-02-26,1292
57,2017-02-27,1461
58,2017-02-28,1318
59,2017-03-01,1340
60,2017-03-02,1351
61,2017-03-03,1203
62,2017-03-04,1229
63,2017-03-05,1412
64,2017-03-06,1375
65,2017-03-07,1414
66,2017-03-08,1296
67,2017-03-09,1570
68,2017-03-10,1501
69,2017-03-11,1333
70,2017-03-12,1303
71,2017-03-13,1337
72,2017-03-14,1437
73,2017-03-15,1360
74,2017-03-16,1773
75,2017-03-17,1527
76,2017-03-18,1309
77,2017-03-19,1317
78,2017-03-20,1384
79,2017-03-21,1303
80,2017-03-22,1391
81,2017-03-23,1367
82,2017-03-24,1305
83,2017-03-25,1227
84,2017-03-26,1184
85,2017-03-27,1219
86,2017-03-28,1160
87,2017-03-29,1294
88,2017-03-30,1196
89,2017-03-31,1308
90,2017-04-01,1168
91,2017-04-02,1171
92,2017-04-03,1169
93,2017-04-04,1244
94,2017-04-05,1243
95,2017-04-06,1330
96,2017-04-07,1249
97,2017-04-08,1250
98,2017-04-09,1323
99,2017-04-10,1368
100,2017-04-11,1306
101,2017-04-12,1329
