freestyle,Date,DecryptedData
0,2017-01-01,389
1,2017-01-02,426
2,2017-01-03,446
3,2017-01-04,416
4,2017-01-05,539
5,2017-01-06,563
6,2017-01-07,478
7,2017-01-08,515
8,2017-01-09,521
9,2017-01-10,465
10,2017-01-11,475
11,2017-01-12,469
12,2017-01-13,543
13,2017-01-14,431
14,2017-01-15,412
15,2017-01-16,466
16,2017-01-17,507
17,2017-01-18,432
18,2017-01-19,440
19,2017-01-20,468
20,2017-01-21,482
21,2017-01-22,513
22,2017-01-23,462
23,2017-01-24,446
24,2017-01-25,420
25,2017-01-26,410
26,2017-01-27,351
27,2017-01-28,356
28,2017-01-29,380
29,2017-01-30,386
30,2017-01-31,385
31,2017-02-01,387
32,2017-02-02,345
33,2017-02-03,400
34,2017-02-04,449
35,2017-02-05,461
36,2017-02-06,447
37,2017-02-07,410
38,2017-02-08,476
39,2017-02-09,485
40,2017-02-10,439
41,2017-02-11,369
42,2017-02-12,417
43,2017-02-13,391
44,2017-02-14,388
45,2017-02-15,416
46,2017-02-16,456
47,2017-02-17,396
48,2017-02-18,447
49,2017-02-19,416
50,2017-02-20,419
51,2017-02-21,419
52,2017-02-22,404
53,2017-02-23,405
54,2017-02-24,418
55,2017-02-25,432
56,2017-02-26,429
57,2017-02-27,418
58,2017-02-28,417
59,2017-03-01,379
60,2017-03-02,403
61,2017-03-03,407
62,2017-03-04,432
63,2017-03-05,407
64,2017-03-06,434
65,2017-03-07,454
66,2017-03-08,447
67,2017-03-09,464
68,2017-03-10,407
69,2017-03-11,440
70,2017-03-12,445
71,2017-03-13,415
72,2017-03-14,429
73,2017-03-15,440
74,2017-03-16,454
75,2017-03-17,390
76,2017-03-18,399
77,2017-03-19,468
78,2017-03-20,407
79,2017-03-21,435
80,2017-03-22,443
81,2017-03-23,398
82,2017-03-24,376
83,2017-03-25,406
84,2017-03-26,432
85,2017-03-27,385
86,2017-03-28,418
87,2017-03-29,396
88,2017-03-30,417
89,2017-03-31,375
90,2017-04-01,370
91,2017-04-02,361
92,2017-04-03,401
93,2017-04-04,372
94,2017-04-05,392
95,2017-04-06,395
96,2017-04-07,417
97,2017-04-08,412
98,2017-04-09,437
99,2017-04-10,384
100,2017-04-11,397
101,2017-04-12,389
102,2017-04-13,410
103,2017-04-14,393
104,2017-04-15,369
105,2017-04-16,386
106,2017-04-17,390
107,2017-04-18,388
108,2017-04-19,388
109,2017-04-20,386
110,2017-04-21,381
111,2017-04-22,414
112,2017-04-23,430
113,2017-04-24,400
114,2017-04-25,401
115,2017-04-26,421
116,2017-04-27,374
117,2017-04-28,354
118,2017-04-29,382
119,2017-04-30,401
120,2017-05-01,414
121,2017-05-02,437
122,2017-05-03,549
123,2017-05-04,520
124,2017-05-05,478
125,2017-05-06,482
126,2017-05-07,489
127,2017-05-08,439
128,2017-05-09,544
129,2017-05-10,486
130,2017-05-11,461
