小仙女,Date,DecryptedData
0,2017-01-01,1049
1,2017-01-02,1008
2,2017-01-03,881
3,2017-01-04,870
4,2017-01-05,864
5,2017-01-06,907
6,2017-01-07,1030
7,2017-01-08,945
8,2017-01-09,830
9,2017-01-10,838
10,2017-01-11,854
11,2017-01-12,892
12,2017-01-13,822
13,2017-01-14,839
14,2017-01-15,898
15,2017-01-16,878
16,2017-01-17,885
17,2017-01-18,887
18,2017-01-19,964
19,2017-01-20,936
20,2017-01-21,860
21,2017-01-22,941
22,2017-01-23,970
23,2017-01-24,986
24,2017-01-25,948
25,2017-01-26,937
26,2017-01-27,1030
27,2017-01-28,1050
28,2017-01-29,985
29,2017-01-30,1011
30,2017-01-31,939
31,2017-02-01,1019
32,2017-02-02,1069
33,2017-02-03,1041
34,2017-02-04,1062
35,2017-02-05,1070
36,2017-02-06,1100
37,2017-02-07,1160
38,2017-02-08,1160
39,2017-02-09,1132
40,2017-02-10,1137
41,2017-02-11,1061
42,2017-02-12,983
43,2017-02-13,924
44,2017-02-14,926
45,2017-02-15,988
46,2017-02-16,1011
47,2017-02-17,1066
48,2017-02-18,1130
49,2017-02-19,1100
50,2017-02-20,1068
51,2017-02-21,1077
52,2017-02-22,1116
53,2017-02-23,1110
54,2017-02-24,1111
55,2017-02-25,1115
56,2017-02-26,1100
57,2017-02-27,944
58,2017-02-28,1040
59,2017-03-01,980
60,2017-03-02,1038
61,2017-03-03,1161
62,2017-03-04,1237
63,2017-03-05,1163
64,2017-03-06,1177
65,2017-03-07,1293
66,2017-03-08,1360
67,2017-03-09,1184
68,2017-03-10,1232
69,2017-03-11,1157
70,2017-03-12,1170
71,2017-03-13,1133
72,2017-03-14,1119
73,2017-03-15,1173
74,2017-03-16,1150
75,2017-03-17,1226
76,2017-03-18,1188
77,2017-03-19,1187
78,2017-03-20,1173
79,2017-03-21,1161
80,2017-03-22,1157
81,2017-03-23,1067
82,2017-03-24,1166
83,2017-03-25,1165
84,2017-03-26,1143
85,2017-03-27,1051
86,2017-03-28,1047
87,2017-03-29,1177
88,2017-03-30,1073
89,2017-03-31,1185
90,2017-04-01,1168
91,2017-04-02,1100
92,2017-04-03,1119
93,2017-04-04,1166
94,2017-04-05,1167
95,2017-04-06,1178
96,2017-04-07,1168
97,2017-04-08,1222
98,2017-04-09,1148
99,2017-04-10,1164
100,2017-04-11,1086
101,2017-04-12,1106
102,2017-04-13,1052
103,2017-04-14,1171
104,2017-04-15,1151
105,2017-04-16,1148
106,2017-04-17,1063
107,2017-04-18,1112
108,2017-04-19,1129
109,2017-04-20,1174
110,2017-04-21,1145
111,2017-04-22,1152
112,2017-04-23,1155
113,2017-04-24,1118
114,2017-04-25,1124
115,2017-04-26,1166
116,2017-04-27,1121
117,2017-04-28,1132
118,2017-04-29,1126
119,2017-04-30,1176
120,2017-05-01,1176
121,2017-05-02,1178
122,2017-05-03,1200
123,2017-05-04,1171
124,2017-05-05,1186
125,2017-05-06,1229
126,2017-05-07,1201
127,2017-05-08,1178
128,2017-05-09,1232
129,2017-05-10,1221
130,2017-05-11,1235
131,2017-05-12,1244
