尬聊,Date,DecryptedData
0,2017-01-01,250
1,2017-01-02,244
2,2017-01-03,255
3,2017-01-04,241
4,2017-01-05,287
5,2017-01-06,254
6,2017-01-07,256
7,2017-01-08,256
8,2017-01-09,252
9,2017-01-10,260
10,2017-01-11,280
11,2017-01-12,250
12,2017-01-13,294
13,2017-01-14,304
14,2017-01-15,282
15,2017-01-16,313
16,2017-01-17,379
17,2017-01-18,322
18,2017-01-19,322
19,2017-01-20,294
20,2017-01-21,302
21,2017-01-22,322
22,2017-01-23,320
23,2017-01-24,297
24,2017-01-25,310
25,2017-01-26,298
26,2017-01-27,349
27,2017-01-28,395
28,2017-01-29,370
29,2017-01-30,328
30,2017-01-31,348
31,2017-02-01,345
32,2017-02-02,518
33,2017-02-03,385
34,2017-02-04,415
35,2017-02-05,407
36,2017-02-06,449
37,2017-02-07,408
38,2017-02-08,407
39,2017-02-09,430
40,2017-02-10,413
41,2017-02-11,340
42,2017-02-12,364
43,2017-02-13,384
44,2017-02-14,378
45,2017-02-15,393
46,2017-02-16,398
47,2017-02-17,392
48,2017-02-18,355
49,2017-02-19,414
50,2017-02-20,445
51,2017-02-21,435
52,2017-02-22,465
53,2017-02-23,452
54,2017-02-24,460
55,2017-02-25,481
56,2017-02-26,592
57,2017-02-27,542
58,2017-02-28,475
59,2017-03-01,472
60,2017-03-02,481
61,2017-03-03,458
62,2017-03-04,472
63,2017-03-05,489
64,2017-03-06,559
65,2017-03-07,494
66,2017-03-08,531
67,2017-03-09,507
68,2017-03-10,571
69,2017-03-11,578
70,2017-03-12,630
71,2017-03-13,553
72,2017-03-14,640
73,2017-03-15,559
74,2017-03-16,531
75,2017-03-17,588
76,2017-03-18,637
77,2017-03-19,641
78,2017-03-20,629
79,2017-03-21,580
80,2017-03-22,591
81,2017-03-23,584
82,2017-03-24,576
83,2017-03-25,606
84,2017-03-26,605
85,2017-03-27,603
86,2017-03-28,613
87,2017-03-29,683
88,2017-03-30,708
89,2017-03-31,674
90,2017-04-01,688
91,2017-04-02,747
92,2017-04-03,830
93,2017-04-04,774
94,2017-04-05,743
95,2017-04-06,766
96,2017-04-07,772
97,2017-04-08,859
98,2017-04-09,780
99,2017-04-10,720
100,2017-04-11,763
101,2017-04-12,686
102,2017-04-13,927
103,2017-04-14,966
104,2017-04-15,982
105,2017-04-16,1083
106,2017-04-17,1055
107,2017-04-18,997
108,2017-04-19,1113
109,2017-04-20,1068
110,2017-04-21,1146
111,2017-04-22,1137
112,2017-04-23,1208
113,2017-04-24,1171
114,2017-04-25,1154
115,2017-04-26,1238
116,2017-04-27,1306
117,2017-04-28,1185
118,2017-04-29,1166
119,2017-04-30,1162
120,2017-05-01,1184
121,2017-05-02,1281
122,2017-05-03,1194
123,2017-05-04,1243
124,2017-05-05,1299
125,2017-05-06,1193
126,2017-05-07,1178
127,2017-05-08,1268
128,2017-05-09,1346
129,2017-05-10,1315
130,2017-05-11,1284
131,2017-05-12,1266
132,2017-05-13,1185
133,2017-05-14,1159
134,2017-05-15,1238
135,2017-05-16,1313
136,2017-05-17,1248
137,2017-05-18,1301
138,2017-05-19,1396
139,2017-05-20,1331
140,2017-05-21,1415
141,2017-05-22,1459
142,2017-05-23,1388
143,2017-05-24,1402
144,2017-05-25,1409
145,2017-05-26,1498
146,2017-05-27,1491
147,2017-05-28,1447
148,2017-05-29,1362
149,2017-05-30,1358
150,2017-05-31,1459
151,2017-06-01,1457
152,2017-06-02,1450
153,2017-06-03,1308
154,2017-06-04,1460
155,2017-06-05,1520
156,2017-06-06,1416
157,2017-06-07,1453
158,2017-06-08,1542
159,2017-06-09,1525
160,2017-06-10,1510
161,2017-06-11,1591
162,2017-06-12,1709
163,2017-06-13,1675
164,2017-06-14,1800
165,2017-06-15,1787
166,2017-06-16,1665
167,2017-06-17,1588
168,2017-06-18,1544
169,2017-06-19,1706
170,2017-06-20,1682
171,2017-06-21,1807
172,2017-06-22,1774
173,2017-06-23,1635
174,2017-06-24,1433
