油腻,Date,DecryptedData
0,2017-01-01,188
1,2017-01-02,184
2,2017-01-03,204
3,2017-01-04,242
4,2017-01-05,264
5,2017-01-06,226
6,2017-01-07,235
7,2017-01-08,219
8,2017-01-09,225
9,2017-01-10,273
10,2017-01-11,249
11,2017-01-12,251
12,2017-01-13,276
13,2017-01-14,210
14,2017-01-15,274
15,2017-01-16,262
16,2017-01-17,265
17,2017-01-18,234
18,2017-01-19,223
19,2017-01-20,225
20,2017-01-21,241
21,2017-01-22,242
22,2017-01-23,252
23,2017-01-24,243
24,2017-01-25,227
25,2017-01-26,239
26,2017-01-27,208
27,2017-01-28,178
28,2017-01-29,221
29,2017-01-30,231
30,2017-01-31,224
31,2017-02-01,239
32,2017-02-02,263
33,2017-02-03,281
34,2017-02-04,281
35,2017-02-05,261
36,2017-02-06,300
37,2017-02-07,259
38,2017-02-08,257
39,2017-02-09,265
40,2017-02-10,241
41,2017-02-11,250
42,2017-02-12,236
43,2017-02-13,228
44,2017-02-14,219
45,2017-02-15,247
46,2017-02-16,266
47,2017-02-17,263
48,2017-02-18,263
49,2017-02-19,270
50,2017-02-20,272
51,2017-02-21,306
52,2017-02-22,288
53,2017-02-23,291
54,2017-02-24,232
55,2017-02-25,279
56,2017-02-26,266
57,2017-02-27,243
58,2017-02-28,237
59,2017-03-01,278
60,2017-03-02,255
61,2017-03-03,267
62,2017-03-04,278
63,2017-03-05,282
64,2017-03-06,291
65,2017-03-07,312
66,2017-03-08,259
67,2017-03-09,281
68,2017-03-10,231
69,2017-03-11,231
70,2017-03-12,270
71,2017-03-13,233
72,2017-03-14,220
73,2017-03-15,230
74,2017-03-16,255
75,2017-03-17,209
76,2017-03-18,230
77,2017-03-19,246
78,2017-03-20,226
79,2017-03-21,261
80,2017-03-22,262
81,2017-03-23,257
82,2017-03-24,241
83,2017-03-25,221
84,2017-03-26,225
85,2017-03-27,222
86,2017-03-28,228
87,2017-03-29,232
88,2017-03-30,211
89,2017-03-31,209
90,2017-04-01,182
91,2017-04-02,179
92,2017-04-03,193
93,2017-04-04,202
94,2017-04-05,212
95,2017-04-06,195
96,2017-04-07,207
97,2017-04-08,184
98,2017-04-09,225
99,2017-04-10,197
100,2017-04-11,214
101,2017-04-12,163
102,2017-04-13,209
103,2017-04-14,184
104,2017-04-15,181
105,2017-04-16,202
106,2017-04-17,166
107,2017-04-18,182
108,2017-04-19,199
109,2017-04-20,219
110,2017-04-21,189
111,2017-04-22,185
112,2017-04-23,236
113,2017-04-24,172
114,2017-04-25,204
115,2017-04-26,186
116,2017-04-27,184
117,2017-04-28,181
118,2017-04-29,175
119,2017-04-30,189
120,2017-05-01,211
121,2017-05-02,191
122,2017-05-03,202
123,2017-05-04,196
124,2017-05-05,208
125,2017-05-06,218
126,2017-05-07,245
127,2017-05-08,227
128,2017-05-09,196
129,2017-05-10,238
130,2017-05-11,217
131,2017-05-12,205
132,2017-05-13,197
133,2017-05-14,247
134,2017-05-15,251
135,2017-05-16,220
136,2017-05-17,225
137,2017-05-18,224
138,2017-05-19,198
139,2017-05-20,227
140,2017-05-21,236
141,2017-05-22,238
142,2017-05-23,230
143,2017-05-24,225
144,2017-05-25,205
145,2017-05-26,209
146,2017-05-27,228
147,2017-05-28,200
148,2017-05-29,212
149,2017-05-30,231
150,2017-05-31,221
151,2017-06-01,247
152,2017-06-02,217
153,2017-06-03,205
154,2017-06-04,236
155,2017-06-05,238
156,2017-06-06,246
157,2017-06-07,261
158,2017-06-08,204
159,2017-06-09,229
160,2017-06-10,205
161,2017-06-11,232
162,2017-06-12,257
163,2017-06-13,236
164,2017-06-14,218
165,2017-06-15,222
166,2017-06-16,221
167,2017-06-17,253
168,2017-06-18,230
169,2017-06-19,251
170,2017-06-20,218
171,2017-06-21,199
172,2017-06-22,229
