battle,Date,DecryptedData
0,2018-01-01,2047
1,2018-01-02,2212
2,2018-01-03,2233
3,2018-01-04,2480
4,2018-01-05,3219
5,2018-01-06,3158
6,2018-01-07,3545
7,2018-01-08,2942
8,2018-01-09,2495
9,2018-01-10,2609
10,2018-01-11,2317
11,2018-01-12,2159
12,2018-01-13,2297
13,2018-01-14,2115
14,2018-01-15,1991
15,2018-01-16,2077
16,2018-01-17,2023
17,2018-01-18,2017
18,2018-01-19,1947
19,2018-01-20,1940
20,2018-01-21,1891
21,2018-01-22,1808
22,2018-01-23,1784
23,2018-01-24,1900
24,2018-01-25,1850
25,2018-01-26,1808
26,2018-01-27,1795
27,2018-01-28,1843
28,2018-01-29,1858
29,2018-01-30,1915
30,2018-01-31,1855
31,2018-02-01,1814
32,2018-02-02,1706
33,2018-02-03,1608
34,2018-02-04,1597
35,2018-02-05,1667
36,2018-02-06,1686
37,2018-02-07,1957
38,2018-02-08,1784
39,2018-02-09,1853
40,2018-02-10,1980
41,2018-02-11,1731
42,2018-02-12,1665
43,2018-02-13,1584
44,2018-02-14,1502
45,2018-02-15,1381
46,2018-02-16,1494
47,2018-02-17,1556
48,2018-02-18,1443
49,2018-02-19,1515
50,2018-02-20,1567
51,2018-02-21,1570
52,2018-02-22,1684
53,2018-02-23,1859
54,2018-02-24,2341
55,2018-02-25,2524
56,2018-02-26,2255
57,2018-02-27,2198
58,2018-02-28,2176
59,2018-03-01,2052
60,2018-03-02,2044
61,2018-03-03,2325
62,2018-03-04,3064
63,2018-03-05,2605
64,2018-03-06,2580
65,2018-03-07,2386
66,2018-03-08,2338
67,2018-03-09,2337
68,2018-03-10,3055
69,2018-03-11,3644
70,2018-03-12,3014
71,2018-03-13,2818
72,2018-03-14,2611
73,2018-03-15,2601
74,2018-03-16,2450
75,2018-03-17,2945
76,2018-03-18,3274
77,2018-03-19,2839
78,2018-03-20,2756
79,2018-03-21,2778
80,2018-03-22,2599
81,2018-03-23,2388
82,2018-03-24,2702
83,2018-03-25,3491
84,2018-03-26,2768
85,2018-03-27,2632
86,2018-03-28,3096
87,2018-03-29,3237
88,2018-03-30,2622
89,2018-03-31,2993
90,2018-04-01,3183
91,2018-04-02,2722
92,2018-04-03,2674
93,2018-04-04,2583
94,2018-04-05,2681
95,2018-04-06,2457
96,2018-04-07,2796
97,2018-04-08,3023
98,2018-04-09,2827
99,2018-04-10,2848
100,2018-04-11,2697
101,2018-04-12,2822
102,2018-04-13,2808
103,2018-04-14,2842
104,2018-04-15,2930
105,2018-04-16,2721
106,2018-04-17,2707
107,2018-04-18,2602
108,2018-04-19,2629
109,2018-04-20,2498
110,2018-04-21,3410
111,2018-04-22,6197
112,2018-04-23,4646
113,2018-04-24,3891
114,2018-04-25,3462
115,2018-04-26,3191
116,2018-04-27,3021
117,2018-04-28,3694
118,2018-04-29,5208
119,2018-04-30,4278
120,2018-05-01,3895
121,2018-05-02,3113
122,2018-05-03,2759
123,2018-05-04,2830
124,2018-05-05,3618
125,2018-05-06,4885
126,2018-05-07,3643
127,2018-05-08,3657
128,2018-05-09,3220
129,2018-05-10,3003
130,2018-05-11,2864
131,2018-05-12,2896
132,2018-05-13,3387
133,2018-05-14,3028
134,2018-05-15,2825
135,2018-05-16,2757
136,2018-05-17,2759
137,2018-05-18,3326
138,2018-05-19,4499
139,2018-05-20,4381
140,2018-05-21,3621
141,2018-05-22,3056
142,2018-05-23,2979
143,2018-05-24,3096
144,2018-05-25,3023
145,2018-05-26,3241
146,2018-05-27,4001
147,2018-05-28,3328
148,2018-05-29,3270
149,2018-05-30,3286
