工匠精神,Date,DecryptedData
0,2018-01-01,2450
1,2018-01-02,2669
2,2018-01-03,2823
3,2018-01-04,2668
4,2018-01-05,2292
5,2018-01-06,1919
6,2018-01-07,2150
7,2018-01-08,2491
8,2018-01-09,2367
9,2018-01-10,2393
10,2018-01-11,2261
11,2018-01-12,2030
12,2018-01-13,1765
13,2018-01-14,2099
14,2018-01-15,2202
15,2018-01-16,2274
16,2018-01-17,2241
17,2018-01-18,2205
18,2018-01-19,2224
19,2018-01-20,1602
20,2018-01-21,1690
21,2018-01-22,2027
22,2018-01-23,2044
23,2018-01-24,2104
24,2018-01-25,1948
25,2018-01-26,1730
26,2018-01-27,1483
27,2018-01-28,1469
28,2018-01-29,1828
29,2018-01-30,1834
30,2018-01-31,1833
31,2018-02-01,1825
32,2018-02-02,1709
33,2018-02-03,1408
34,2018-02-04,1423
35,2018-02-05,1762
36,2018-02-06,1611
37,2018-02-07,1641
38,2018-02-08,1604
39,2018-02-09,1510
40,2018-02-10,1280
41,2018-02-11,1451
42,2018-02-12,1363
43,2018-02-13,1181
44,2018-02-14,952
45,2018-02-15,821
46,2018-02-16,729
47,2018-02-17,893
48,2018-02-18,1078
49,2018-02-19,1189
50,2018-02-20,1254
51,2018-02-21,1436
52,2018-02-22,1735
53,2018-02-23,1881
54,2018-02-24,2161
55,2018-02-25,1733
56,2018-02-26,1938
57,2018-02-27,2077
58,2018-02-28,2024
59,2018-03-01,2037
60,2018-03-02,1921
61,2018-03-03,1702
62,2018-03-04,2126
63,2018-03-05,2524
64,2018-03-06,2504
65,2018-03-07,2493
66,2018-03-08,2323
67,2018-03-09,2253
68,2018-03-10,1840
69,2018-03-11,2365
70,2018-03-12,2612
71,2018-03-13,2719
72,2018-03-14,2758
73,2018-03-15,2703
74,2018-03-16,2427
75,2018-03-17,2401
76,2018-03-18,2516
77,2018-03-19,2558
78,2018-03-20,2675
79,2018-03-21,2510
80,2018-03-22,2639
81,2018-03-23,2455
82,2018-03-24,2099
83,2018-03-25,2449
84,2018-03-26,2555
85,2018-03-27,2652
86,2018-03-28,2568
87,2018-03-29,2551
88,2018-03-30,2390
89,2018-03-31,2219
90,2018-04-01,2340
91,2018-04-02,2528
92,2018-04-03,2467
93,2018-04-04,2165
94,2018-04-05,1598
95,2018-04-06,1906
96,2018-04-07,2509
97,2018-04-08,2702
98,2018-04-09,2627
99,2018-04-10,2865
100,2018-04-11,2810
101,2018-04-12,2922
102,2018-04-13,2659
103,2018-04-14,2471
104,2018-04-15,2672
105,2018-04-16,2933
106,2018-04-17,3121
107,2018-04-18,3074
108,2018-04-19,3079
109,2018-04-20,3096
110,2018-04-21,2998
111,2018-04-22,2717
112,2018-04-23,3047
113,2018-04-24,2963
114,2018-04-25,2988
115,2018-04-26,2939
116,2018-04-27,2714
117,2018-04-28,2442
118,2018-04-29,1908
119,2018-04-30,2231
120,2018-05-01,3611
121,2018-05-02,3005
122,2018-05-03,2869
123,2018-05-04,2611
124,2018-05-05,2308
125,2018-05-06,2728
126,2018-05-07,2931
127,2018-05-08,3205
128,2018-05-09,3057
129,2018-05-10,2932
130,2018-05-11,2567
131,2018-05-12,2131
132,2018-05-13,2534
133,2018-05-14,2775
134,2018-05-15,2743
135,2018-05-16,2724
136,2018-05-17,2760
137,2018-05-18,2544
138,2018-05-19,2168
139,2018-05-20,2437
140,2018-05-21,2667
141,2018-05-22,2759
142,2018-05-23,2867
143,2018-05-24,2829
144,2018-05-25,2607
145,2018-05-26,2078
146,2018-05-27,2685
147,2018-05-28,2781
148,2018-05-29,2787
149,2018-05-30,2789
150,2018-05-31,2695
151,2018-06-01,2341
152,2018-06-02,2048
153,2018-06-03,2624
154,2018-06-04,2735
155,2018-06-05,3201
156,2018-06-06,6090
157,2018-06-07,4573
158,2018-06-08,2716
159,2018-06-09,2305
160,2018-06-10,2547
161,2018-06-11,2826
162,2018-06-12,2791
163,2018-06-13,2824
164,2018-06-14,2744
165,2018-06-15,2283
166,2018-06-16,1461
167,2018-06-17,1504
168,2018-06-18,2044
169,2018-06-19,2585
170,2018-06-20,2631
171,2018-06-21,2491
172,2018-06-22,2482
173,2018-06-23,1814
174,2018-06-24,1820
175,2018-06-25,2299
176,2018-06-26,2381
177,2018-06-27,2415
178,2018-06-28,2183
179,2018-06-29,2093
180,2018-06-30,1470
181,2018-07-01,1440
182,2018-07-02,1960
183,2018-07-03,2173
184,2018-07-04,2158
185,2018-07-05,2092
186,2018-07-06,1803
187,2018-07-07,1425
188,2018-07-08,1457
189,2018-07-09,1975
190,2018-07-10,1937
191,2018-07-11,1879
192,2018-07-12,1908
193,2018-07-13,1784
194,2018-07-14,1383
195,2018-07-15,1425
196,2018-07-16,1776
197,2018-07-17,1768
198,2018-07-18,1902
199,2018-07-19,1919
200,2018-07-20,1689
201,2018-07-21,1393
202,2018-07-22,1338
203,2018-07-23,1763
204,2018-07-24,1738
205,2018-07-25,1831
206,2018-07-26,1811
