巨婴,Date,DecryptedData
0,2018-01-01,582
1,2018-01-02,598
2,2018-01-03,575
3,2018-01-04,557
4,2018-01-05,592
5,2018-01-06,599
6,2018-01-07,677
7,2018-01-08,702
8,2018-01-09,681
9,2018-01-10,828
10,2018-01-11,1014
11,2018-01-12,1302
12,2018-01-13,893
13,2018-01-14,1130
14,2018-01-15,1096
15,2018-01-16,1009
16,2018-01-17,1030
17,2018-01-18,967
18,2018-01-19,801
19,2018-01-20,756
20,2018-01-21,944
21,2018-01-22,882
22,2018-01-23,908
23,2018-01-24,1030
24,2018-01-25,1247
25,2018-01-26,1230
26,2018-01-27,1053
27,2018-01-28,1068
28,2018-01-29,1142
29,2018-01-30,1154
30,2018-01-31,1419
31,2018-02-01,1297
32,2018-02-02,1177
33,2018-02-03,1042
34,2018-02-04,1004
35,2018-02-05,1116
36,2018-02-06,1511
37,2018-02-07,1152
38,2018-02-08,1138
39,2018-02-09,1120
40,2018-02-10,858
41,2018-02-11,901
42,2018-02-12,805
43,2018-02-13,921
44,2018-02-14,708
45,2018-02-15,624
46,2018-02-16,695
47,2018-02-17,781
48,2018-02-18,808
49,2018-02-19,819
50,2018-02-20,889
51,2018-02-21,999
52,2018-02-22,939
53,2018-02-23,881
54,2018-02-24,864
55,2018-02-25,919
56,2018-02-26,919
57,2018-02-27,969
58,2018-02-28,821
59,2018-03-01,800
60,2018-03-02,761
61,2018-03-03,646
62,2018-03-04,750
63,2018-03-05,698
64,2018-03-06,767
65,2018-03-07,770
66,2018-03-08,683
67,2018-03-09,701
68,2018-03-10,776
69,2018-03-11,689
70,2018-03-12,749
71,2018-03-13,769
72,2018-03-14,815
73,2018-03-15,765
74,2018-03-16,721
75,2018-03-17,768
76,2018-03-18,748
77,2018-03-19,846
78,2018-03-20,829
79,2018-03-21,1243
80,2018-03-22,1039
81,2018-03-23,695
82,2018-03-24,682
83,2018-03-25,736
84,2018-03-26,822
85,2018-03-27,1182
86,2018-03-28,931
87,2018-03-29,882
88,2018-03-30,894
89,2018-03-31,753
90,2018-04-01,735
91,2018-04-02,744
92,2018-04-03,772
93,2018-04-04,712
94,2018-04-05,719
95,2018-04-06,674
