新零售,Date,DecryptedData
0,2018-01-01,2179
1,2018-01-02,3319
2,2018-01-03,3124
3,2018-01-04,2924
4,2018-01-05,2769
5,2018-01-06,2000
6,2018-01-07,1909
7,2018-01-08,2498
8,2018-01-09,2447
9,2018-01-10,2463
10,2018-01-11,2488
11,2018-01-12,2158
12,2018-01-13,1826
13,2018-01-14,1849
14,2018-01-15,2545
15,2018-01-16,2577
16,2018-01-17,2517
17,2018-01-18,2435
18,2018-01-19,2146
19,2018-01-20,1836
20,2018-01-21,1758
21,2018-01-22,2330
22,2018-01-23,2308
23,2018-01-24,2361
24,2018-01-25,2159
25,2018-01-26,2104
26,2018-01-27,1753
27,2018-01-28,1768
28,2018-01-29,2430
29,2018-01-30,2858
30,2018-01-31,2693
31,2018-02-01,2387
32,2018-02-02,2168
33,2018-02-03,1845
34,2018-02-04,1854
35,2018-02-05,2359
36,2018-02-06,2107
37,2018-02-07,2158
38,2018-02-08,1949
39,2018-02-09,1870
40,2018-02-10,1620
41,2018-02-11,1863
42,2018-02-12,1795
43,2018-02-13,1658
44,2018-02-14,1215
45,2018-02-15,897
46,2018-02-16,1125
47,2018-02-17,1255
48,2018-02-18,1326
49,2018-02-19,1321
50,2018-02-20,1444
51,2018-02-21,1536
52,2018-02-22,1929
53,2018-02-23,1917
54,2018-02-24,1960
55,2018-02-25,1783
56,2018-02-26,2370
57,2018-02-27,2935
58,2018-02-28,2876
59,2018-03-01,3007
60,2018-03-02,2526
61,2018-03-03,2044
62,2018-03-04,1968
63,2018-03-05,2909
64,2018-03-06,3116
65,2018-03-07,2930
66,2018-03-08,2756
67,2018-03-09,2984
68,2018-03-10,2115
69,2018-03-11,2149
70,2018-03-12,2983
71,2018-03-13,3126
72,2018-03-14,2915
73,2018-03-15,3004
74,2018-03-16,2783
75,2018-03-17,2094
76,2018-03-18,2096
77,2018-03-19,3150
78,2018-03-20,3165
79,2018-03-21,2878
80,2018-03-22,3253
81,2018-03-23,2806
82,2018-03-24,2231
83,2018-03-25,2112
84,2018-03-26,3210
85,2018-03-27,3312
86,2018-03-28,2959
87,2018-03-29,2854
88,2018-03-30,2658
89,2018-03-31,1968
90,2018-04-01,1855
91,2018-04-02,3340
92,2018-04-03,3240
93,2018-04-04,2546
94,2018-04-05,1680
95,2018-04-06,1726
96,2018-04-07,1938
97,2018-04-08,2904
98,2018-04-09,3431
99,2018-04-10,3089
100,2018-04-11,2827
101,2018-04-12,2900
102,2018-04-13,2700
103,2018-04-14,2009
104,2018-04-15,1947
105,2018-04-16,2838
106,2018-04-17,2670
107,2018-04-18,2694
108,2018-04-19,2633
109,2018-04-20,2245
110,2018-04-21,2038
111,2018-04-22,1913
112,2018-04-23,2690
113,2018-04-24,2741
114,2018-04-25,2742
115,2018-04-26,2817
116,2018-04-27,2458
117,2018-04-28,2238
118,2018-04-29,1564
119,2018-04-30,1466
120,2018-05-01,1686
121,2018-05-02,2667
122,2018-05-03,2680
123,2018-05-04,2580
124,2018-05-05,2101
125,2018-05-06,2011
126,2018-05-07,2759
127,2018-05-08,2903
128,2018-05-09,2882
129,2018-05-10,2865
130,2018-05-11,2459
131,2018-05-12,1881
132,2018-05-13,1788
133,2018-05-14,2571
134,2018-05-15,2658
135,2018-05-16,2727
136,2018-05-17,2630
137,2018-05-18,2379
138,2018-05-19,1997
139,2018-05-20,1738
140,2018-05-21,2649
141,2018-05-22,2720
142,2018-05-23,2767
143,2018-05-24,2820
144,2018-05-25,2450
145,2018-05-26,2122
146,2018-05-27,1910
147,2018-05-28,2460
148,2018-05-29,2578
149,2018-05-30,2498
150,2018-05-31,2527
151,2018-06-01,2018
152,2018-06-02,1814
153,2018-06-03,1815
154,2018-06-04,2526
155,2018-06-05,2549
156,2018-06-06,2517
157,2018-06-07,2348
158,2018-06-08,2210
159,2018-06-09,1776
160,2018-06-10,1822
161,2018-06-11,2537
162,2018-06-12,2568
163,2018-06-13,2556
164,2018-06-14,2840
165,2018-06-15,2262
166,2018-06-16,1538
167,2018-06-17,1543
168,2018-06-18,1681
169,2018-06-19,2802
170,2018-06-20,2468
171,2018-06-21,2430
172,2018-06-22,2234
173,2018-06-23,2136
174,2018-06-24,2191
175,2018-06-25,2785
176,2018-06-26,2682
177,2018-06-27,2517
178,2018-06-28,2182
179,2018-06-29,2246
180,2018-06-30,1660
181,2018-07-01,1447
182,2018-07-02,2063
183,2018-07-03,2176
184,2018-07-04,2117
185,2018-07-05,2133
186,2018-07-06,1951
187,2018-07-07,1505
188,2018-07-08,1409
189,2018-07-09,2142
190,2018-07-10,2213
191,2018-07-11,2126
192,2018-07-12,2213
193,2018-07-13,2002
194,2018-07-14,1619
195,2018-07-15,1450
196,2018-07-16,2084
197,2018-07-17,2121
198,2018-07-18,2094
199,2018-07-19,2156
200,2018-07-20,1964
201,2018-07-21,1521
202,2018-07-22,1341
203,2018-07-23,1956
204,2018-07-24,2106
205,2018-07-25,2107
206,2018-07-26,2213
207,2018-07-27,1981
208,2018-07-28,1502
209,2018-07-29,1377
210,2018-07-30,2066
211,2018-07-31,1980
212,2018-08-01,1995
213,2018-08-02,2357
214,2018-08-03,2343
215,2018-08-04,1603
216,2018-08-05,1452
217,2018-08-06,1979
218,2018-08-07,1991
219,2018-08-08,1985
220,2018-08-09,2033
221,2018-08-10,1935
222,2018-08-11,1488
223,2018-08-12,1377
224,2018-08-13,1998
225,2018-08-14,2009
226,2018-08-15,1955
227,2018-08-16,1913
228,2018-08-17,1833
229,2018-08-18,1437
230,2018-08-19,1342
231,2018-08-20,1955
232,2018-08-21,2088
233,2018-08-22,1954
234,2018-08-23,1992
235,2018-08-24,1970
236,2018-08-25,1497
237,2018-08-26,1372
238,2018-08-27,1922
239,2018-08-28,1952
240,2018-08-29,1909
241,2018-08-30,1885
242,2018-08-31,1821
243,2018-09-01,1357
244,2018-09-02,1535
245,2018-09-03,2064
246,2018-09-04,2043
247,2018-09-05,2049
248,2018-09-06,2129
249,2018-09-07,1900
250,2018-09-08,1433
251,2018-09-09,1330
252,2018-09-10,2064
253,2018-09-11,2194
254,2018-09-12,2180
255,2018-09-13,2054
256,2018-09-14,1970
257,2018-09-15,1573
258,2018-09-16,1612
259,2018-09-17,1978
260,2018-09-18,2111
261,2018-09-19,2231
262,2018-09-20,2232
263,2018-09-21,1946
264,2018-09-22,1255
265,2018-09-23,1201
266,2018-09-24,1126
267,2018-09-25,2211
268,2018-09-26,2100
269,2018-09-27,2036
270,2018-09-28,1937
271,2018-09-29,1832
272,2018-09-30,1597
273,2018-10-01,1071
274,2018-10-02,1011
275,2018-10-03,1021
276,2018-10-04,1085
277,2018-10-05,1145
278,2018-10-06,1297
279,2018-10-07,1284
280,2018-10-08,2041
281,2018-10-09,2152
282,2018-10-10,2134
283,2018-10-11,2052
284,2018-10-12,1945
285,2018-10-13,1604
286,2018-10-14,1520
287,2018-10-15,2099
288,2018-10-16,2451
289,2018-10-17,2110
290,2018-10-18,2239
291,2018-10-19,1972
292,2018-10-20,1512
293,2018-10-21,1458
294,2018-10-22,2135
295,2018-10-23,2273
296,2018-10-24,2129
297,2018-10-25,2143
298,2018-10-26,1937
299,2018-10-27,1484
300,2018-10-28,1383
301,2018-10-29,2068
302,2018-10-30,2092
303,2018-10-31,1804
304,2018-11-01,1921
305,2018-11-02,1881
306,2018-11-03,3236
307,2018-11-04,3363
308,2018-11-05,4209
309,2018-11-06,5171
310,2018-11-07,4286
311,2018-11-08,4835
312,2018-11-09,4245
313,2018-11-10,5100
314,2018-11-11,12851
315,2018-11-12,4725
316,2018-11-13,6623
317,2018-11-14,2415
318,2018-11-15,1381
319,2018-11-16,1246
320,2018-11-17,1151
321,2018-11-18,1135
322,2018-11-19,1308
323,2018-11-20,1444
324,2018-11-21,1554
325,2018-11-22,1567
326,2018-11-23,1251
327,2018-11-24,1109
328,2018-11-25,1091
329,2018-11-26,1404
330,2018-11-27,1479
331,2018-11-28,1534
332,2018-11-29,1363
333,2018-11-30,1274
334,2018-12-01,1079
335,2018-12-02,1093
336,2018-12-03,1319
337,2018-12-04,1833
338,2018-12-05,1381
339,2018-12-06,1866
340,2018-12-07,1305
341,2018-12-08,1070
342,2018-12-09,1076
343,2018-12-10,1321
344,2018-12-11,1478
345,2018-12-12,1225
346,2018-12-13,1305
347,2018-12-14,1190
348,2018-12-15,1078
349,2018-12-16,1054
350,2018-12-17,1286
351,2018-12-18,1282
352,2018-12-19,1388
353,2018-12-20,1417
354,2018-12-21,1262
355,2018-12-22,1072
356,2018-12-23,1076
357,2018-12-24,1187
358,2018-12-25,1275
359,2018-12-26,1533
360,2018-12-27,1833
361,2018-12-28,1401
362,2018-12-29,1113
363,2018-12-30,1000
364,2018-12-31,909
