996,Date,DecryptedData
0,2019-01-01,888
1,2019-01-02,1284
2,2019-01-03,1139
3,2019-01-04,1588
4,2019-01-05,1116
5,2019-01-06,956
6,2019-01-07,1332
7,2019-01-08,1318
8,2019-01-09,1323
9,2019-01-10,1157
10,2019-01-11,1086
11,2019-01-12,931
12,2019-01-13,938
13,2019-01-14,1396
14,2019-01-15,1080
15,2019-01-16,1244
16,2019-01-17,1270
17,2019-01-18,1343
18,2019-01-19,1127
19,2019-01-20,902
20,2019-01-21,1354
21,2019-01-22,1431
22,2019-01-23,1609
23,2019-01-24,1523
24,2019-01-25,1940
25,2019-01-26,1612
26,2019-01-27,3195
27,2019-01-28,7879
28,2019-01-29,5436
29,2019-01-30,4303
30,2019-01-31,2714
31,2019-02-01,1935
32,2019-02-02,2236
33,2019-02-03,1375
34,2019-02-04,1098
35,2019-02-05,913
36,2019-02-06,1079
37,2019-02-07,1104
38,2019-02-08,1037
39,2019-02-09,1032
40,2019-02-10,1094
41,2019-02-11,1415
42,2019-02-12,1618
43,2019-02-13,1602
44,2019-02-14,1742
45,2019-02-15,1878
46,2019-02-16,1406
47,2019-02-17,1290
48,2019-02-18,1838
49,2019-02-19,1840
50,2019-02-20,1815
51,2019-02-21,1697
52,2019-02-22,1772
53,2019-02-23,1274
54,2019-02-24,1118
55,2019-02-25,1677
56,2019-02-26,1772
57,2019-02-27,1944
58,2019-02-28,1835
59,2019-03-01,2038
60,2019-03-02,1489
61,2019-03-03,1199
62,2019-03-04,1845
63,2019-03-05,1838
64,2019-03-06,1819
65,2019-03-07,5090
66,2019-03-08,6253
67,2019-03-09,2512
68,2019-03-10,1985
69,2019-03-11,2338
70,2019-03-12,3618
71,2019-03-13,3416
72,2019-03-14,3394
73,2019-03-15,4254
74,2019-03-16,2898
75,2019-03-17,2932
76,2019-03-18,2735
77,2019-03-19,2662
78,2019-03-20,2510
79,2019-03-21,2344
80,2019-03-22,2551
81,2019-03-23,1865
82,2019-03-24,1442
83,2019-03-25,2062
84,2019-03-26,2260
85,2019-03-27,2684
86,2019-03-28,7165
87,2019-03-29,7803
88,2019-03-30,5803
89,2019-03-31,4550
90,2019-04-01,6672
91,2019-04-02,13035
92,2019-04-03,13289
93,2019-04-04,11627
94,2019-04-05,11263
95,2019-04-06,12304
96,2019-04-07,11011
97,2019-04-08,21253
98,2019-04-09,23425
99,2019-04-10,29576
100,2019-04-11,19896
101,2019-04-12,136328
102,2019-04-13,299435
103,2019-04-14,248248
104,2019-04-15,252695
105,2019-04-16,181900
106,2019-04-17,145366
107,2019-04-18,125701
108,2019-04-19,92132
109,2019-04-20,56486
110,2019-04-21,44892
111,2019-04-22,44950
112,2019-04-23,89813
113,2019-04-24,63793
114,2019-04-25,49516
115,2019-04-26,44151
116,2019-04-27,36083
117,2019-04-28,38222
118,2019-04-29,33732
119,2019-04-30,29137
120,2019-05-01,32450
121,2019-05-02,21674
122,2019-05-03,18216
123,2019-05-04,18653
124,2019-05-05,23422
125,2019-05-06,21669
126,2019-05-07,20281
127,2019-05-08,18009
128,2019-05-09,17783
129,2019-05-10,36195
130,2019-05-11,33692
131,2019-05-12,22299
132,2019-05-13,24010
133,2019-05-14,21487
134,2019-05-15,19315
135,2019-05-16,18222
136,2019-05-17,20824
137,2019-05-18,14024
138,2019-05-19,12381
139,2019-05-20,13293
140,2019-05-21,12941
141,2019-05-22,11255
142,2019-05-23,8135
143,2019-05-24,8601
144,2019-05-25,7338
145,2019-05-26,6838
146,2019-05-27,7564
147,2019-05-28,7496
148,2019-05-29,7226
149,2019-05-30,7025
150,2019-05-31,6461
151,2019-06-01,5155
152,2019-06-02,4824
153,2019-06-03,5593
154,2019-06-04,5425
155,2019-06-05,5741
156,2019-06-06,5211
157,2019-06-07,4372
158,2019-06-08,4437
159,2019-06-09,4551
160,2019-06-10,5341
161,2019-06-11,5218
162,2019-06-12,5516
163,2019-06-13,5205
164,2019-06-14,5203
165,2019-06-15,5417
166,2019-06-16,4976
167,2019-06-17,5455
168,2019-06-18,4760
169,2019-06-19,5189
170,2019-06-20,5051
171,2019-06-21,4862
172,2019-06-22,4659
173,2019-06-23,4443
174,2019-06-24,5057
175,2019-06-25,5037
176,2019-06-26,5267
177,2019-06-27,5865
178,2019-06-28,5438
179,2019-06-29,5110
180,2019-06-30,4895
181,2019-07-01,5334
182,2019-07-02,5972
183,2019-07-03,5834
184,2019-07-04,4886
185,2019-07-05,4836
186,2019-07-06,4579
187,2019-07-07,4886
188,2019-07-08,5023
189,2019-07-09,4898
190,2019-07-10,4896
191,2019-07-11,4757
192,2019-07-12,4898
193,2019-07-13,4349
194,2019-07-14,4395
195,2019-07-15,5011
196,2019-07-16,4902
197,2019-07-17,5016
198,2019-07-18,5113
199,2019-07-19,4995
200,2019-07-20,4832
201,2019-07-21,4064
202,2019-07-22,4327
203,2019-07-23,4500
204,2019-07-24,4713
205,2019-07-25,4421
206,2019-07-26,4615
207,2019-07-27,4074
208,2019-07-28,3600
209,2019-07-29,3978
210,2019-07-30,4185
211,2019-07-31,4019
212,2019-08-01,3938
213,2019-08-02,4087
214,2019-08-03,3830
215,2019-08-04,3541
216,2019-08-05,4141
217,2019-08-06,4021
218,2019-08-07,3652
219,2019-08-08,4848
220,2019-08-09,3990
221,2019-08-10,3393
222,2019-08-11,3657
223,2019-08-12,4561
224,2019-08-13,4122
225,2019-08-14,4341
226,2019-08-15,3952
227,2019-08-16,3851
228,2019-08-17,3569
229,2019-08-18,2954
230,2019-08-19,3663
231,2019-08-20,3767
232,2019-08-21,3608
233,2019-08-22,3615
234,2019-08-23,3843
235,2019-08-24,3301
236,2019-08-25,3122
237,2019-08-26,3694
238,2019-08-27,4055
239,2019-08-28,3870
240,2019-08-29,4253
241,2019-08-30,4214
242,2019-08-31,3593
243,2019-09-01,3027
244,2019-09-02,3960
245,2019-09-03,4000
246,2019-09-04,3691
247,2019-09-05,3643
248,2019-09-06,3900
249,2019-09-07,3216
250,2019-09-08,3013
251,2019-09-09,3539
252,2019-09-10,5048
253,2019-09-11,4680
254,2019-09-12,4147
255,2019-09-13,2717
256,2019-09-14,2600
257,2019-09-15,2739
258,2019-09-16,3375
259,2019-09-17,3423
260,2019-09-18,3557
261,2019-09-19,3431
262,2019-09-20,3228
263,2019-09-21,2786
264,2019-09-22,2704
265,2019-09-23,3182
266,2019-09-24,3241
267,2019-09-25,3198
268,2019-09-26,3175
269,2019-09-27,3167
270,2019-09-28,2949
271,2019-09-29,2994
272,2019-09-30,2710
273,2019-10-01,1660
274,2019-10-02,1768
275,2019-10-03,1744
276,2019-10-04,1742
277,2019-10-05,1843
278,2019-10-06,1868
279,2019-10-07,2210
280,2019-10-08,2951
281,2019-10-09,2990
282,2019-10-10,2872
283,2019-10-11,3078
284,2019-10-12,2934
285,2019-10-13,2278
286,2019-10-14,2984
287,2019-10-15,3085
288,2019-10-16,3216
289,2019-10-17,2996
290,2019-10-18,2995
291,2019-10-19,2432
292,2019-10-20,2341
293,2019-10-21,3089
294,2019-10-22,3036
295,2019-10-23,3043
296,2019-10-24,3387
297,2019-10-25,2848
298,2019-10-26,2646
299,2019-10-27,2156
300,2019-10-28,3123
301,2019-10-29,3230
302,2019-10-30,2925
303,2019-10-31,2757
304,2019-11-01,2861
305,2019-11-02,2784
306,2019-11-03,2957
307,2019-11-04,3598
308,2019-11-05,3611
309,2019-11-06,3463
310,2019-11-07,3501
311,2019-11-08,3347
312,2019-11-09,3180
313,2019-11-10,2941
314,2019-11-11,2889
315,2019-11-12,3087
316,2019-11-13,3244
317,2019-11-14,9079
318,2019-11-15,29751
319,2019-11-16,14803
320,2019-11-17,9391
321,2019-11-18,7238
322,2019-11-19,6236
323,2019-11-20,6161
324,2019-11-21,5768
325,2019-11-22,5315
326,2019-11-23,5272
327,2019-11-24,5668
328,2019-11-25,6244
329,2019-11-26,6756
330,2019-11-27,9959
331,2019-11-28,10165
332,2019-11-29,8057
333,2019-11-30,5783
334,2019-12-01,5703
335,2019-12-02,8865
336,2019-12-03,10004
337,2019-12-04,8349
338,2019-12-05,6703
339,2019-12-06,5587
340,2019-12-07,4937
341,2019-12-08,4296
342,2019-12-09,4710
343,2019-12-10,4622
344,2019-12-11,4367
345,2019-12-12,4105
346,2019-12-13,3960
347,2019-12-14,3818
348,2019-12-15,3643
349,2019-12-16,5016
350,2019-12-17,5377
351,2019-12-18,5612
352,2019-12-19,4452
353,2019-12-20,4327
354,2019-12-21,4509
355,2019-12-22,4025
356,2019-12-23,3766
357,2019-12-24,3772
358,2019-12-25,3854
359,2019-12-26,7966
360,2019-12-27,3861
361,2019-12-28,3513
362,2019-12-29,7668
363,2019-12-30,4018
364,2019-12-31,3952
