awsl,Date,DecryptedData
0,2019-01-01,
1,2019-01-02,
2,2019-01-03,
3,2019-01-04,
4,2019-01-05,
5,2019-01-06,
6,2019-01-07,
7,2019-01-08,
8,2019-01-09,
9,2019-01-10,
10,2019-01-11,
11,2019-01-12,
12,2019-01-13,
13,2019-01-14,
14,2019-01-15,
15,2019-01-16,
16,2019-01-17,
17,2019-01-18,
18,2019-01-19,
19,2019-01-20,
20,2019-01-21,
21,2019-01-22,
22,2019-01-23,
23,2019-01-24,
24,2019-01-25,4400
25,2019-01-26,3204
26,2019-01-27,4510
27,2019-01-28,5069
28,2019-01-29,5596
29,2019-01-30,5956
30,2019-01-31,6265
31,2019-02-01,7694
32,2019-02-02,6671
33,2019-02-03,8315
34,2019-02-04,8172
35,2019-02-05,7880
36,2019-02-06,8003
37,2019-02-07,7965
38,2019-02-08,8057
39,2019-02-09,8037
40,2019-02-10,8026
41,2019-02-11,6985
42,2019-02-12,7420
43,2019-02-13,6865
44,2019-02-14,7135
45,2019-02-15,6906
46,2019-02-16,5923
47,2019-02-17,6345
48,2019-02-18,5758
49,2019-02-19,5731
50,2019-02-20,4724
51,2019-02-21,4792
52,2019-02-22,4529
53,2019-02-23,5195
54,2019-02-24,5418
55,2019-02-25,4164
56,2019-02-26,4061
57,2019-02-27,4208
58,2019-02-28,4584
59,2019-03-01,4438
60,2019-03-02,5854
61,2019-03-03,6678
62,2019-03-04,5509
63,2019-03-05,5274
64,2019-03-06,4983
65,2019-03-07,4782
66,2019-03-08,4746
67,2019-03-09,5496
68,2019-03-10,6465
69,2019-03-11,4802
70,2019-03-12,4976
71,2019-03-13,4522
72,2019-03-14,4479
73,2019-03-15,4112
74,2019-03-16,4887
75,2019-03-17,6347
76,2019-03-18,5316
77,2019-03-19,5056
78,2019-03-20,4604
79,2019-03-21,4246
80,2019-03-22,4494
81,2019-03-23,4738
82,2019-03-24,5328
83,2019-03-25,4342
84,2019-03-26,4127
85,2019-03-27,5085
86,2019-03-28,4990
87,2019-03-29,4509
88,2019-03-30,5164
89,2019-03-31,5993
90,2019-04-01,5006
91,2019-04-02,4662
92,2019-04-03,4717
93,2019-04-04,4897
94,2019-04-05,5819
95,2019-04-06,6478
96,2019-04-07,6640
97,2019-04-08,5437
98,2019-04-09,5015
99,2019-04-10,4727
100,2019-04-11,4849
101,2019-04-12,4719
102,2019-04-13,5271
103,2019-04-14,6197
104,2019-04-15,4750
105,2019-04-16,3957
106,2019-04-17,4010
107,2019-04-18,4195
108,2019-04-19,4393
109,2019-04-20,4985
110,2019-04-21,5673
111,2019-04-22,4734
112,2019-04-23,4182
113,2019-04-24,4230
114,2019-04-25,4301
115,2019-04-26,4589
116,2019-04-27,4708
117,2019-04-28,4586
118,2019-04-29,4405
119,2019-04-30,4495
120,2019-05-01,4980
121,2019-05-02,5716
122,2019-05-03,5888
123,2019-05-04,6100
124,2019-05-05,4982
125,2019-05-06,4728
126,2019-05-07,4461
127,2019-05-08,4513
128,2019-05-09,4505
129,2019-05-10,5079
130,2019-05-11,5237
131,2019-05-12,5625
132,2019-05-13,4929
133,2019-05-14,4623
134,2019-05-15,4706
135,2019-05-16,4949
136,2019-05-17,4517
137,2019-05-18,5203
138,2019-05-19,5313
139,2019-05-20,4620
140,2019-05-21,4243
141,2019-05-22,4892
142,2019-05-23,4257
143,2019-05-24,4062
144,2019-05-25,4448
145,2019-05-26,4905
146,2019-05-27,4405
147,2019-05-28,3940
148,2019-05-29,3882
149,2019-05-30,3720
150,2019-05-31,3628
151,2019-06-01,3669
152,2019-06-02,4599
153,2019-06-03,3940
154,2019-06-04,3626
155,2019-06-05,3437
156,2019-06-06,4066
