rush b,Date,DecryptedData
0,2019-01-01,352
1,2019-01-02,307
2,2019-01-03,335
3,2019-01-04,288
4,2019-01-05,368
5,2019-01-06,412
6,2019-01-07,462
7,2019-01-08,387
8,2019-01-09,358
9,2019-01-10,486
10,2019-01-11,428
11,2019-01-12,453
12,2019-01-13,377
13,2019-01-14,372
14,2019-01-15,330
15,2019-01-16,358
16,2019-01-17,334
17,2019-01-18,332
18,2019-01-19,382
19,2019-01-20,568
20,2019-01-21,627
21,2019-01-22,474
22,2019-01-23,440
23,2019-01-24,433
24,2019-01-25,443
25,2019-01-26,420
26,2019-01-27,366
27,2019-01-28,482
28,2019-01-29,509
29,2019-01-30,418
30,2019-01-31,432
31,2019-02-01,395
32,2019-02-02,416
33,2019-02-03,392
34,2019-02-04,382
35,2019-02-05,360
36,2019-02-06,427
37,2019-02-07,432
38,2019-02-08,444
39,2019-02-09,452
40,2019-02-10,639
41,2019-02-11,482
42,2019-02-12,465
43,2019-02-13,475
44,2019-02-14,583
45,2019-02-15,451
46,2019-02-16,423
47,2019-02-17,405
48,2019-02-18,403
49,2019-02-19,399
50,2019-02-20,367
51,2019-02-21,334
52,2019-02-22,362
53,2019-02-23,328
54,2019-02-24,287
55,2019-02-25,319
56,2019-02-26,351
57,2019-02-27,316
58,2019-02-28,306
59,2019-03-01,292
60,2019-03-02,279
61,2019-03-03,387
62,2019-03-04,345
63,2019-03-05,331
64,2019-03-06,274
65,2019-03-07,357
66,2019-03-08,334
67,2019-03-09,355
68,2019-03-10,374
69,2019-03-11,341
70,2019-03-12,340
71,2019-03-13,343
72,2019-03-14,309
73,2019-03-15,308
74,2019-03-16,312
75,2019-03-17,298
76,2019-03-18,370
77,2019-03-19,331
78,2019-03-20,362
79,2019-03-21,376
80,2019-03-22,404
81,2019-03-23,416
82,2019-03-24,461
83,2019-03-25,406
84,2019-03-26,706
85,2019-03-27,593
86,2019-03-28,462
87,2019-03-29,488
88,2019-03-30,477
89,2019-03-31,398
90,2019-04-01,378
91,2019-04-02,325
92,2019-04-03,342
93,2019-04-04,359
94,2019-04-05,365
95,2019-04-06,422
96,2019-04-07,415
97,2019-04-08,420
98,2019-04-09,410
99,2019-04-10,381
100,2019-04-11,416
101,2019-04-12,342
102,2019-04-13,333
103,2019-04-14,361
104,2019-04-15,369
105,2019-04-16,343
106,2019-04-17,353
107,2019-04-18,351
108,2019-04-19,384
109,2019-04-20,393
110,2019-04-21,355
111,2019-04-22,440
112,2019-04-23,820
113,2019-04-24,436
114,2019-04-25,323
115,2019-04-26,334
116,2019-04-27,319
117,2019-04-28,317
118,2019-04-29,401
119,2019-04-30,305
120,2019-05-01,342
121,2019-05-02,344
122,2019-05-03,348
123,2019-05-04,404
124,2019-05-05,389
125,2019-05-06,344
126,2019-05-07,340
127,2019-05-08,359
128,2019-05-09,372
129,2019-05-10,347
130,2019-05-11,342
131,2019-05-12,348
132,2019-05-13,364
133,2019-05-14,399
134,2019-05-15,363
135,2019-05-16,437
136,2019-05-17,422
137,2019-05-18,444
138,2019-05-19,500
139,2019-05-20,722
140,2019-05-21,588
141,2019-05-22,499
142,2019-05-23,480
143,2019-05-24,539
144,2019-05-25,559
145,2019-05-26,554
146,2019-05-27,569
147,2019-05-28,468
148,2019-05-29,474
149,2019-05-30,503
150,2019-05-31,574
151,2019-06-01,539
152,2019-06-02,431
153,2019-06-03,479
154,2019-06-04,526
155,2019-06-05,492
156,2019-06-06,555
157,2019-06-07,523
158,2019-06-08,780
159,2019-06-09,649
160,2019-06-10,619
161,2019-06-11,512
162,2019-06-12,485
163,2019-06-13,515
164,2019-06-14,706
165,2019-06-15,641
166,2019-06-16,501
167,2019-06-17,539
168,2019-06-18,453
169,2019-06-19,460
170,2019-06-20,457
171,2019-06-21,445
172,2019-06-22,484
173,2019-06-23,584
174,2019-06-24,578
175,2019-06-25,574
176,2019-06-26,524
177,2019-06-27,553
178,2019-06-28,560
179,2019-06-29,548
180,2019-06-30,552
181,2019-07-01,571
182,2019-07-02,849
183,2019-07-03,828
184,2019-07-04,686
185,2019-07-05,1033
186,2019-07-06,815
187,2019-07-07,962
188,2019-07-08,931
189,2019-07-09,955
190,2019-07-10,1203
191,2019-07-11,968
192,2019-07-12,886
193,2019-07-13,812
194,2019-07-14,1004
195,2019-07-15,924
196,2019-07-16,859
197,2019-07-17,819
198,2019-07-18,866
199,2019-07-19,945
200,2019-07-20,877
201,2019-07-21,1027
202,2019-07-22,934
203,2019-07-23,1008
204,2019-07-24,947
205,2019-07-25,894
206,2019-07-26,961
207,2019-07-27,907
208,2019-07-28,878
209,2019-07-29,1017
210,2019-07-30,938
211,2019-07-31,1032
212,2019-08-01,878
213,2019-08-02,974
214,2019-08-03,881
215,2019-08-04,779
216,2019-08-05,854
217,2019-08-06,930
218,2019-08-07,1057
219,2019-08-08,926
220,2019-08-09,843
221,2019-08-10,790
222,2019-08-11,838
223,2019-08-12,818
224,2019-08-13,786
225,2019-08-14,841
226,2019-08-15,832
227,2019-08-16,842
228,2019-08-17,791
229,2019-08-18,761
230,2019-08-19,803
231,2019-08-20,769
232,2019-08-21,793
233,2019-08-22,751
234,2019-08-23,639
235,2019-08-24,641
236,2019-08-25,645
237,2019-08-26,729
238,2019-08-27,734
239,2019-08-28,684
240,2019-08-29,718
241,2019-08-30,764
242,2019-08-31,676
243,2019-09-01,643
244,2019-09-02,640
245,2019-09-03,581
246,2019-09-04,607
247,2019-09-05,563
248,2019-09-06,568
249,2019-09-07,653
250,2019-09-08,644
251,2019-09-09,600
252,2019-09-10,560
253,2019-09-11,587
254,2019-09-12,652
255,2019-09-13,758
256,2019-09-14,829
257,2019-09-15,713
258,2019-09-16,612
259,2019-09-17,589
260,2019-09-18,605
261,2019-09-19,751
262,2019-09-20,669
263,2019-09-21,764
264,2019-09-22,801
265,2019-09-23,880
266,2019-09-24,744
267,2019-09-25,799
268,2019-09-26,713
269,2019-09-27,676
270,2019-09-28,758
271,2019-09-29,926
272,2019-09-30,1019
273,2019-10-01,842
274,2019-10-02,819
275,2019-10-03,835
276,2019-10-04,858
277,2019-10-05,812
278,2019-10-06,692
279,2019-10-07,833
280,2019-10-08,760
281,2019-10-09,711
282,2019-10-10,685
283,2019-10-11,680
284,2019-10-12,985
285,2019-10-13,979
286,2019-10-14,1056
287,2019-10-15,993
288,2019-10-16,1018
289,2019-10-17,1001
290,2019-10-18,998
291,2019-10-19,1024
292,2019-10-20,1037
293,2019-10-21,1081
294,2019-10-22,1078
295,2019-10-23,1087
296,2019-10-24,1106
297,2019-10-25,1171
298,2019-10-26,1850
299,2019-10-27,1576
300,2019-10-28,1062
301,2019-10-29,1064
302,2019-10-30,1092
303,2019-10-31,1048
304,2019-11-01,1117
305,2019-11-02,1288
306,2019-11-03,1112
307,2019-11-04,1145
308,2019-11-05,1147
309,2019-11-06,1128
310,2019-11-07,1170
311,2019-11-08,1181
312,2019-11-09,1674
313,2019-11-10,1708
314,2019-11-11,1302
315,2019-11-12,1568
316,2019-11-13,1826
317,2019-11-14,2015
318,2019-11-15,2404
319,2019-11-16,2456
320,2019-11-17,2394
321,2019-11-18,2430
322,2019-11-19,2361
323,2019-11-20,2412
324,2019-11-21,2595
325,2019-11-22,4866
326,2019-11-23,4561
327,2019-11-24,5091
328,2019-11-25,8033
329,2019-11-26,10329
330,2019-11-27,12683
331,2019-11-28,16570
332,2019-11-29,20178
333,2019-11-30,19289
334,2019-12-01,23927
335,2019-12-02,24998
336,2019-12-03,28590
337,2019-12-04,31181
338,2019-12-05,32219
339,2019-12-06,27524
340,2019-12-07,30975
341,2019-12-08,34149
342,2019-12-09,25548
343,2019-12-10,21319
344,2019-12-11,19989
345,2019-12-12,16929
346,2019-12-13,16252
347,2019-12-14,17670
348,2019-12-15,15271
349,2019-12-16,10560
350,2019-12-17,7760
351,2019-12-18,7009
352,2019-12-19,6706
353,2019-12-20,6088
354,2019-12-21,6689
355,2019-12-22,6047
356,2019-12-23,4477
357,2019-12-24,4371
358,2019-12-25,4121
359,2019-12-26,3618
360,2019-12-27,3843
361,2019-12-28,4319
362,2019-12-29,4240
363,2019-12-30,3523
364,2019-12-31,4242
