区块链,Date,DecryptedData
0,2019-01-01,3062
1,2019-01-02,5092
2,2019-01-03,4580
3,2019-01-04,4837
4,2019-01-05,4046
5,2019-01-06,3831
6,2019-01-07,5847
7,2019-01-08,4702
8,2019-01-09,4034
9,2019-01-10,5639
10,2019-01-11,5162
11,2019-01-12,3540
12,2019-01-13,3571
13,2019-01-14,4056
14,2019-01-15,4535
15,2019-01-16,4224
16,2019-01-17,3607
17,2019-01-18,3392
18,2019-01-19,2868
19,2019-01-20,2356
20,2019-01-21,2811
21,2019-01-22,2907
22,2019-01-23,3492
23,2019-01-24,2961
24,2019-01-25,3113
25,2019-01-26,2240
26,2019-01-27,2403
27,2019-01-28,2883
28,2019-01-29,2957
29,2019-01-30,2756
30,2019-01-31,2828
31,2019-02-01,2438
32,2019-02-02,2132
33,2019-02-03,2092
34,2019-02-04,1506
35,2019-02-05,1455
36,2019-02-06,2150
37,2019-02-07,2360
38,2019-02-08,2449
39,2019-02-09,2538
40,2019-02-10,3097
41,2019-02-11,3182
42,2019-02-12,3340
43,2019-02-13,3993
44,2019-02-14,3746
45,2019-02-15,4609
46,2019-02-16,3504
47,2019-02-17,3074
48,2019-02-18,4075
49,2019-02-19,3871
50,2019-02-20,5376
51,2019-02-21,5185
52,2019-02-22,4200
53,2019-02-23,3280
54,2019-02-24,3766
55,2019-02-25,6708
56,2019-02-26,6278
57,2019-02-27,6164
58,2019-02-28,5312
59,2019-03-01,4674
60,2019-03-02,3510
61,2019-03-03,3846
62,2019-03-04,5156
63,2019-03-05,5313
64,2019-03-06,5106
65,2019-03-07,4659
66,2019-03-08,4296
67,2019-03-09,3723
68,2019-03-10,3782
69,2019-03-11,5537
70,2019-03-12,5059
71,2019-03-13,4718
72,2019-03-14,5641
73,2019-03-15,4397
74,2019-03-16,3679
75,2019-03-17,3363
76,2019-03-18,5450
77,2019-03-19,4430
78,2019-03-20,4617
79,2019-03-21,4572
80,2019-03-22,4163
81,2019-03-23,3148
82,2019-03-24,3440
83,2019-03-25,3689
84,2019-03-26,4277
85,2019-03-27,3909
86,2019-03-28,4376
87,2019-03-29,4305
88,2019-03-30,4634
89,2019-03-31,6000
90,2019-04-01,13920
91,2019-04-02,12678
92,2019-04-03,10776
93,2019-04-04,8004
94,2019-04-05,4462
95,2019-04-06,3828
96,2019-04-07,4019
97,2019-04-08,5815
98,2019-04-09,6146
99,2019-04-10,7009
100,2019-04-11,5330
101,2019-04-12,4900
102,2019-04-13,4230
103,2019-04-14,3975
104,2019-04-15,5616
105,2019-04-16,5063
106,2019-04-17,5873
107,2019-04-18,5122
108,2019-04-19,5391
109,2019-04-20,4156
110,2019-04-21,4291
111,2019-04-22,6156
112,2019-04-23,6061
113,2019-04-24,5437
114,2019-04-25,5267
115,2019-04-26,5317
116,2019-04-27,3775
117,2019-04-28,4571
118,2019-04-29,4003
119,2019-04-30,3648
120,2019-05-01,2522
121,2019-05-02,2771
122,2019-05-03,2978
123,2019-05-04,3295
124,2019-05-05,5058
125,2019-05-06,4848
126,2019-05-07,5290
127,2019-05-08,4583
128,2019-05-09,4596
129,2019-05-10,4744
130,2019-05-11,3592
131,2019-05-12,3618
132,2019-05-13,5636
133,2019-05-14,6927
134,2019-05-15,5985
135,2019-05-16,5201
136,2019-05-17,4756
137,2019-05-18,3673
138,2019-05-19,3842
139,2019-05-20,4615
140,2019-05-21,4669
141,2019-05-22,4797
142,2019-05-23,4983
143,2019-05-24,4775
144,2019-05-25,3880
145,2019-05-26,3699
146,2019-05-27,5009
147,2019-05-28,6139
148,2019-05-29,5094
149,2019-05-30,4984
150,2019-05-31,4209
151,2019-06-01,3572
152,2019-06-02,4391
153,2019-06-03,5323
154,2019-06-04,12490
155,2019-06-05,11503
156,2019-06-06,7777
157,2019-06-07,4136
158,2019-06-08,3847
159,2019-06-09,6342
160,2019-06-10,8060
161,2019-06-11,7232
162,2019-06-12,6621
163,2019-06-13,6020
164,2019-06-14,6828
165,2019-06-15,4619
166,2019-06-16,5596
167,2019-06-17,7940
168,2019-06-18,7596
169,2019-06-19,8422
170,2019-06-20,8052
171,2019-06-21,8164
172,2019-06-22,6728
173,2019-06-23,6672
174,2019-06-24,8546
175,2019-06-25,10096
176,2019-06-26,10394
177,2019-06-27,10224
178,2019-06-28,7531
179,2019-06-29,5462
180,2019-06-30,4896
181,2019-07-01,5606
182,2019-07-02,6124
183,2019-07-03,6585
184,2019-07-04,5200
185,2019-07-05,4956
186,2019-07-06,3947
187,2019-07-07,3863
188,2019-07-08,4978
189,2019-07-09,5174
190,2019-07-10,4920
191,2019-07-11,5028
192,2019-07-12,4445
193,2019-07-13,3871
194,2019-07-14,3875
195,2019-07-15,4725
196,2019-07-16,4562
197,2019-07-17,4453
198,2019-07-18,4816
199,2019-07-19,4699
200,2019-07-20,4037
201,2019-07-21,4008
202,2019-07-22,4696
203,2019-07-23,5587
204,2019-07-24,5429
205,2019-07-25,6305
206,2019-07-26,5228
207,2019-07-27,4311
208,2019-07-28,4226
209,2019-07-29,4598
210,2019-07-30,4953
211,2019-07-31,4720
212,2019-08-01,4311
213,2019-08-02,4811
214,2019-08-03,4263
215,2019-08-04,4045
216,2019-08-05,4777
217,2019-08-06,4738
218,2019-08-07,4291
219,2019-08-08,4327
220,2019-08-09,3949
221,2019-08-10,3336
222,2019-08-11,3304
223,2019-08-12,4229
224,2019-08-13,4282
225,2019-08-14,4193
226,2019-08-15,4104
227,2019-08-16,3987
228,2019-08-17,3399
229,2019-08-18,3363
230,2019-08-19,4269
231,2019-08-20,4617
232,2019-08-21,4694
233,2019-08-22,4618
234,2019-08-23,4263
235,2019-08-24,3352
236,2019-08-25,3656
237,2019-08-26,4689
238,2019-08-27,4578
239,2019-08-28,4794
240,2019-08-29,4432
241,2019-08-30,4307
242,2019-08-31,3393
243,2019-09-01,3564
244,2019-09-02,4555
245,2019-09-03,4644
246,2019-09-04,4522
247,2019-09-05,4959
248,2019-09-06,4570
249,2019-09-07,3742
250,2019-09-08,3587
251,2019-09-09,4677
252,2019-09-10,4580
253,2019-09-11,4575
254,2019-09-12,4173
255,2019-09-13,2785
256,2019-09-14,3460
257,2019-09-15,3600
258,2019-09-16,5312
259,2019-09-17,5252
260,2019-09-18,4805
261,2019-09-19,4554
262,2019-09-20,4432
263,2019-09-21,3706
264,2019-09-22,3657
265,2019-09-23,4616
266,2019-09-24,4845
267,2019-09-25,5533
268,2019-09-26,4912
269,2019-09-27,4385
270,2019-09-28,3530
271,2019-09-29,3346
272,2019-09-30,3034
273,2019-10-01,2031
274,2019-10-02,2349
275,2019-10-03,2554
276,2019-10-04,2748
277,2019-10-05,2728
278,2019-10-06,3416
279,2019-10-07,3361
280,2019-10-08,4445
281,2019-10-09,4280
282,2019-10-10,4580
283,2019-10-11,4558
284,2019-10-12,4175
285,2019-10-13,3415
286,2019-10-14,4149
287,2019-10-15,4903
288,2019-10-16,4827
289,2019-10-17,4765
290,2019-10-18,3942
291,2019-10-19,3876
292,2019-10-20,4211
293,2019-10-21,5776
294,2019-10-22,4862
295,2019-10-23,4066
296,2019-10-24,4859
297,2019-10-25,72049
298,2019-10-26,201288
299,2019-10-27,156410
300,2019-10-28,240496
301,2019-10-29,158294
302,2019-10-30,100114
303,2019-10-31,70616
304,2019-11-01,52543
305,2019-11-02,33250
306,2019-11-03,26674
307,2019-11-04,38675
308,2019-11-05,33955
309,2019-11-06,32106
310,2019-11-07,31583
311,2019-11-08,26811
312,2019-11-09,19474
313,2019-11-10,15172
314,2019-11-11,21224
315,2019-11-12,24643
316,2019-11-13,22897
317,2019-11-14,21410
318,2019-11-15,18155
319,2019-11-16,11325
320,2019-11-17,10501
321,2019-11-18,21402
322,2019-11-19,22847
323,2019-11-20,19036
324,2019-11-21,15562
325,2019-11-22,14904
326,2019-11-23,9816
327,2019-11-24,9593
328,2019-11-25,18052
329,2019-11-26,15162
330,2019-11-27,12334
331,2019-11-28,11375
332,2019-11-29,10589
333,2019-11-30,7427
334,2019-12-01,7396
335,2019-12-02,14281
336,2019-12-03,13550
337,2019-12-04,14129
338,2019-12-05,13677
339,2019-12-06,11660
340,2019-12-07,8004
341,2019-12-08,9871
342,2019-12-09,13053
343,2019-12-10,12427
344,2019-12-11,12715
345,2019-12-12,10777
346,2019-12-13,11425
347,2019-12-14,6724
348,2019-12-15,7229
349,2019-12-16,11182
350,2019-12-17,11412
351,2019-12-18,10735
352,2019-12-19,9977
353,2019-12-20,7992
354,2019-12-21,6250
355,2019-12-22,6470
356,2019-12-23,9205
357,2019-12-24,8928
358,2019-12-25,9825
359,2019-12-26,9376
360,2019-12-27,8749
361,2019-12-28,5241
362,2019-12-29,5185
363,2019-12-30,8445
364,2019-12-31,7298
