奥利给,Date,DecryptedData
0,2019-01-01,1127
1,2019-01-02,1229
2,2019-01-03,1172
3,2019-01-04,1128
4,2019-01-05,1256
5,2019-01-06,1189
6,2019-01-07,1258
7,2019-01-08,1192
8,2019-01-09,1202
9,2019-01-10,1210
10,2019-01-11,1161
11,2019-01-12,1106
12,2019-01-13,1100
13,2019-01-14,1178
14,2019-01-15,1123
15,2019-01-16,1130
16,2019-01-17,1096
17,2019-01-18,1012
18,2019-01-19,1006
19,2019-01-20,1058
20,2019-01-21,1093
21,2019-01-22,1006
22,2019-01-23,1005
23,2019-01-24,1054
24,2019-01-25,1075
25,2019-01-26,994
26,2019-01-27,959
27,2019-01-28,1014
28,2019-01-29,989
29,2019-01-30,1059
30,2019-01-31,1004
31,2019-02-01,865
32,2019-02-02,903
33,2019-02-03,934
34,2019-02-04,1053
35,2019-02-05,990
36,2019-02-06,1017
37,2019-02-07,1032
38,2019-02-08,1021
39,2019-02-09,1047
40,2019-02-10,1013
41,2019-02-11,1013
42,2019-02-12,1065
43,2019-02-13,1128
44,2019-02-14,1110
45,2019-02-15,1049
46,2019-02-16,1106
47,2019-02-17,1179
48,2019-02-18,1129
49,2019-02-19,1146
50,2019-02-20,1139
51,2019-02-21,1029
52,2019-02-22,1077
53,2019-02-23,1101
54,2019-02-24,1027
55,2019-02-25,1062
56,2019-02-26,993
57,2019-02-27,1131
58,2019-02-28,1125
59,2019-03-01,1106
60,2019-03-02,1020
61,2019-03-03,1069
62,2019-03-04,1143
63,2019-03-05,1117
64,2019-03-06,1106
65,2019-03-07,1185
66,2019-03-08,1107
67,2019-03-09,1085
68,2019-03-10,1096
69,2019-03-11,1223
70,2019-03-12,1255
71,2019-03-13,1263
72,2019-03-14,1214
73,2019-03-15,1180
74,2019-03-16,1146
75,2019-03-17,1075
76,2019-03-18,1170
77,2019-03-19,1160
78,2019-03-20,1131
79,2019-03-21,1138
80,2019-03-22,1166
81,2019-03-23,1122
82,2019-03-24,1126
83,2019-03-25,1161
84,2019-03-26,1129
85,2019-03-27,1120
86,2019-03-28,1174
87,2019-03-29,1201
88,2019-03-30,1059
89,2019-03-31,1096
90,2019-04-01,1128
91,2019-04-02,1065
92,2019-04-03,1087
93,2019-04-04,1064
94,2019-04-05,1019
95,2019-04-06,1090
96,2019-04-07,1130
97,2019-04-08,1212
98,2019-04-09,1166
99,2019-04-10,1131
100,2019-04-11,1128
101,2019-04-12,1152
102,2019-04-13,1072
103,2019-04-14,1104
104,2019-04-15,1151
105,2019-04-16,1098
106,2019-04-17,1082
107,2019-04-18,1126
108,2019-04-19,1196
109,2019-04-20,1104
110,2019-04-21,1079
111,2019-04-22,1192
112,2019-04-23,1115
113,2019-04-24,1177
114,2019-04-25,1147
115,2019-04-26,1161
