盘他,Date,DecryptedData
0,2019-01-01,
1,2019-01-02,
2,2019-01-03,
3,2019-01-04,
4,2019-01-05,
5,2019-01-06,11604
6,2019-01-07,24100
7,2019-01-08,38283
8,2019-01-09,61735
9,2019-01-10,80258
10,2019-01-11,97667
11,2019-01-12,93115
12,2019-01-13,90757
13,2019-01-14,73803
14,2019-01-15,66839
15,2019-01-16,69087
16,2019-01-17,73377
17,2019-01-18,80685
18,2019-01-19,73949
19,2019-01-20,69491
20,2019-01-21,63404
21,2019-01-22,58347
22,2019-01-23,50774
23,2019-01-24,46823
24,2019-01-25,43022
25,2019-01-26,36434
26,2019-01-27,34378
27,2019-01-28,32826
28,2019-01-29,34837
29,2019-01-30,34104
30,2019-01-31,27582
31,2019-02-01,23692
32,2019-02-02,21422
33,2019-02-03,21709
34,2019-02-04,19675
35,2019-02-05,16959
36,2019-02-06,21997
37,2019-02-07,22764
38,2019-02-08,23339
39,2019-02-09,21804
40,2019-02-10,19594
41,2019-02-11,19356
42,2019-02-12,17294
43,2019-02-13,14244
44,2019-02-14,14092
45,2019-02-15,13668
46,2019-02-16,12890
47,2019-02-17,12140
48,2019-02-18,12968
49,2019-02-19,21399
50,2019-02-20,15936
51,2019-02-21,12640
52,2019-02-22,11296
53,2019-02-23,10619
54,2019-02-24,10384
55,2019-02-25,9560
56,2019-02-26,8992
57,2019-02-27,8422
58,2019-02-28,8105
59,2019-03-01,7652
60,2019-03-02,8242
61,2019-03-03,8695
62,2019-03-04,7497
63,2019-03-05,6518
64,2019-03-06,6176
65,2019-03-07,6254
66,2019-03-08,5582
67,2019-03-09,5816
68,2019-03-10,5756
69,2019-03-11,5116
70,2019-03-12,4991
71,2019-03-13,4929
72,2019-03-14,5537
73,2019-03-15,5070
74,2019-03-16,5063
75,2019-03-17,4832
76,2019-03-18,4913
77,2019-03-19,4634
78,2019-03-20,4451
79,2019-03-21,4588
80,2019-03-22,4319
81,2019-03-23,5386
82,2019-03-24,4637
83,2019-03-25,3981
84,2019-03-26,3924
85,2019-03-27,3866
86,2019-03-28,4087
87,2019-03-29,3831
88,2019-03-30,3499
89,2019-03-31,3192
90,2019-04-01,3192
91,2019-04-02,3266
92,2019-04-03,3038
93,2019-04-04,3204
94,2019-04-05,3145
95,2019-04-06,2908
96,2019-04-07,3041
97,2019-04-08,3186
98,2019-04-09,3293
99,2019-04-10,3628
100,2019-04-11,3133
101,2019-04-12,3192
102,2019-04-13,3094
103,2019-04-14,2885
104,2019-04-15,2660
105,2019-04-16,2644
106,2019-04-17,2666
107,2019-04-18,2821
108,2019-04-19,2502
109,2019-04-20,2389
110,2019-04-21,2484
111,2019-04-22,2568
112,2019-04-23,2344
113,2019-04-24,2276
114,2019-04-25,2283
115,2019-04-26,2377
116,2019-04-27,2271
117,2019-04-28,2343
118,2019-04-29,2257
119,2019-04-30,2261
120,2019-05-01,2034
121,2019-05-02,2116
122,2019-05-03,2192
123,2019-05-04,2305
124,2019-05-05,2123
125,2019-05-06,2023
126,2019-05-07,2115
127,2019-05-08,1997
128,2019-05-09,1963
129,2019-05-10,1958
130,2019-05-11,1859
131,2019-05-12,1733
132,2019-05-13,1996
133,2019-05-14,2139
134,2019-05-15,2011
135,2019-05-16,1879
136,2019-05-17,1738
137,2019-05-18,1655
138,2019-05-19,1555
139,2019-05-20,1544
140,2019-05-21,1558
141,2019-05-22,1588
142,2019-05-23,1576
143,2019-05-24,1611
144,2019-05-25,1424
145,2019-05-26,1456
146,2019-05-27,1490
147,2019-05-28,1424
148,2019-05-29,1460
149,2019-05-30,1501
150,2019-05-31,1417
151,2019-06-01,1252
152,2019-06-02,1262
153,2019-06-03,1350
