祖安人,Date,DecryptedData
0,2020-01-01,
1,2020-01-02,
2,2020-01-03,
3,2020-01-04,
4,2020-01-05,
5,2020-01-06,
6,2020-01-07,
7,2020-01-08,
8,2020-01-09,
9,2020-01-10,
10,2020-01-11,
11,2020-01-12,
12,2020-01-13,
13,2020-01-14,
14,2020-01-15,
15,2020-01-16,
16,2020-01-17,
17,2020-01-18,
18,2020-01-19,
19,2020-01-20,
20,2020-01-21,
21,2020-01-22,
22,2020-01-23,
23,2020-01-24,
24,2020-01-25,
25,2020-01-26,
26,2020-01-27,
27,2020-01-28,
28,2020-01-29,
29,2020-01-30,
30,2020-01-31,
31,2020-02-01,
32,2020-02-02,
33,2020-02-03,
34,2020-02-04,
35,2020-02-05,
36,2020-02-06,
37,2020-02-07,
38,2020-02-08,
39,2020-02-09,
40,2020-02-10,
41,2020-02-11,
42,2020-02-12,
43,2020-02-13,
44,2020-02-14,
45,2020-02-15,
46,2020-02-16,
47,2020-02-17,
48,2020-02-18,
49,2020-02-19,
50,2020-02-20,
51,2020-02-21,
52,2020-02-22,
53,2020-02-23,
54,2020-02-24,5824
55,2020-02-25,4465
56,2020-02-26,3591
57,2020-02-27,3519
58,2020-02-28,3522
59,2020-02-29,3281
60,2020-03-01,4138
61,2020-03-02,4719
62,2020-03-03,3653
63,2020-03-04,3427
64,2020-03-05,3207
65,2020-03-06,2993
66,2020-03-07,2499
67,2020-03-08,2342
68,2020-03-09,2632
69,2020-03-10,2357
70,2020-03-11,2231
71,2020-03-12,2169
72,2020-03-13,1985
73,2020-03-14,1829
74,2020-03-15,1638
75,2020-03-16,1978
76,2020-03-17,2177
77,2020-03-18,2133
78,2020-03-19,1943
79,2020-03-20,1958
80,2020-03-21,1621
81,2020-03-22,1716
82,2020-03-23,1996
83,2020-03-24,2635
84,2020-03-25,2403
85,2020-03-26,1925
86,2020-03-27,1676
87,2020-03-28,1385
88,2020-03-29,1322
89,2020-03-30,1528
90,2020-03-31,1438
91,2020-04-01,1440
92,2020-04-02,1386
93,2020-04-03,1384
94,2020-04-04,1368
95,2020-04-05,1230
96,2020-04-06,1200
97,2020-04-07,1343
98,2020-04-08,1434
99,2020-04-09,1316
100,2020-04-10,1304
101,2020-04-11,1276
102,2020-04-12,1185
103,2020-04-13,1361
104,2020-04-14,1332
105,2020-04-15,1298
106,2020-04-16,1244
107,2020-04-17,1260
108,2020-04-18,1128
109,2020-04-19,1095
110,2020-04-20,1195
111,2020-04-21,1200
112,2020-04-22,1240
113,2020-04-23,1217
114,2020-04-24,1271
115,2020-04-25,1120
116,2020-04-26,1250
117,2020-04-27,1374
118,2020-04-28,1318
119,2020-04-29,1351
120,2020-04-30,1247
121,2020-05-01,1184
122,2020-05-02,1163
123,2020-05-03,1208
124,2020-05-04,1159
125,2020-05-05,1083
126,2020-05-06,1166
127,2020-05-07,1126
128,2020-05-08,1129
129,2020-05-09,1164
130,2020-05-10,1026
131,2020-05-11,1141
132,2020-05-12,1111
133,2020-05-13,1119
134,2020-05-14,1077
135,2020-05-15,1036
136,2020-05-16,1043
137,2020-05-17,1008
138,2020-05-18,1022
139,2020-05-19,1034
140,2020-05-20,1048
141,2020-05-21,1014
142,2020-05-22,1072
143,2020-05-23,1035
144,2020-05-24,975
145,2020-05-25,1019
146,2020-05-26,1327
147,2020-05-27,2550
148,2020-05-28,1382
149,2020-05-29,1181
150,2020-05-30,1094
151,2020-05-31,1069
152,2020-06-01,964
153,2020-06-02,1306
154,2020-06-03,1262
155,2020-06-04,1133
156,2020-06-05,1071
157,2020-06-06,1069
158,2020-06-07,1080
159,2020-06-08,1091
160,2020-06-09,1206
161,2020-06-10,1129
162,2020-06-11,1107
163,2020-06-12,1163
164,2020-06-13,1072
165,2020-06-14,1078
166,2020-06-15,1101
167,2020-06-16,1097
168,2020-06-17,1066
169,2020-06-18,973
170,2020-06-19,1015
171,2020-06-20,935
172,2020-06-21,1039
173,2020-06-22,980
174,2020-06-23,1005
175,2020-06-24,1028
176,2020-06-25,1022
177,2020-06-26,1047
178,2020-06-27,1090
179,2020-06-28,1127
180,2020-06-29,1113
181,2020-06-30,1029
182,2020-07-01,1095
183,2020-07-02,1043
184,2020-07-03,1001
185,2020-07-04,1054
186,2020-07-05,970
187,2020-07-06,966
188,2020-07-07,904
189,2020-07-08,931
190,2020-07-09,901
191,2020-07-10,857
192,2020-07-11,964
193,2020-07-12,953
194,2020-07-13,992
195,2020-07-14,2078
196,2020-07-15,1193
197,2020-07-16,1142
198,2020-07-17,1165
199,2020-07-18,1069
200,2020-07-19,1086
201,2020-07-20,1130
202,2020-07-21,1165
203,2020-07-22,1137
204,2020-07-23,1207
205,2020-07-24,1123
206,2020-07-25,1082
207,2020-07-26,1054
208,2020-07-27,1058
209,2020-07-28,1157
210,2020-07-29,1093
211,2020-07-30,1102
212,2020-07-31,1094
213,2020-08-01,998
214,2020-08-02,1021
215,2020-08-03,947
216,2020-08-04,973
217,2020-08-05,975
218,2020-08-06,1040
219,2020-08-07,1048
