茶艺,Date,DecryptedData
0,2020-01-01,534
1,2020-01-02,684
2,2020-01-03,640
3,2020-01-04,613
4,2020-01-05,558
5,2020-01-06,601
6,2020-01-07,562
7,2020-01-08,556
8,2020-01-09,609
9,2020-01-10,639
10,2020-01-11,509
11,2020-01-12,537
12,2020-01-13,496
13,2020-01-14,552
14,2020-01-15,527
15,2020-01-16,539
16,2020-01-17,478
17,2020-01-18,488
18,2020-01-19,472
19,2020-01-20,459
20,2020-01-21,425
21,2020-01-22,409
22,2020-01-23,417
23,2020-01-24,343
24,2020-01-25,318
25,2020-01-26,390
26,2020-01-27,371
27,2020-01-28,433
28,2020-01-29,406
29,2020-01-30,436
30,2020-01-31,471
31,2020-02-01,422
32,2020-02-02,435
33,2020-02-03,433
34,2020-02-04,454
35,2020-02-05,486
36,2020-02-06,545
37,2020-02-07,606
38,2020-02-08,598
39,2020-02-09,644
40,2020-02-10,663
41,2020-02-11,702
42,2020-02-12,681
43,2020-02-13,683
44,2020-02-14,621
45,2020-02-15,675
46,2020-02-16,740
47,2020-02-17,780
48,2020-02-18,736
49,2020-02-19,777
50,2020-02-20,725
51,2020-02-21,731
52,2020-02-22,709
53,2020-02-23,659
54,2020-02-24,677
55,2020-02-25,761
56,2020-02-26,692
57,2020-02-27,711
58,2020-02-28,746
59,2020-02-29,683
60,2020-03-01,579
61,2020-03-02,752
62,2020-03-03,728
63,2020-03-04,705
64,2020-03-05,675
65,2020-03-06,711
66,2020-03-07,644
67,2020-03-08,678
68,2020-03-09,776
69,2020-03-10,730
70,2020-03-11,705
71,2020-03-12,736
72,2020-03-13,707
73,2020-03-14,640
74,2020-03-15,605
75,2020-03-16,675
76,2020-03-17,698
77,2020-03-18,679
78,2020-03-19,636
79,2020-03-20,692
80,2020-03-21,559
81,2020-03-22,753
82,2020-03-23,699
83,2020-03-24,662
84,2020-03-25,755
85,2020-03-26,702
86,2020-03-27,689
87,2020-03-28,589
88,2020-03-29,616
89,2020-03-30,659
90,2020-03-31,668
91,2020-04-01,644
92,2020-04-02,641
93,2020-04-03,676
94,2020-04-04,689
95,2020-04-05,602
96,2020-04-06,660
97,2020-04-07,646
98,2020-04-08,755
99,2020-04-09,742
100,2020-04-10,672
101,2020-04-11,575
102,2020-04-12,566
103,2020-04-13,602
104,2020-04-14,616
105,2020-04-15,718
106,2020-04-16,719
107,2020-04-17,717
108,2020-04-18,682
109,2020-04-19,663
110,2020-04-20,789
111,2020-04-21,793
112,2020-04-22,752
113,2020-04-23,690
114,2020-04-24,728
115,2020-04-25,655
116,2020-04-26,699
117,2020-04-27,744
118,2020-04-28,703
119,2020-04-29,804
120,2020-04-30,697
121,2020-05-01,613
122,2020-05-02,642
123,2020-05-03,635
124,2020-05-04,641
125,2020-05-05,688
126,2020-05-06,740
127,2020-05-07,714
128,2020-05-08,772
129,2020-05-09,658
130,2020-05-10,660
131,2020-05-11,768
132,2020-05-12,787
133,2020-05-13,819
134,2020-05-14,822
135,2020-05-15,845
136,2020-05-16,702
137,2020-05-17,741
138,2020-05-18,730
139,2020-05-19,843
140,2020-05-20,775
141,2020-05-21,913
142,2020-05-22,875
143,2020-05-23,789
144,2020-05-24,753
145,2020-05-25,817
146,2020-05-26,931
147,2020-05-27,839
148,2020-05-28,792
149,2020-05-29,775
150,2020-05-30,740
151,2020-05-31,739
152,2020-06-01,685
153,2020-06-02,852
154,2020-06-03,809
155,2020-06-04,745
156,2020-06-05,871
157,2020-06-06,793
158,2020-06-07,752
159,2020-06-08,879
160,2020-06-09,1005
161,2020-06-10,861
162,2020-06-11,815
163,2020-06-12,799
164,2020-06-13,764
165,2020-06-14,811
166,2020-06-15,757
167,2020-06-16,873
168,2020-06-17,843
169,2020-06-18,808
170,2020-06-19,806
171,2020-06-20,800
172,2020-06-21,732
173,2020-06-22,805
174,2020-06-23,797
175,2020-06-24,778
176,2020-06-25,660
177,2020-06-26,779
178,2020-06-27,686
179,2020-06-28,784
180,2020-06-29,868
181,2020-06-30,829
182,2020-07-01,843
183,2020-07-02,905
184,2020-07-03,795
185,2020-07-04,823
186,2020-07-05,840
187,2020-07-06,1040
188,2020-07-07,1102
189,2020-07-08,1121
190,2020-07-09,1196
191,2020-07-10,1282
192,2020-07-11,1564
193,2020-07-12,1764
194,2020-07-13,1784
195,2020-07-14,1654
196,2020-07-15,1576
197,2020-07-16,1472
198,2020-07-17,1380
199,2020-07-18,1303
200,2020-07-19,1277
201,2020-07-20,1477
202,2020-07-21,1557
203,2020-07-22,1590
204,2020-07-23,1548
205,2020-07-24,2115
206,2020-07-25,2124
207,2020-07-26,1743
208,2020-07-27,2168
209,2020-07-28,1739
210,2020-07-29,1652
211,2020-07-30,1903
212,2020-07-31,1667
213,2020-08-01,1399
214,2020-08-02,1335
215,2020-08-03,1652
216,2020-08-04,1498
217,2020-08-05,1378
218,2020-08-06,1313
219,2020-08-07,1365
220,2020-08-08,1183
221,2020-08-09,1198
222,2020-08-10,1321
223,2020-08-11,1298
224,2020-08-12,1256
225,2020-08-13,1253
226,2020-08-14,1239
227,2020-08-15,1159
228,2020-08-16,1108
229,2020-08-17,1251
230,2020-08-18,1211
231,2020-08-19,1232
232,2020-08-20,1232
233,2020-08-21,1315
234,2020-08-22,1217
235,2020-08-23,1173
236,2020-08-24,1356
237,2020-08-25,1241
238,2020-08-26,1234
239,2020-08-27,1179
240,2020-08-28,1143
241,2020-08-29,1119
242,2020-08-30,1233
243,2020-08-31,1302
244,2020-09-01,1318
245,2020-09-02,1324
246,2020-09-03,1305
247,2020-09-04,1201
248,2020-09-05,1278
249,2020-09-06,1207
250,2020-09-07,1310
251,2020-09-08,1325
252,2020-09-09,1307
253,2020-09-10,1301
254,2020-09-11,1658
255,2020-09-12,1352
256,2020-09-13,1211
257,2020-09-14,1324
258,2020-09-15,1289
259,2020-09-16,1289
260,2020-09-17,1291
261,2020-09-18,1164
262,2020-09-19,1103
263,2020-09-20,1092
264,2020-09-21,1167
265,2020-09-22,1209
266,2020-09-23,1131
267,2020-09-24,1160
268,2020-09-25,1190
269,2020-09-26,1113
270,2020-09-27,1163
271,2020-09-28,1164
272,2020-09-29,1175
273,2020-09-30,1109
274,2020-10-01,1035
275,2020-10-02,1017
276,2020-10-03,1005
277,2020-10-04,1047
278,2020-10-05,1077
279,2020-10-06,1161
280,2020-10-07,1195
281,2020-10-08,1300
282,2020-10-09,1285
283,2020-10-10,1227
284,2020-10-11,1277
285,2020-10-12,1281
286,2020-10-13,1298
287,2020-10-14,1267
288,2020-10-15,1255
289,2020-10-16,1161
290,2020-10-17,1090
291,2020-10-18,1078
292,2020-10-19,1129
293,2020-10-20,1142
294,2020-10-21,1214
295,2020-10-22,1245
296,2020-10-23,1195
297,2020-10-24,1100
298,2020-10-25,1127
299,2020-10-26,1210
300,2020-10-27,1187
301,2020-10-28,1174
302,2020-10-29,1188
303,2020-10-30,1158
304,2020-10-31,1015
305,2020-11-01,1076
306,2020-11-02,1193
307,2020-11-03,1217
308,2020-11-04,1204
309,2020-11-05,1244
310,2020-11-06,1133
311,2020-11-07,1130
312,2020-11-08,1154
313,2020-11-09,1172
314,2020-11-10,1051
315,2020-11-11,1059
316,2020-11-12,1062
317,2020-11-13,1075
318,2020-11-14,1042
319,2020-11-15,1003
320,2020-11-16,1128
321,2020-11-17,1147
322,2020-11-18,1132
323,2020-11-19,1123
324,2020-11-20,1012
325,2020-11-21,1007
326,2020-11-22,1049
327,2020-11-23,1065
328,2020-11-24,1063
329,2020-11-25,1076
330,2020-11-26,1081
331,2020-11-27,992
332,2020-11-28,961
333,2020-11-29,1030
334,2020-11-30,1057
335,2020-12-01,1077
336,2020-12-02,1097
337,2020-12-03,1033
338,2020-12-04,901
339,2020-12-05,957
340,2020-12-06,1022
341,2020-12-07,989
342,2020-12-08,1016
343,2020-12-09,1010
344,2020-12-10,964
345,2020-12-11,985
346,2020-12-12,918
347,2020-12-13,958
348,2020-12-14,1002
349,2020-12-15,929
350,2020-12-16,983
351,2020-12-17,1008
352,2020-12-18,937
353,2020-12-19,901
354,2020-12-20,931
355,2020-12-21,1038
356,2020-12-22,959
357,2020-12-23,977
358,2020-12-24,931
359,2020-12-25,872
360,2020-12-26,914
361,2020-12-27,875
362,2020-12-28,906
363,2020-12-29,781
364,2020-12-30,857
365,2020-12-31,738
