豪横,Date,DecryptedData
0,2020-01-01,
1,2020-01-02,
2,2020-01-03,
3,2020-01-04,
4,2020-01-05,
5,2020-01-06,
6,2020-01-07,
7,2020-01-08,
8,2020-01-09,
9,2020-01-10,
10,2020-01-11,
11,2020-01-12,
12,2020-01-13,
13,2020-01-14,
14,2020-01-15,
15,2020-01-16,
16,2020-01-17,
17,2020-01-18,
18,2020-01-19,
19,2020-01-20,
20,2020-01-21,
21,2020-01-22,
22,2020-01-23,
23,2020-01-24,
24,2020-01-25,
25,2020-01-26,
26,2020-01-27,
27,2020-01-28,
28,2020-01-29,
29,2020-01-30,
30,2020-01-31,
31,2020-02-01,
32,2020-02-02,
33,2020-02-03,
34,2020-02-04,
35,2020-02-05,
36,2020-02-06,
37,2020-02-07,
38,2020-02-08,
39,2020-02-09,9603
40,2020-02-10,14260
41,2020-02-11,13329
42,2020-02-12,12989
43,2020-02-13,11624
44,2020-02-14,12021
45,2020-02-15,14066
46,2020-02-16,13173
47,2020-02-17,11833
48,2020-02-18,12024
49,2020-02-19,10765
50,2020-02-20,12156
51,2020-02-21,12416
52,2020-02-22,11447
53,2020-02-23,9385
54,2020-02-24,8230
55,2020-02-25,7310
56,2020-02-26,7462
57,2020-02-27,7846
58,2020-02-28,7324
59,2020-02-29,6946
60,2020-03-01,6213
61,2020-03-02,5531
62,2020-03-03,5096
63,2020-03-04,4938
64,2020-03-05,4843
65,2020-03-06,5114
66,2020-03-07,4778
67,2020-03-08,4404
68,2020-03-09,4325
69,2020-03-10,4088
70,2020-03-11,3685
71,2020-03-12,3568
72,2020-03-13,3396
73,2020-03-14,3343
74,2020-03-15,3334
75,2020-03-16,3810
76,2020-03-17,3924
77,2020-03-18,4324
78,2020-03-19,4302
79,2020-03-20,4267
80,2020-03-21,3688
81,2020-03-22,3240
82,2020-03-23,3613
83,2020-03-24,3470
84,2020-03-25,3304
85,2020-03-26,3287
86,2020-03-27,3095
87,2020-03-28,2866
88,2020-03-29,2497
89,2020-03-30,2968
90,2020-03-31,2931
91,2020-04-01,3062
92,2020-04-02,2945
93,2020-04-03,2783
94,2020-04-04,2381
95,2020-04-05,2247
96,2020-04-06,2242
97,2020-04-07,2387
98,2020-04-08,2447
99,2020-04-09,2487
100,2020-04-10,2372
101,2020-04-11,2335
102,2020-04-12,2090
103,2020-04-13,2268
104,2020-04-14,2236
105,2020-04-15,2228
106,2020-04-16,2256
107,2020-04-17,2377
108,2020-04-18,2104
109,2020-04-19,1987
110,2020-04-20,2080
111,2020-04-21,2139
112,2020-04-22,2040
113,2020-04-23,1895
114,2020-04-24,1869
115,2020-04-25,1576
116,2020-04-26,1812
117,2020-04-27,1822
118,2020-04-28,1769
119,2020-04-29,2079
120,2020-04-30,1994
121,2020-05-01,1732
122,2020-05-02,1489
123,2020-05-03,1475
124,2020-05-04,1431
125,2020-05-05,1440
126,2020-05-06,1692
127,2020-05-07,1595
128,2020-05-08,1589
129,2020-05-09,1598
130,2020-05-10,1382
131,2020-05-11,1573
132,2020-05-12,1500
133,2020-05-13,1598
134,2020-05-14,1471
135,2020-05-15,1702
136,2020-05-16,1411
137,2020-05-17,1276
138,2020-05-18,1243
139,2020-05-19,1240
140,2020-05-20,1464
141,2020-05-21,1177
142,2020-05-22,1187
143,2020-05-23,1144
144,2020-05-24,1104
145,2020-05-25,1245
146,2020-05-26,1295
147,2020-05-27,1196
148,2020-05-28,1275
149,2020-05-29,1343
150,2020-05-30,1150
151,2020-05-31,1106
152,2020-06-01,1294
153,2020-06-02,1170
154,2020-06-03,1236
155,2020-06-04,1293
156,2020-06-05,1231
157,2020-06-06,1138
158,2020-06-07,1213
159,2020-06-08,1272
160,2020-06-09,1205
161,2020-06-10,1289
162,2020-06-11,1313
163,2020-06-12,1341
164,2020-06-13,1220
165,2020-06-14,1136
166,2020-06-15,1233
167,2020-06-16,1290
168,2020-06-17,1250
169,2020-06-18,1222
170,2020-06-19,1785
171,2020-06-20,1273
172,2020-06-21,1262
173,2020-06-22,1342
174,2020-06-23,1180
175,2020-06-24,1252
176,2020-06-25,1201
177,2020-06-26,1099
178,2020-06-27,1141
179,2020-06-28,1224
180,2020-06-29,1162
181,2020-06-30,1199
182,2020-07-01,1129
183,2020-07-02,1260
184,2020-07-03,1148
185,2020-07-04,1111
186,2020-07-05,1089
187,2020-07-06,1262
188,2020-07-07,1152
189,2020-07-08,1238
190,2020-07-09,1192
191,2020-07-10,1202
192,2020-07-11,1118
193,2020-07-12,1075
194,2020-07-13,1197
195,2020-07-14,1224
196,2020-07-15,1144
197,2020-07-16,1087
198,2020-07-17,1188
199,2020-07-18,1072
200,2020-07-19,1033
201,2020-07-20,1151
202,2020-07-21,1112
203,2020-07-22,1087
204,2020-07-23,1191
205,2020-07-24,1105
206,2020-07-25,1035
207,2020-07-26,1052
208,2020-07-27,1114
209,2020-07-28,1073
210,2020-07-29,1163
211,2020-07-30,1090
212,2020-07-31,1119
213,2020-08-01,1047
214,2020-08-02,989
215,2020-08-03,1125
