emo,Date,DecryptedData
0,2021-01-01,2254
1,2021-01-02,2393
2,2021-01-03,2503
3,2021-01-04,2498
4,2021-01-05,2383
5,2021-01-06,2280
6,2021-01-07,2247
7,2021-01-08,2415
8,2021-01-09,2490
9,2021-01-10,2429
10,2021-01-11,2467
11,2021-01-12,2353
12,2021-01-13,2319
13,2021-01-14,2318
14,2021-01-15,2474
15,2021-01-16,2376
16,2021-01-17,2479
17,2021-01-18,2252
18,2021-01-19,2104
19,2021-01-20,2231
20,2021-01-21,2272
21,2021-01-22,2683
22,2021-01-23,2275
23,2021-01-24,2464
24,2021-01-25,2495
25,2021-01-26,2440
26,2021-01-27,2598
27,2021-01-28,2605
28,2021-01-29,2674
29,2021-01-30,2600
30,2021-01-31,2777
31,2021-02-01,3035
32,2021-02-02,3056
33,2021-02-03,3006
34,2021-02-04,2881
35,2021-02-05,2938
36,2021-02-06,2796
37,2021-02-07,3347
38,2021-02-08,3188
39,2021-02-09,3381
40,2021-02-10,3191
41,2021-02-11,2483
42,2021-02-12,2471
43,2021-02-13,3182
44,2021-02-14,3253
45,2021-02-15,3227
46,2021-02-16,3103
47,2021-02-17,3557
48,2021-02-18,3438
49,2021-02-19,3518
50,2021-02-20,3430
51,2021-02-21,3154
52,2021-02-22,3322
53,2021-02-23,3266
54,2021-02-24,3376
55,2021-02-25,3591
56,2021-02-26,3910
57,2021-02-27,3716
58,2021-02-28,3948
59,2021-03-01,3527
60,2021-03-02,3453
61,2021-03-03,3484
62,2021-03-04,3607
63,2021-03-05,3721
64,2021-03-06,4292
65,2021-03-07,4585
66,2021-03-08,4228
67,2021-03-09,4487
68,2021-03-10,4786
69,2021-03-11,4761
70,2021-03-12,4325
71,2021-03-13,4432
72,2021-03-14,5133
73,2021-03-15,5445
74,2021-03-16,5563
75,2021-03-17,5140
76,2021-03-18,4760
77,2021-03-19,4438
78,2021-03-20,4498
79,2021-03-21,5120
80,2021-03-22,5009
81,2021-03-23,4708
82,2021-03-24,4441
83,2021-03-25,4298
84,2021-03-26,4119
85,2021-03-27,4475
86,2021-03-28,4726
87,2021-03-29,4792
88,2021-03-30,4637
89,2021-03-31,5172
90,2021-04-01,4898
91,2021-04-02,4626
92,2021-04-03,4769
93,2021-04-04,7409
94,2021-04-05,7768
95,2021-04-06,7212
96,2021-04-07,5871
97,2021-04-08,5241
98,2021-04-09,5181
99,2021-04-10,4977
100,2021-04-11,6780
101,2021-04-12,5812
102,2021-04-13,5340
103,2021-04-14,4999
104,2021-04-15,5075
105,2021-04-16,5028
106,2021-04-17,4711
107,2021-04-18,5588
108,2021-04-19,5625
109,2021-04-20,5139
110,2021-04-21,5180
111,2021-04-22,5918
112,2021-04-23,5244
113,2021-04-24,5225
114,2021-04-25,5453
115,2021-04-26,5107
116,2021-04-27,5289
117,2021-04-28,5091
118,2021-04-29,4713
119,2021-04-30,4789
120,2021-05-01,4213
121,2021-05-02,4659
122,2021-05-03,5175
123,2021-05-04,5596
124,2021-05-05,6153
125,2021-05-06,5923
126,2021-05-07,6910
127,2021-05-08,6837
128,2021-05-09,6556
129,2021-05-10,6041
130,2021-05-11,5993
131,2021-05-12,5757
132,2021-05-13,5523
133,2021-05-14,5736
134,2021-05-15,6229
135,2021-05-16,6202
136,2021-05-17,5707
137,2021-05-18,5325
138,2021-05-19,5941
139,2021-05-20,5983
140,2021-05-21,5486
141,2021-05-22,5170
142,2021-05-23,5379
143,2021-05-24,5237
144,2021-05-25,5290
145,2021-05-26,5507
146,2021-05-27,5263
147,2021-05-28,5367
148,2021-05-29,6210
149,2021-05-30,6242
150,2021-05-31,6308
151,2021-06-01,5023
152,2021-06-02,5077
153,2021-06-03,5178
154,2021-06-04,5121
155,2021-06-05,5556
156,2021-06-06,6226
157,2021-06-07,6374
158,2021-06-08,6843
159,2021-06-09,6582
160,2021-06-10,6230
161,2021-06-11,5684
162,2021-06-12,5530
163,2021-06-13,6468
164,2021-06-14,7181
165,2021-06-15,29468
166,2021-06-16,27557
167,2021-06-17,15067
168,2021-06-18,12022
169,2021-06-19,11188
170,2021-06-20,10728
171,2021-06-21,10758
172,2021-06-22,10507
173,2021-06-23,9921
174,2021-06-24,9715
175,2021-06-25,11146
176,2021-06-26,10785
177,2021-06-27,11497
178,2021-06-28,10807
179,2021-06-29,9877
180,2021-06-30,9946
181,2021-07-01,9239
182,2021-07-02,9313
183,2021-07-03,8959
184,2021-07-04,9725
185,2021-07-05,9774
186,2021-07-06,9882
187,2021-07-07,10151
188,2021-07-08,10256
189,2021-07-09,9968
190,2021-07-10,10040
191,2021-07-11,11621
192,2021-07-12,12710
193,2021-07-13,12923
194,2021-07-14,13410
195,2021-07-15,14906
196,2021-07-16,17475
197,2021-07-17,17602
198,2021-07-18,17450
199,2021-07-19,16182
200,2021-07-20,18802
201,2021-07-21,15368
202,2021-07-22,17947
203,2021-07-23,19151
204,2021-07-24,16953
205,2021-07-25,18665
206,2021-07-26,21338
207,2021-07-27,25090
208,2021-07-28,22901
209,2021-07-29,22878
210,2021-07-30,21866
211,2021-07-31,22887
212,2021-08-01,26420
213,2021-08-02,33234
214,2021-08-03,37885
215,2021-08-04,42251
216,2021-08-05,38658
217,2021-08-06,35672
218,2021-08-07,36639
219,2021-08-08,48850
220,2021-08-09,49017
221,2021-08-10,49137
222,2021-08-11,52036
223,2021-08-12,56676
224,2021-08-13,48527
225,2021-08-14,50237
226,2021-08-15,51463
227,2021-08-16,55151
228,2021-08-17,55429
229,2021-08-18,57968
230,2021-08-19,59371
231,2021-08-20,56258
232,2021-08-21,68378
233,2021-08-22,70533
234,2021-08-23,64443
235,2021-08-24,57315
236,2021-08-25,56431
237,2021-08-26,70532
238,2021-08-27,52006
239,2021-08-28,47000
240,2021-08-29,52439
241,2021-08-30,55003
242,2021-08-31,53714
243,2021-09-01,46579
244,2021-09-02,42903
245,2021-09-03,48504
246,2021-09-04,50494
247,2021-09-05,59031
248,2021-09-06,56640
249,2021-09-07,45590
250,2021-09-08,90798
251,2021-09-09,43080
252,2021-09-10,40252
253,2021-09-11,43665
254,2021-09-12,45595
255,2021-09-13,42600
256,2021-09-14,40817
257,2021-09-15,37553
258,2021-09-16,37474
259,2021-09-17,37527
260,2021-09-18,40045
261,2021-09-19,41853
262,2021-09-20,41453
263,2021-09-21,42522
264,2021-09-22,43529
265,2021-09-23,37846
266,2021-09-24,43239
267,2021-09-25,40620
268,2021-09-26,45121
269,2021-09-27,40952
270,2021-09-28,42452
271,2021-09-29,37522
272,2021-09-30,34794
273,2021-10-01,32179
274,2021-10-02,35302
275,2021-10-03,38930
276,2021-10-04,38011
277,2021-10-05,41189
278,2021-10-06,46876
279,2021-10-07,63801
280,2021-10-08,54343
281,2021-10-09,43298
282,2021-10-10,43036
283,2021-10-11,40813
284,2021-10-12,36662
285,2021-10-13,37130
286,2021-10-14,37229
287,2021-10-15,34467
288,2021-10-16,34535
289,2021-10-17,34624
290,2021-10-18,34537
291,2021-10-19,37565
292,2021-10-20,30473
293,2021-10-21,44972
294,2021-10-22,47180
295,2021-10-23,46988
296,2021-10-24,48226
297,2021-10-25,47866
298,2021-10-26,46636
299,2021-10-27,46031
300,2021-10-28,48366
301,2021-10-29,49253
302,2021-10-30,55308
303,2021-10-31,48621
304,2021-11-01,42249
305,2021-11-02,40415
306,2021-11-03,39113
307,2021-11-04,39663
308,2021-11-05,41896
309,2021-11-06,51621
310,2021-11-07,44186
311,2021-11-08,36894
312,2021-11-09,36305
313,2021-11-10,37094
314,2021-11-11,45802
315,2021-11-12,39738
316,2021-11-13,40077
317,2021-11-14,43834
318,2021-11-15,69618
319,2021-11-16,104920
320,2021-11-17,112431
321,2021-11-18,105790
322,2021-11-19,75284
323,2021-11-20,71765
324,2021-11-21,67838
325,2021-11-22,62734
326,2021-11-23,55614
327,2021-11-24,51890
328,2021-11-25,53377
329,2021-11-26,48610
330,2021-11-27,49113
331,2021-11-28,50391
332,2021-11-29,53834
333,2021-11-30,46087
334,2021-12-01,44338
335,2021-12-02,42735
336,2021-12-03,40965
337,2021-12-04,41068
338,2021-12-05,45002
339,2021-12-06,46381
340,2021-12-07,44278
341,2021-12-08,43822
342,2021-12-09,46769
343,2021-12-10,41550
344,2021-12-11,38006
345,2021-12-12,36760
346,2021-12-13,36257
347,2021-12-14,44145
348,2021-12-15,41895
349,2021-12-16,38049
350,2021-12-17,37722
351,2021-12-18,31638
352,2021-12-19,30356
353,2021-12-20,31836
354,2021-12-21,28233
355,2021-12-22,28814
356,2021-12-23,28762
357,2021-12-24,37550
358,2021-12-25,32642
359,2021-12-26,29448
360,2021-12-27,33149
361,2021-12-28,29547
362,2021-12-29,30563
363,2021-12-30,32235
364,2021-12-31,38610
