疯狂星期四,Date,DecryptedData
0,2022-01-01,748
1,2022-01-02,603
2,2022-01-03,467
3,2022-01-04,702
4,2022-01-05,1254
5,2022-01-06,5663
6,2022-01-07,1251
7,2022-01-08,877
8,2022-01-09,633
9,2022-01-10,717
10,2022-01-11,843
11,2022-01-12,1273
12,2022-01-13,5507
13,2022-01-14,1075
14,2022-01-15,736
15,2022-01-16,657
16,2022-01-17,822
17,2022-01-18,794
18,2022-01-19,1382
19,2022-01-20,5140
20,2022-01-21,1018
21,2022-01-22,573
22,2022-01-23,628
23,2022-01-24,787
24,2022-01-25,740
25,2022-01-26,1190
26,2022-01-27,3853
27,2022-01-28,956
28,2022-01-29,512
29,2022-01-30,400
30,2022-01-31,325
31,2022-02-01,392
32,2022-02-02,841
33,2022-02-03,3264
34,2022-02-04,747
35,2022-02-05,427
36,2022-02-06,414
37,2022-02-07,503
38,2022-02-08,563
39,2022-02-09,1111
40,2022-02-10,3992
41,2022-02-11,865
42,2022-02-12,402
43,2022-02-13,375
44,2022-02-14,426
45,2022-02-15,463
46,2022-02-16,1090
47,2022-02-17,3815
48,2022-02-18,1066
49,2022-02-19,669
50,2022-02-20,448
51,2022-02-21,560
52,2022-02-22,1198
53,2022-02-23,1270
54,2022-02-24,8954
55,2022-02-25,1474
56,2022-02-26,743
57,2022-02-27,593
58,2022-02-28,692
59,2022-03-01,871
60,2022-03-02,1311
61,2022-03-03,6929
62,2022-03-04,1134
63,2022-03-05,567
64,2022-03-06,543
65,2022-03-07,632
66,2022-03-08,690
67,2022-03-09,1256
68,2022-03-10,7102
69,2022-03-11,1088
70,2022-03-12,552
71,2022-03-13,482
72,2022-03-14,579
73,2022-03-15,670
74,2022-03-16,1250
75,2022-03-17,7481
76,2022-03-18,1102
77,2022-03-19,531
78,2022-03-20,536
79,2022-03-21,655
80,2022-03-22,743
81,2022-03-23,1316
82,2022-03-24,6326
83,2022-03-25,1104
84,2022-03-26,717
85,2022-03-27,582
86,2022-03-28,744
87,2022-03-29,754
88,2022-03-30,1333
89,2022-03-31,7266
90,2022-04-01,1223
91,2022-04-02,745
92,2022-04-03,547
93,2022-04-04,636
94,2022-04-05,631
95,2022-04-06,1251
96,2022-04-07,6946
97,2022-04-08,1136
98,2022-04-09,703
99,2022-04-10,697
100,2022-04-11,773
101,2022-04-12,798
102,2022-04-13,1279
103,2022-04-14,7108
104,2022-04-15,1130
105,2022-04-16,661
106,2022-04-17,638
107,2022-04-18,773
108,2022-04-19,995
109,2022-04-20,1524
110,2022-04-21,9385
111,2022-04-22,1299
112,2022-04-23,909
113,2022-04-24,824
114,2022-04-25,796
115,2022-04-26,958
116,2022-04-27,1468
117,2022-04-28,9849
118,2022-04-29,1223
119,2022-04-30,764
120,2022-05-01,658
121,2022-05-02,590
122,2022-05-03,797
123,2022-05-04,1373
124,2022-05-05,10422
125,2022-05-06,1295
