chatgpt,Date,DecryptedData
0,2023-01-01,5054
1,2023-01-02,6744
2,2023-01-03,12978
3,2023-01-04,13181
4,2023-01-05,13081
5,2023-01-06,13403
6,2023-01-07,9151
7,2023-01-08,7792
8,2023-01-09,12977
9,2023-01-10,12520
10,2023-01-11,13053
11,2023-01-12,12133
12,2023-01-13,11647
13,2023-01-14,7318
14,2023-01-15,6789
15,2023-01-16,9280
16,2023-01-17,9144
17,2023-01-18,12714
18,2023-01-19,10406
19,2023-01-20,7414
20,2023-01-21,5669
21,2023-01-22,5946
22,2023-01-23,9655
23,2023-01-24,13951
24,2023-01-25,10996
25,2023-01-26,11436
26,2023-01-27,16716
27,2023-01-28,27613
28,2023-01-29,32771
29,2023-01-30,50629
30,2023-01-31,50224
31,2023-02-01,66882
32,2023-02-02,71904
33,2023-02-03,117052
34,2023-02-04,146171
35,2023-02-05,190141
36,2023-02-06,374278
37,2023-02-07,701517
38,2023-02-08,849565
39,2023-02-09,713058
40,2023-02-10,613744
41,2023-02-11,427861
42,2023-02-12,338509
43,2023-02-13,409302
44,2023-02-14,300572
45,2023-02-15,292625
46,2023-02-16,265114
47,2023-02-17,249360
48,2023-02-18,187939
49,2023-02-19,187927
50,2023-02-20,216393
51,2023-02-21,204770
52,2023-02-22,180894
53,2023-02-23,186234
54,2023-02-24,167476
55,2023-02-25,115919
56,2023-02-26,110987
57,2023-02-27,152616
58,2023-02-28,147652
59,2023-03-01,127242
60,2023-03-02,128755
61,2023-03-03,126553
62,2023-03-04,87752
63,2023-03-05,94298
64,2023-03-06,121214
65,2023-03-07,114964
66,2023-03-08,101454
67,2023-03-09,101661
68,2023-03-10,91227
69,2023-03-11,69849
70,2023-03-12,70197
71,2023-03-13,90167
72,2023-03-14,90401
73,2023-03-15,126192
74,2023-03-16,140828
75,2023-03-17,157362
76,2023-03-18,116242
77,2023-03-19,114667
78,2023-03-20,169376
79,2023-03-21,165965
80,2023-03-22,175347
81,2023-03-23,166134
82,2023-03-24,162973
83,2023-03-25,121789
84,2023-03-26,121759
85,2023-03-27,179366
86,2023-03-28,204720
87,2023-03-29,209239
88,2023-03-30,232697
89,2023-03-31,217678
90,2023-04-01,176775
91,2023-04-02,151512
92,2023-04-03,186175
93,2023-04-04,182697
94,2023-04-05,136672
95,2023-04-06,165628
96,2023-04-07,141773
97,2023-04-08,103277
98,2023-04-09,106465
99,2023-04-10,140269
100,2023-04-11,143222
101,2023-04-12,140392
102,2023-04-13,134830
103,2023-04-14,121189
104,2023-04-15,98528
105,2023-04-16,106810
106,2023-04-17,121332
107,2023-04-18,118213
108,2023-04-19,115009
109,2023-04-20,116840
110,2023-04-21,107991
111,2023-04-22,88716
112,2023-04-23,109005
113,2023-04-24,112263
114,2023-04-25,109755
115,2023-04-26,98352
116,2023-04-27,89446
117,2023-04-28,72796
118,2023-04-29,54462
119,2023-04-30,53730
120,2023-05-01,48602
121,2023-05-02,52731
122,2023-05-03,62400
123,2023-05-04,80794
124,2023-05-05,81874
125,2023-05-06,79498
126,2023-05-07,66321
127,2023-05-08,86166
128,2023-05-09,84346
129,2023-05-10,81939
130,2023-05-11,81308
131,2023-05-12,67474
132,2023-05-13,58801
133,2023-05-14,64347
134,2023-05-15,77130
135,2023-05-16,73102
136,2023-05-17,85044
137,2023-05-18,83791
138,2023-05-19,93539
139,2023-05-20,69479
140,2023-05-21,65109
141,2023-05-22,69663
142,2023-05-23,69360
143,2023-05-24,82045
144,2023-05-25,82368
145,2023-05-26,69417
146,2023-05-27,56753
147,2023-05-28,58404
148,2023-05-29,75406
149,2023-05-30,75094
150,2023-05-31,75398
151,2023-06-01,71508
152,2023-06-02,67769
153,2023-06-03,53565
154,2023-06-04,56135
155,2023-06-05,76903
156,2023-06-06,89198
157,2023-06-07,95646
158,2023-06-08,82368
159,2023-06-09,67217
160,2023-06-10,51072
161,2023-06-11,50924
162,2023-06-12,66381
163,2023-06-13,66451
164,2023-06-14,63322
165,2023-06-15,63862
166,2023-06-16,56127
167,2023-06-17,42122
168,2023-06-18,43470
169,2023-06-19,46779
170,2023-06-20,44125
171,2023-06-21,38499
172,2023-06-22,24907
173,2023-06-23,25478
174,2023-06-24,27011
175,2023-06-25,40551
176,2023-06-26,44643
177,2023-06-27,47724
178,2023-06-28,46375
179,2023-06-29,45450
180,2023-06-30,41108
181,2023-07-01,30120
182,2023-07-02,29117
183,2023-07-03,39898
184,2023-07-04,39809
185,2023-07-05,39625
186,2023-07-06,39337
187,2023-07-07,36159
188,2023-07-08,26343
189,2023-07-09,25243
190,2023-07-10,37122
191,2023-07-11,38890
192,2023-07-12,37990
193,2023-07-13,36674
194,2023-07-14,33463
195,2023-07-15,23657
196,2023-07-16,23654
197,2023-07-17,35797
198,2023-07-18,35098
199,2023-07-19,35416
200,2023-07-20,33248
201,2023-07-21,30633
202,2023-07-22,21938
203,2023-07-23,21236
204,2023-07-24,31997
205,2023-07-25,31765
206,2023-07-26,32866
207,2023-07-27,31995
208,2023-07-28,30368
209,2023-07-29,22390
210,2023-07-30,21613
211,2023-07-31,31025
212,2023-08-01,31759
213,2023-08-02,32747
214,2023-08-03,31332
215,2023-08-04,28995
216,2023-08-05,20525
217,2023-08-06,19812
218,2023-08-07,29964
219,2023-08-08,30079
220,2023-08-09,30330
221,2023-08-10,29949
222,2023-08-11,27337
223,2023-08-12,20233
224,2023-08-13,20398
225,2023-08-14,29024
226,2023-08-15,29002
227,2023-08-16,28420
228,2023-08-17,28786
229,2023-08-18,26739
230,2023-08-19,19791
231,2023-08-20,19730
232,2023-08-21,28237
233,2023-08-22,26999
234,2023-08-23,28145
235,2023-08-24,29060
236,2023-08-25,26743
237,2023-08-26,20277
238,2023-08-27,21005
239,2023-08-28,31849
240,2023-08-29,35758
241,2023-08-30,33756
242,2023-08-31,37433
243,2023-09-01,28735
244,2023-09-02,20986
245,2023-09-03,22490
246,2023-09-04,31482
247,2023-09-05,32025
248,2023-09-06,31467
249,2023-09-07,31453
250,2023-09-08,28996
251,2023-09-09,23655
252,2023-09-10,26060
253,2023-09-11,30646
254,2023-09-12,24261
255,2023-09-13,31835
256,2023-09-14,32399
257,2023-09-15,29195
258,2023-09-16,23106
259,2023-09-17,25975
260,2023-09-18,33897
261,2023-09-19,34272
262,2023-09-20,35300
263,2023-09-21,33282
264,2023-09-22,26893
265,2023-09-23,23580
266,2023-09-24,26582
267,2023-09-25,30229
268,2023-09-26,31200
269,2023-09-27,29720
270,2023-09-28,25188
271,2023-09-29,20241
272,2023-09-30,18059
273,2023-10-01,25126
274,2023-10-02,22301
275,2023-10-03,22890
276,2023-10-04,21186
277,2023-10-05,25833
278,2023-10-06,30164
279,2023-10-07,33243
280,2023-10-08,36515
281,2023-10-09,38396
282,2023-10-10,38017
283,2023-10-11,37744
284,2023-10-12,37281
285,2023-10-13,34070
286,2023-10-14,24999
287,2023-10-15,32256
288,2023-10-16,38152
289,2023-10-17,40035
290,2023-10-18,38198
291,2023-10-19,37037
292,2023-10-20,32365
293,2023-10-21,24745
294,2023-10-22,27263
295,2023-10-23,33102
296,2023-10-24,35684
297,2023-10-25,29863
298,2023-10-26,32712
299,2023-10-27,27869
300,2023-10-28,24890
301,2023-10-29,27297
302,2023-10-30,35345
303,2023-10-31,34730
304,2023-11-01,40012
305,2023-11-02,34200
306,2023-11-03,32279
307,2023-11-04,24582
308,2023-11-05,25797
309,2023-11-06,35241
310,2023-11-07,43272
311,2023-11-08,58478
312,2023-11-09,66867
313,2023-11-10,49205
314,2023-11-11,34805
315,2023-11-12,38395
316,2023-11-13,52523
317,2023-11-14,55314
318,2023-11-15,38241
319,2023-11-16,50787
320,2023-11-17,46593
321,2023-11-18,30014
322,2023-11-19,38465
323,2023-11-20,51608
324,2023-11-21,49209
325,2023-11-22,49309
326,2023-11-23,44890
327,2023-11-24,40068
328,2023-11-25,30414
329,2023-11-26,35263
330,2023-11-27,44991
331,2023-11-28,43211
332,2023-11-29,46337
333,2023-11-30,41501
334,2023-12-01,37773
335,2023-12-02,29547
336,2023-12-03,33787
337,2023-12-04,40985
338,2023-12-05,42733
339,2023-12-06,41677
340,2023-12-07,40948
341,2023-12-08,36002
342,2023-12-09,29467
