词汇,年份
何弃疗,2013
点赞,2013
中国梦,2013
土豪，我们做朋友吧,2013
我和我的小伙伴们都惊呆了,2013
待我长发及腰，xx娶我可好,2013
感觉不会再爱了,2013
我去年买了个表,2013
高大上,2013
打败你的不是天真，是无鞋,2013
女汉子,2013
帮汪峰上头条,2013
皇上，臣妾做不到啊！,2013
内什么！,2013
捡肥皂,2013
吊炸天,2013
赶脚,2013
要火的节奏,2013
负分滚粗,2013
爸爸去哪,2013
广场舞,2013
不明觉厉,2013
十动然拒,2013
人艰不拆,2013
倒逼,2013
逆袭,2013
喜大普奔,2013
奇葩,2013
大V,2013
微XX,2013
大妈,2013
深藏功与名,2013
涨姿势,2013
元芳你怎么看,2013
快到碗里来,2013
且行且珍惜,2014
也是蛮拼的,2014
只想安静地做个美男子,2014
你家里人知道吗？,2014
XXX哪家强？,2014
承包鱼塘体,2014
不作死就不会死,2014
带我装逼带我飞,2014
有钱就是这么任性,2014
也是醉了！,2014
你造吗？,2014
怪我咯,2014
画面太美我不敢看,2014
上天台,2014
小鲜肉,2014
天了噜,2014
脑洞大开,2014
你行你上,2014
萌萌哒,2014
逼格,2014
手滑,2014
买买买,2014
我读书少，你别骗我,2014
不约，叔叔我们不约,2014
撕逼,2014
一百块都不给我,2014
2333333333,2014
火钳刘明,2014
打虎拍蝇,2014
神器,2014
你懂的,2014
断舍离,2014
么么哒,2014
逗比,2014
节操碎一地,2014
碉堡了,2014
剁手族,2014
点赞党,2014
上头条,2014
果取关,2014
重要的事情说三遍 ,2015
世界那么大，我想去看看,2015
你们城里人真会玩,2015
为国护盘,2015
明明可以靠脸吃饭，却偏偏要靠才华,2015
我想静静,2015
吓死宝宝了,2015
内心几乎是崩溃的,2015
我妈是我妈,2015
主要看气质,2015
获得感,2015
互联网+,2015
颜值,2015
创客,2015
脑洞打开,2015
任性,2015
剁手党,2015
然而并卵用,2015
we are 伐木累！,2015
睡你mb，起来嗨,2015
what are you 弄啥嘞,2015
"
你丑你先睡",2015
壁咚,2015
狗带,2015
溜溜溜,2015
